,,,,FORMATO DE REQUISICI?N,,,,
,,,,DIPHSA,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,04-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,1,2212.65,16,04/04/2016,INDICADOR DE PLASMA VALISAFE TIRAS,,,
,2,610.52,16,04/04/2016,CINTA ROLLO P/PLAMSA,,,
,3,295.24,16,04/04/2016,PAPEL TERMICO P/IMPRESION 80 SES,,,
,1,760.81,16,04/04/2016,ROLLO DE PAPEL GRADO MEDICO 250MMX200M,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,"$8,041.32"
,,,,,,,,"$1,286.61"
,,,,,,,,"$9,327.93"
