STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,,ARSAIN
,13,124,16,2016-05-09,TOALLA 700444 INTER TORK BLANCA C/2000,,,1,124,SG," $1,612.00 "
,2,153,16,2016-05-09,HIG. 700527 180 MTS TORK C/12 ROLLOS,,,1,153,SG, $306.00 
,2,18,16,2016-05-09,ACEITE DE PINO GENERICO,,,1,18,SG, $36.00 
,2,22,16,2016-05-09,LIMPIADOR MULTIUSOS GENERICO,,,1,22,SG, $44.00 
,2,18,16,2016-05-09,CLORO GENERICO,,,1,18,SG, $36.00 
,2,35,16,2016-05-09,JABON PARA MANOS LIQUIDO GENERICO,,,1,35,SG, $70.00 
,7,4.3,16,2016-05-09,PASTILLA BANO 70GMS WIESE PZA,,,1,4.3,SG, $30.10 
,10,24,16,2016-05-09,AROMATIZANTES WIESE 400 ML (HAWAIAN GINGER),,,1,24,SG, $240.00 
,1,38,16,2016-05-09,JABON PARA ROPA LIQUIDO GENERICO,,,1,38,SG, $38.00 
,1,38,16,2016-05-09,SUAVIZANTE PARA ROPA GENERICO,,,1,38,SG, $38.00 
,3,22,16,2016-05-09, BOLSA 90X120 NEGRA,,,1,22,SG, $66.00 
,3,22,16,2016-05-09, BOLSA 70X90 NEGRA,,,1,22,SG, $66.00 
,1,25.4,16,2016-05-09,TRAPEADOR MANGO VERDE,,,1,25.4,SG, $25.40 
,6,8.5,16,2016-05-09,PANUELO KLEENEX C/90,,,1,8.5,SG, $51.00 
,1,10,16,2016-05-09,RECOGEDOR DE PLASTICO C/MANGO,,,1,10,SG, $10.00 
,2,5,16,2016-05-09,ATOMIZADOR REFORZADO,,,1,5,SG, $10.00 
,2,3.2,16,2016-05-09,ENVASE PARA ATOMIZADOR DE LITRO,,,1,3.2,SG, $6.40 
,1,140,16,2016-05-09,DETERGENTE EN POLVO 9 KG,,,1,140,SG, $140.00 
,,,,,,,,,,," $2,824.90 "
,,,,,,,,,,," $3,276.88 "
