,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,14-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
MED4448,60,2.1,0,2016-09-19,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,, $126.00 
MED0061,60,8.33,0,2016-09-19,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,, $499.80 
MED1028,80,2.5,0,2016-09-19,BUTILHIOSCINA + METAMIZOL 10MG/250MG ,,,, $200.00 
MED0066,120,0.19,0,2016-09-19,CAPTOPRIL 25MG TAB.C/30,,,, $22.80 
MED4452,90,0.9,0,2016-09-19,CISAPRIDA 5 MG TABS C/30,,,, $81.00 
MED4416,200,3.8,0,2016-09-19,CLONIXINATO DE LISINA SOL. INY. 100MG/ML,,,, $760.00 
MED0101,20,11,0,2016-09-19,IPRATROPIO + SALBUTAMOL 50MG/2.5MG AMP.,,,, $220.00 
MED1012,80,6.9,0,2016-09-19,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,, $552.00 
MED4443,40,0.47,0,2016-09-19,DICLOFENACO 100MG TAB.C/20,,,, $18.80 
MED1008,5,17.5,0,2016-09-19,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,, $87.50 
MED0366,50,4.1,0,2016-09-19,EPINEFRINA AMP 1 MG,,,, $205.00 
MED1030,80,0.85,0,2016-09-19,IBUPROFENO TABS 400 MG IBUPROFENO,,,, $68.00 
MED1045,60,0.69,0,2016-09-19,KETOROLACO TAB. 10 MG C/10,,,, $41.40 
MED0216,80,2.67,0,2016-09-19,KETOROLACO  TAB SUBLINGUAL  30MG  ,,,, $213.60 
MED0226,100,0.8,0,2016-09-19,LORATADINA 10MG GRAGEAS,,,, $80.00 
MED1041,210,3.75,0,2016-09-19,METAMIZOL 2.5GR/5ML AMP.,,,, $787.50 
MED0246,5,80,0,2016-09-19,MULTIVITAMINICO ADULTO SOL. INY.,,,, $400.00 
MED0257,60,0.6,0,2016-09-19,NIFEDIPINO 10MG CAP.,,,, $36.00 
MED4446,14,56,0,2016-09-19,TRINITRATO DE GLICERILO 5 MG PARCHES,,,, $784.00 
MED0271,30,19.7,0,2016-09-19,FLOROGLUCINOL + TRIMETILFLOROGLUCINOL 2ML SOL. INY. // PATENTE,,,, $591.00 
MED1088,200,0.45,0,2016-09-19,PARACETAMOL 500MG TAB. C/10,,,, $90.00 
MED4556,250,0.86,0,2016-09-19,MELOXICAM 7.5 MG TABS,,,, $215.00 
MED4576,75,0.72,0,2016-09-19,TUMS TABLETAS MASTICABLES C/75,,,, $54.00 
MED0102,10,62,0,2016-09-19,IPRATROPIO + SALBUTAMOL 20MCG/120MCG/10ML AEROSOL INHALADOR,,,, $620.00 
MED4451,50,7,0,2016-09-19,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.C/5,,,, $350.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
