STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
2,17,0,0,2015-09-11,NORFENILEFRINA SOL. GOTAS FCO. C/24ML,2
3,5,0,0,2015-09-11,ACETAZOLAMIDA 250MG C/30 TAB.,3
4,28,0,0,2015-09-11,VERALIPRIDA 100MG C/20 CAP.,4
8,19,0,0,2015-09-11,NIFEDIPINO 20MG LIB. PROL. C/28 COMP.,8
9,40,0,0,2015-09-11,TERAZOSINA 5MG C/30 TAB.,9
11,129,0,0,2015-09-11,PLANTAGO OVATA + SENNA ANGUSTIFOLIA 2.71 GR/0.62 GR FCO. GRANULADO C/100GR,11
12,6,0,0,2015-09-11,POLICRESULENO 0.09 GR C/6 OVULOS,12
15,22,0,0,2015-09-11,IMIQUIMOD SOBRES 250MG AL 5% C/12 SOBRES,15
21,144,0,0,2015-09-11,POLIMIXINA B + NEOMICINA + LIDOCAINA SOL. ORAL FCO. SPRAY C/20ML,21
22,238,0,0,2015-09-11,AMBROXOL SOL. ORAL FCO. C/120ML,22
23,85,0,0,2015-09-11,AMBROXOL GOTAS FCO. C/30ML,23
24,47,0,0,2015-09-11,AMOXICILINA 250MG SUSP. C/75ML,24
26,3,0,0,2015-09-11,"PENICILINA CLEMIZOL + BENCILPENICILINA SODICA 1,000,000UI + 1 AMP. DE DILUYENTE",26
28,33,0,0,2015-09-11,DILTIAZEM 90MG C/20 TAB.,28
30,116,0,0,2015-09-11,AMANTADINA + CLORFENAMINA + PARACETAMOL FCO. C/60ML,30
31,127,0,0,2015-09-11,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,31
34,91,0,0,2015-09-11,LEFLUNOMIDA 20MG C/30 COMP.,34
35,28,0,0,2015-09-11,ANASTROZOL 1MG C/28 TAB.,35
37,25,0,0,2015-09-11,VALPROATO DE MAGNESIO 500MG C/20 TAB.,37
38,38,0,0,2015-09-11,VALPROATO DE MAGNESIO 600MG C/30 TAB.,38
40,3,0,0,2015-09-11,SULFATO DE ATROPINA 1% SOL. OFT. FCO. C/15ML,40
45,335,0,0,2015-09-11,DESLORATADINA 5MG C/30 TAB.,45
46,18,0,0,2015-09-11,BRINZOLAMIDA 1% SUSP. OFT. FCO. C/5ML,46
47,87,0,0,2015-09-11,SULFASALAZINA 500MG C/60 GRAGEAS,47
50,17,0,0,2015-09-11,ARIPIPRAZOL 15MG C/10 TAB.,50
51,33,0,0,2015-09-11,AZATIOPRINA 50MG C/50 TAB.,51
52,367,0,0,2015-09-11,ACIDO FOLICO 5MG C/50 TAB.,52
53,89,0,0,2015-09-11,ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL C/10 OVULOS,53
54,320,0,0,2015-09-11,ALOPURINOL 300MG C/20 TAB.,54
55,424,0,0,2015-09-11,IBUPROFENO 2GR/100ML SUSP. 120ML,55
57,125,0,0,2015-09-11,CLORHIDRATO DE BENCIDAMINA TUBO CREMA C/60GR,57
61,8,0,0,2015-09-11,AZELASTINA SOL. OFT. 0.05% FCO. C/5ML,61
62,22,0,0,2015-09-11,BROMURO DE IPRATROPIO 20MCG SUSP. AEROSOL C/200 DOSIS EN 10ML,62
67,28,0,0,2015-09-11,SULFADIACINA DE PLATA MICRONIZADA 1% CREMA TUBO C/30GR,67
68,6,0,0,2015-09-11,"INTERFERON BETA-1a 30MCG (6,000,000 UI) C/1 JER. PRELLENADA",68
69,145,0,0,2015-09-11,DESLORATADINA 50MG JARABE FCO C/120ML,69
