,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,05-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,70,32.5,0,15/11/2016,ACICLOVIR 200MG/5ML FCO. C/120ML,501,,,
,370,4.9,0,15/11/2016,ACIDO FOLICO 5MG C/50 TAB.,52,,,
,30,4.15,0,15/11/2016,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,,
,130,13.63,0,15/11/2016,AMBROXOL GOTAS FCO. C/30ML,23,,,
,500,34.9,0,15/11/2016,AMOXICILINA + ACIDO CLAVULANICO 600MG SUSP. C/50ML,1003,,,
,570,39.9,0,15/11/2016,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,,,
,30,17.5,0,15/11/2016,AMOXICILINA/ACIDO CLAVULANICO 200MG/285MG/5ML FCO. C/40ML,1852,,,
,480,36.5,0,15/11/2016,ATORVASTATINA 40MG C/10 TAB.,2763,,,
,205,13.1,0,15/11/2016,BENZONATATO 100MG C/20 PERLAS,2880,,,
,5,18.75,0,15/11/2016,CEFALEXINA 125MG/5ML SUSP.,1482,,,
,15,135.9,0,15/11/2016,CEFUROXIMA 500MG C/10 TAB.,1488,,,
,50,24.34,0,15/11/2016,CIPROFLOXACINO SOL. OFT. GOTAS C/5ML,1493,,,
,200,27.96,0,15/11/2016,CITRATO DE SILDENAFIL 50MG C/4 TAB.,2790,,,
,140,71.37,0,15/11/2016,CLOPIDOGREL 75MG C/28 TAB.,692,,,
,10,30.63,0,15/11/2016,COMPLEJO B SOL. INY. FCO. C/10ML,189,,,
,290,77.9,0,15/11/2016,DEFLAZACORT 6MG C/20 TAB.,2811,,,
,10,9.9,0,15/11/2016,DEXAMETASONA 0.5MG C/30 TAB.,2777,,,
,400,7.81,0,15/11/2016,DICLOFENACO SODICO 100MG LIB. PROL. C/20 GRAGEAS,292,,,
,210,15.85,0,15/11/2016,FLUOXETINA 20MG C/14 CAP.,2570,,,
,25,86.5,0,15/11/2016,ITRACONAZOL + SECNIDAZOL C/12 CAP.,1370,,,
,140,84.5,0,15/11/2016,IVERMECTINA 6MG C/2 TAB.,442,,,
,270,14.5,0,15/11/2016,KETOROLACO 30MG SUBLINGUAL C/4 TAB.,1431,,,
,500,47.2,0,15/11/2016,LEVOTIROXINA SODICA 100MCG C/50 TAB.,502,,,
,420,6.88,0,15/11/2016,LORATADINA 10MG C/20 GRAGEAS,496,,,
,12,18.13,0,15/11/2016,MICONAZOL 400MG C/3 OVULOS,1904,,,
,230,48.56,0,15/11/2016,MONTELUKAST SODICO 10MG C/20 COMP.,778,,,
,60,47.27,0,15/11/2016,MONTELUKAST SODICO 4MG C/10 TAB.,1143,,,
,85,62.94,0,15/11/2016,MONTELUKAST SODICO 5MG C/20 COMP.,779,,,
,100,34.5,0,15/11/2016,NEOMICINA + CAOLIN + PECTINA 129MG/280MG C/20 TAB.,459,,,
,875,29.13,0,15/11/2016,PIOGLITAZONA 30MG C/7 TAB.,914,,,
,200,99,0,15/11/2016,TELMISARTAN 80MG C/ 28 TAB.,2575,,,
,190,13.9,0,15/11/2016,TRIMETOPRIMA + SULFAMETOXAZOL 160MG/800MG C/14 TAB.,1920,,,
