,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
ENFERMERIAS,,,,,,20-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
SAINAR,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,2,290,16,20/06/2016,PAPEL KRAF 45 X 70,,,,$580.00
,2,1875,16,20/06/2016,PAPEL CREPADO ESTERILIZACION,,,,"$3,750.00"
,8,928.75,16,20/06/2016,PAPEL PARAFILM 10 CM. X 76 MTS.,,,,"$7,430.00"
,2,1125,16,20/06/2016,PARCHES TAGADERM 10X12 C/50 PZAS.,,,,"$2,250.00"
,12,363.7,16,20/06/2016,PASTA P/COLOSTOMIA TUBO 60G.,,,,"$4,364.40"
,3,27,16,20/06/2016,PERILLA DE HULE P/SUCCION,,,,$81.00
,4,1168,16,20/06/2016,PROTEINA C REACTIVA I.D.,,,,"$4,672.00"
,40,98,16,20/06/2016,RECOLECTOR DE PUNZOCORTANTES 2LTS. X PZA,,,,"$3,920.00"
,100,136,16,20/06/2016,SABANA DE CAJON 1.20X2.40X0.14,,,,"$13,600.00"
,150,110,16,20/06/2016,SABANA PLANA 1.2X2.0,,,,"$16,500.00"
,5,47.5,16,20/06/2016,SONDA FOLEY LATEX 16 FR 2 VIAS C/GLOBO 5 ML.,,,,$237.50
,8,47.5,16,20/06/2016,SONDA FOLEY LATEX 18 FR 2 VIAS C/GLOBO 5 ML.,,,,$380.00
,15,47.5,16,20/06/2016,SONDA FOLEY LATEX 20 FR 2 VIAS C/GLOBO 5ML.,,,,$712.50
,5,47.5,16,20/06/2016,SONDA FOLEY LATEX 22 FR 2 VIAS C/GLOBO 30 ML.,,,,$237.50
,5,47.5,16,20/06/2016,SONDA FOLEY LATEX 24 FR 2 VIAS C/GLOBO 5ML.,,,,$237.50
,5,47.5,16,20/06/2016,SONDA FOLEY LATEX 26 FR. 2 VIAS C. GLOBO 30 ML,,,,$237.50
,5,49.5,16,20/06/2016,SONDA FOLEY 30 FR. 30CC 2 VIAS,,,,$247.50
,2,142.5,16,20/06/2016,SONDA FOLEY P. PROLON. SILICON 18FR. 5CC. 2V,,,,$285.00
,5,109.2,16,20/06/2016,SONDA FOLEY SILIC 14 FR 2 VIAS C/GLOBO 5ML.,,,,$546.00
,10,7,16,20/06/2016,SONDA LEVIN FR. 14 CAT. V-710,,,,$70.00
,60,11.5,16,20/06/2016,SONDA NELATON FR. 14 CAT. V-773-14,,,,$690.00
,70,17.2,16,20/06/2016,SONDA P/ASPIRAR SECRECION 14 FR CAT. V760C,,,,"$1,204.00"
,2,6917,16,20/06/2016,S 1 RINSE SOLUTION OMNI S,,,,"$13,834.00"
,2,21152,16,20/06/2016,S 3 FLUID PACK A OMNI S,,,,"$42,304.00"
,1,14182,16,20/06/2016,"STROMATOLYSER 4DL, 4DS Y 5L",,,,"$14,182.00"
,3,6080,16,20/06/2016,STA-NEOPLASTIN PLUS 12X10 ML.,,,,"$18,240.00"
,36,556,16,20/06/2016,TIRAS P/GLUCOSA ONE TOUCH ULTRA C/50,,,,"$20,016.00"
,5,225,16,20/06/2016,TELA TRANSPORE 2.5 X 9MT CAJA C/12,,,,"$1,125.00"
,36,10.5,16,20/06/2016,TERMOMETRO DE VIDRIO ORAL,,,,$378.00
,18,58.5,16,20/06/2016,TORUNDA DE ALGODON DE 500 GRS.,,,,"$1,053.00"
,12,42.5,16,20/06/2016,TUBO ENDOTRAQUEAL No. 3.0 Y 4.0,,,,$510.00
,40,36,16,20/06/2016,UNIFORME CIRUJANO (FILIPINA Y PANTALON),,,,"$1,440.00"
,1200,3,16,20/06/2016,VASO ESTERIL RECOLECCION DE ORINA,,,,"$3,600.00"
,30,49.5,16,20/06/2016,VENDA ELASTICA 5X5M. C/12.,,,,"$1,485.00"
,30,72,16,20/06/2016,VENDA ELASTICA 7 CM. X 5 MTS C/12,,,,"$2,160.00"
,26,64.5,16,20/06/2016,VENDA ELASTICA 10CMS X 5 MTS C/12,,,,"$1,677.00"
,10,96,16,20/06/2016,VENDA ELASTICA 15 X5 MTS. C/12,,,,$960.00
,1,1768,16,20/06/2016,VICRYL 6/0 45 CM. CAJA C/12.,,,,"$1,768.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,,"$186,964.40"
,,,,,,,,,"$216,878.70"
