FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
35,,,,,,29-oct-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
CHEPEVERA,,,,,,MARICELA MU•OZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,14,115,16,2015-11-03,TOALLA INTER. TORK BLANCA C/2000 CLAVE 700044420,,ARSAIN,,,
,3,145,16,2015-11-03,PAPEL HIG. 700527 180 MTS TORK C/12 ROLLCLAVE 700527,,ARSAIN,,,
,7,4.5,16,2015-11-03,PASTILLAS (para ba§o),,ARSAIN,,,
,12,24,16,2015-11-03,"AROMATIZANTES WIESE 400 ML (., 7-AMORE, 5 DE MANZANA CON CANELA)",,ARSAIN,,,
,1,24,16,2015-11-03,TRAPEADOR PALO ROJO,,ARSAIN,,,
,4,8,16,2015-11-03,KLEENEX,,ARSAIN,,,
,1,7.7,16,2015-11-03,FRANELA (GRIS),,ARSAIN,,,
,1,140,16,2015-11-03,JABON ARCOIRIS (BOLSA GDE 9 KILOS),,ARSAIN,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
