FORMATO DE REQUISICI?N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,27-sep-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,500,,,,OMEPRAZOL 20MG C/14 CAP.,657,,,
,900,,,,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,,,
,400,,,,PANTOPRAZOL 40MG C/14 GRAGEAS,1479,,,
,500,,,,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836,,,
,600,,,,ATORVASTATINA 10MG C/20 TAB.,2762,,,
,600,,,,DIOSMINA + HESPERIDINA 500MG C/20 TAB.,296,,,
,300,,,,ATORVASTATINA 20MG C/10 TAB.,2761,,,
,700,,,,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,,
,500,,,,PARACETAMOL 1GR C/20 TAB.,810,,,
,400,,,,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y FCO. C/90 DISP. Y 1,2552,,,
,200,,,,IBUPROFENO 400MG C/10 TAB.,2678,,,
,300,,,,DICLOFENACO 1.160% GEL C/60GR,371,,,
,150,,,,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692,,,
,500,,,,PIOGLITAZONA 30MG C/7 TAB.,914,,,
,500,,,,PARACETAMOL 500MG C/10 TAB.,712,,,
,300,,,,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910,,,
,600,,,,AMLODIPINO 5MG C/10 TAB.,2593,,,
,300,,,,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786,,,
,300,,,,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924,,,
,350,,,,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,,,
,300,,,,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341,,,
,300,,,,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576,,,
,300,,,,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368,,,
,250,,,,IBUPROFENO + PARACETAMOL 325MG C/20 TAB.,2608,,,
,100,,,,DEXLANSOPRAZOL 30MG C/14 CAP.,2953,,,
,350,,,,METFORMINA 850MG C/30 TAB.,1897,,,
,150,,,,CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML,754,,,
,300,,,,ETORICOXIB 90MG C/14 COMP.,965,,,
,300,,,,KETOROLACO + TRAMADOL 10MG/25MG C/10 CAP.,2796,,,
,100,,,,NAPROXENO SODICO + PARACETAMOL 275MG/300MG C/10 TAB.,2647,,,
,200,,,,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,,,
,200,,,,CEFALEXINA 500MG C/20 CAP.,169,,,
,200,,,,LEVOTIROXINA SODICA 100MCG C/50 TAB.,502,,,
,250,,,,PARACETAMOL 750MG C/10 TAB.,2582,,,
,100,,,,MELOXICAM 7.5MG C/14 TAB.,2623,,,
,400,,,,CIPROFLOXACINO 500MG C/12 COMP.,2885,,,
,100,,,,ESPORAS DE BACILLUS CLAUSII 2 BILLONES UFC C/20 AMP.,1126,,,
,300,,,,ATORVASTATINA 40MG C/10 TAB.,2763,,,
,200,,,,METFORMINA 500MG C/30 TAB.,310,,,
,200,,,,AMOXICILINA + ACIDO CLAVULANICO 600MG SUSP. C/50ML,1003,,,
,100,,,,IBUPROFENO 2GR/100ML SUSP. 120ML,55,,,
,150,,,,FENOFIBRATO 160MG C/30 CAP.,1190,,,
,200,,,,SITAGLIPTINA 100MG C/14 COMP.,456,,,
,190,,,,SERTRALINA 50MG C/14 TAB. RANURADAS,1497,,,
,100,,,,FLUCONAZOL 150MG C/1 CAP.,373,,,
,200,,,,VILDAGLIPTINA + METFORMINA 50MG/850MG C/60 COMP.,2924,,,
,150,,,,MELOXICAN + METOCARBAMOL 15MG/215MG C/10 CAP.,2801,,,
,200,,,,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA 100MG/5MG/50MCG C/30 TAB.,2797,,,
,200,,,,VITAMINAS + MINERALES PRENATALES C/30 TAB.,1678,,,
,185,,,,BEZAFIBRATO 400MG C/10 TAB.,1858,,,
,150,,,,DICLOFENACO SODICO 100MG LIB. PROL. C/20 GRAGEAS,292,,,
,100,,,,DICLOFENACO SODICO + B1 + B6 +B12 50MG/50MG/50MG/0.25MG C/30 GRAGEAS,377,,,
,175,,,,MAGALDRATO + DIMETICONA 8GR/1GR C/250ML,2591,,,
,150,,,,LORATADINA 10MG C/20 GRAGEAS,496,,,
,180,,,,METFORMINA 750MG LIB. PROL. C/30 TAB.,2711,,,
,150,,,,ACIDO FOLICO 5MG C/50 TAB.,52,,,
,160,,,,DIMETICONA + PANCREATINA + EXTRACTO SECO BILIS DE BUEY CELULOSA DEL ASPERGILLUS NIGER CON CAPA E C/50 GRAGEAS,327,,,
,175,,,,ALOPURINOL 300MG C/20 TAB.,54,,,
,100,,,,LOSARTAN 50MG C/30 TAB.,2602,,,
,100,,,,DIACEREINA 50MG C/30 CAP.,226,,,
,200,,,,VALSARTAN + HIDROCLORTIAZIDA 160MG/25MG C/30 GRAGEAS,233,,,
,164,,,,EXTRACTO DE CASTANA DE LA INDIA C/30 GRAGEAS,867,,,
,150,,,,SULFATO DE HIDROXICLOROQUINA 200MG C/20 TAB.,675,,,
,150,,,,MOMETASONA 0.05% SPRAY NASAL PED. C/10ML Y 60 NEBUL.,735,,,
,163,,,,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,,,
,100,,,,VALSARTAN 160MG C/30 GRAGEAS,1767,,,
,170,,,,CITRATO DE CALCIO + VITAMINA D3 315MG C/60 TAB.,1361,,,
,100,,,,CIPROFLOXACINO 250MG C/12 TAB,924,,,
,100,,,,LORATADINA + BETAMETASONA 10MG/5MG SOL. C/60ML,2876,,,
,41,,,,CLORHIDRATO DE IMIPRAMINA 25MG C/20 TAB.,2367,,,
,100,,,,LEVOTIROXINA SODICA 75MCG C/50 TAB.,938,,,
,100,,,,LEVOTIROXINA SODICA 50MCG C/50 TAB.,937,,,
,150,,,,DESLORATADINA 5MG C/30 TAB.,45,,,
,100,,,,METACARBAMOL + PARACETAMOL 400/350MG C/30 TAB.,201,,,
,100,,,,DICLOFENACO POTASICO 0.18MG/100 SUSP. FCO C/120ML,2807,,,
,100,,,,AMBROXOL SOL. ORAL FCO. C/120ML,22,,,
,150,,,,ENALAPRIL 10MG C/30 TAB.,2679,,,
,100,,,,CLORHIDRATO DE PAROXETINA 20MG C/10 TAB.,1877,,,
,100,,,,IBUPROFENO 200MG C/10 TAB.,2802,,,
,145,,,,CINITAPRIDA 1MG C/25 COMP.,2788,,,
,100,,,,BROMURO DE PINAVERIO 100MG C/14 TAB.,294,,,
,138,,,,NUTRICION COMPLETA Y BALANCEADA CON FRUCTOOLISACARIDOS CUALQUIER SABOR LATA EN POLVO C/400GR,2557,,,
,100,,,,BROMURO DE BUTILHIOSCINA 10MG C/10 TAB.,131,,,
,150,,,,DEFLAZACORT 6MG C/20 TAB.,2811,,,
,135,,,,PSYLLIUM PLANTAGO C/400GR,674,,,
,70,,,,LORATADINA + FENILEFRINA SOL. INF. C/60ML,2618,,,
,150,,,,DAPAGLIFOZINA 10MG C/14 TAB.,2952,,,
,150,,,,TELMISARTAN + HIDROCLOROTIAZIDA 80MG/12.5MG C/28 TAB.,561,,,
,127,,,,INDOMETACINA + METOCARBAMOL + BETAMETASONA 25/215/75MG C/20 TAB.,2660,,,
,200,,,,KETOROLACO 30MG SUBLINGUAL C/4 TAB.,1431,,,
,100,,,,AMOXICILINA 500MG C/12 CAP.,98,,,
,80,,,,CLONAZEPAM 2MG C/30 COMP. (II),2410,,,
,122,,,,TAMSULOSINA 0.4MG C/20 CAP.,2603,,,
,150,,,,ESCITALOPRAM 10MG C/28 TAB.,497,,,
,100,,,,POLIVITAMINAS CON MINERALES C/30 CAP.,886,,,
,100,,,,ETINILESTRADIOL + DROSPIRENONA 0.03MG/3.0MG C/21 GRAGEAS,899,,,
,125,,,,ETORICOXIB 120MG C/7 COMP.,941,,,
,100,,,,LORATADINA + FENILEFRINA 5/30MG C/10 GRAGEAS,2845,,,
,150,,,,METFORMINA + VILDAGLIPTINA 50MG/500MG C/30 COMP. RECUBIERTOS,1968,,,
,90,,,,MICONAZOL 2% TUBO CREMA C/20GR,534,,,
,120,,,,GLIMEPERIDINA + METFORMINA 1000MG/4MG C/16 TAB.,1868,,,
,120,,,,SAXAGLIPITINA + METFORMINA 2.5MG/1000MG C/28 TAB.,2926,,,
,100,,,,KETOCONAZOL TUBO CREMA C/30GR,472,,,
,100,,,,PARGEVERINA + CLONIXINATO DE LISINA 10MG/125MG C/20  COMP.,694,,,
,70,,,,TIAMINA+PIRIDOXINA + DEXAMETASONA + CIANOCOBALAMINA + LIDOCAINA NO1 - 3 Y NO - 3 C/JGA AMP.,2809,,,
,105,,,,LOSARTAN + HIDROCLOROTIAZIDA 50MG/12.5MG C/30 COMP.,2620,,,
,100,,,,LEVOTIROXINA SODICA 25MCG C/50 TAB.,343,,,
,100,,,,GLIMEPIRIDA 4MG C/30 TAB.,1420,,,
,100,,,,IPRATROPIO + SALBUTAMOL MONODOSIS 0.5MG/2.5MG NEBUL. C/10 AMP.,187,,,
,100,,,,LAMOTRIGINA 50MG /28 TAB.,1774,,,
,50,,,,LORATADINA 5MG/5ML SOL. C/60ML,1885,,,
,100,,,,BETAMETASONA + CLOTRIMAZOL + GENTAMICINA TUBO CREMA C/25GR,2568,,,
,105,,,,POLIETILENGLICOL FCO. POLVO C/255GR,256,,,
,60,,,,LEVETIRACETAM 500MG C/30 TAB.,469,,,
