,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,280,0.55,0,18/05/2016,ACIDO ACETILSALICILICO 500 MG TAB C/20,,,,$154.00
,500,0.48,0,18/05/2016,AMBROXOL 30MG COMP. ,,,,$240.00
,500,1.33,0,18/05/2016,AMOXICILINA 500,,,,$665.00
,200,1,0,18/05/2016,AMPICILINA 500MG CAP.,,,,$200.00
,400,1.07,0,18/05/2016,ANTIFLUDES AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB,,,,$428.00
,40,30,0,18/05/2016,BETAMETASONA AMP,,,,"$1,200.00"
,600,1.48,0,18/05/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,,$888.00
,200,0.74,0,18/05/2016,CAFIASPIRINA ADULTO TAB C/100,,,,$148.00
,300,0.19,0,18/05/2016,CAPTOPRIL 25MG TAB.,,,,$57.00
,350,1.13,0,18/05/2016,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,,$395.50
,180,1.97,0,18/05/2016,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,,$354.60
,400,3.77,0,18/05/2016,CETIRIZINA TAB 10 MG C/10,,,,"$1,508.00"
,10,12.3,0,18/05/2016,CLORANFENICOL SOL. OFT. ,,,,$123.00
,400,0.73,0,18/05/2016,CLORFENAMINA COMPUESTA KY6 500MG,,,,$292.00
,300,0.18,16,18/05/2016,CURITA 100 PZS TRANSPIEL ANTISEPTIC,,,,$54.00
,700,1.49,0,18/05/2016,DICLOXACILINA 500MG CAP.,,,,"$1,043.00"
,50,17.5,0,18/05/2016,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,$875.00
,80,2.65,0,18/05/2016,FENAZOPIRIDINA/AC NALIDIXICO,,,,$212.00
,8,146,0,18/05/2016,FURACIN POMADA 85 GR.,,,,"$1,168.00"
,624,1.75,0,18/05/2016,GRANEODIN B 10 MG 4 BENZOCAINA ,,,,"$1,092.00"
,120,20.5,0,18/05/2016,HIDRASEC TAB 100 MG C/30,,,,"$2,460.00"
,250,1.23,0,18/05/2016,IBUPROFENO 600 MG,,,,$307.50
,60,2.67,0,18/05/2016,KETOROLACO  TAB SUBLINGUAL  30MG  ,,,,$160.20
,400,1.48,16,18/05/2016,JERINGA 5CC (22X32),,,,$592.00
,500,2.13,0,18/05/2016,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,,"$1,065.00"
,6,83.5,0,18/05/2016,LAV OFTENO 100 ML ACIDO BORICO BORAX ,,,,$501.00
,28,6.42,0,18/05/2016,LEVOFLOXACINO 500MG C/7 TABLETAS,,,,$179.76
,480,0.75,0,18/05/2016,LOPERAMIDA 2 MG C/12 TABLETAS,,,,$360.00
,400,0.8,0,18/05/2016,LORATADINA 10MG GRAGEAS,,,,$320.00
,4,67,16,18/05/2016,LYSOL DESINFECTANTE ,,,,$268.00
,400,2.1,0,18/05/2016,FLEXIVER TABS 15 MG MELOXICAM C/10,,,,$840.00
,300,0.25,0,18/05/2016,Metoclopramida c/20,,,,$75.00
,300,1.9,0,18/05/2016,NAPROXENO GI TABS. DE 500MG C/10,,,,$570.00
,150,0.85,0,18/05/2016,NIMESULIDE GI TABS. DE 100 MG. NIMESULIDE,,,,$127.50
,600,0.68,0,18/05/2016,OMEPRAZOL CAPSULA 20 MG C/14,,,,$408.00
,10,70,0,18/05/2016,TETRACAINA SOL. OFTALMICA GTS. ,,,,$700.00
,500,2.2,0,18/05/2016,SAL DE UVAS PICOT C/50,,,,"$1,100.00"
,72,2.5,0,18/05/2016,XL3 EXTREME ,,,,$180.00
,300,7,0,18/05/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,,"$2,100.00"
,10,12,0,18/05/2016,HIPROMELOSA GOT OFT FRASCO GOTERO ,,,,$120.00
,4,56,0,18/05/2016,MERTHEOLATE BLANCO EN SPRAY 60 ML,,,,$224.00
,4,9,0,18/05/2016,MERTHEOLATE ROJO 40 ML,,,,$36.00
,2,127.5,0,18/05/2016,LONOL CREMA 60 GR PATENTE,,,,$255.00
,2,110,0,18/05/2016,GLICERINA 60 ML SOL.,,,,$220.00
,288,0.72,0,18/05/2016,TUMS TABLETAS MASTICABLES C/48,,,,$207.36
,14,35,16,18/05/2016,TUBO ENDOTRAQUEAL NO. 3.0 C/G,,,,$490.00
,14,35,16,18/05/2016,TUBO ENDOTRAQUEAL NO. 2.5 C/G,,,,$490.00
,14,45,16,18/05/2016,TUBO ENDOTRAQUEAL NO. 3.5 C/G,,,,$630.00
,400,7,0,18/05/2016,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,,"$2,800.00"
,40,0.32,0,18/05/2016,ISOSORBIDA 10 MG SUBLINGUAL,,,,$12.80
