FORMATO DE REQUISICI?N,,,,,,
(RAZON SOCIAL),,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
,,,,,,
DESTINO:,,,,,,ELABORADO POR:
,,,,,,
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,240,1,0,07/02/2016,AMPICILINA 500MG CAP.,
,100,3.77,0,07/02/2016,CETIRIZINA TAB 10 MG C/10,
,160,0.73,0,07/02/2016,CLORFENAMINA COMPUESTA KY6 500MG,
,1000,0.15,16,07/02/2016,COTONETES C/100,
,10,1.3,0,07/02/2016,PARACETAMOL C/ NAPROXENO,
,600,0.57,16,07/02/2016,GASA SECA ESTERIL 7 X 5,
,90,20,0,07/02/2016,HIDRASEC TAB 100 MG C/30,
,150,1.23,0,07/02/2016,IBUPROFENO 600 MG,
,200,1.6,16,07/02/2016,LANCETAS PERFORMA,
,264,0.54,0,07/02/2016,LOPERAMIDA 2 MG C/12 TABLETAS,
,200,4.21,0,07/02/2016,METOCARBAMOL/ MELOXICAM TAB C/10,
,400,0.5,0,07/02/2016,TRIBEDOCE COMPL B TIAMINA/ PIRIDOXINA/ CIANOCOBALAMIN 100 MG C/30,
,400,0.714285714,0,07/02/2016,OMEPRAZOL CAPSULA 20 MG C/14,
,300,1.3,0,07/02/2016,PARACETAMOL C/ NAPROXENO,
,500,2.2,0,07/02/2016,SAL DE UVAS PICOT C/50,
,100,5.4,16,07/02/2016,TIRILLAS ACCU-CHECK PERFORMA,
,100,1.5,16,07/02/2016,TOALLA SANITARIA C/10,
,60,90,0,07/02/2016,TOPRON CAPSULAS ,
,120,0.5,0,07/02/2016,TRIBEDOCE COMPL B TIAMINA/ PIRIDOXINA/ CIANOCOBALAMIN 100 MG C/30,
,24,0.89,0,07/02/2016,MECLIZINA + PIRIDOXINA 25MG TAB.,
