FORMATO DE REQUISICI?N,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
OCTUBRE,,,,,,15-oct-15,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,LUIS,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,40,2.15,0,26/11/2015,ESTOLATO DE ERITROMICINA 500MG TAB.,,,,
,5,38,0,26/11/2015,ACETATO DE METILPREDNISOLONA 40MG/2ML ,,,,
,240,1.125,0,26/11/2015,AMPICILINA 500MG CAP.,,,,
,3,34,0,26/11/2015,DICLOFENACO POTASICO GOTAS PED. 15MG/1ML FCO.,,,,
,10,3.3,0,26/11/2015,FUROSEMIDA 20MG/2ML AMP.,,,,
,10,38.5,0,26/11/2015,HIDROCORTISONA 100MG AMP.,,,,
,10,63,0,26/11/2015,HIDROCORTISONA 500MG AMP.,,,,
,900,10.8,0,26/11/2015,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,
,90,10.8,0,26/11/2015,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,,
,900,15,0,26/11/2015,KETOROLACO 30MG AMP.,,,,
,150,15,0,26/11/2015,KETOROLACO 30MG AMP.,,,,
,80,3.85,0,26/11/2015,LORATADINA + BETAMETASONA 5.0MG/0.25MG TAB.,,,,
,60,0.4875,0,26/11/2015,MALEATO DE CLORFENAMINA 4MG TAB.,,,,
,50,7.4,0,26/11/2015,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,,,
,600,1.162333333,0,26/11/2015,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,,
,450,1.162333333,0,26/11/2015,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,,
,300,2.6,0,26/11/2015,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.,,,,
,60,1.4,0,26/11/2015,NIFEDIPINO 30MG,,,,
,8,47,0,26/11/2015,NORFENEFRINA SO. GOTAS FCO.,,,,
,100,3.16,0,26/11/2015,RANITIDINA 50MG AMP.,,,,
,10,73,0,26/11/2015,TETRACAINA SOL. OFTALMICA GTS. // PATENTE,,,,
,4,73,0,26/11/2015,TETRACAINA SOL. OFTALMICA GTS. // PATENTE,,,,
,80,2.6,0,26/11/2015,TREDA: NEOMICINA 129 MG CAOLIN 280 MG PECTINA MG TABLETAS (GENERICA),,,,
,500,0.196,16,26/11/2015,ABATELENGUAS,,,,
,500,0.196,16,26/11/2015,ABATELENGUAS,,,,
,30,18,0,26/11/2015,AGUA DE IRRIGACION 1LT,,,,
,6,18,0,26/11/2015,AGUA DE IRRIGACION 1LT,,,,
,2,47,16,26/11/2015,BOLSA ROLLO NO. 1,,,,
,5,11.65,0,26/11/2015,GLUCOSADO 5% 250ML,,,,
,5,14.8,0,26/11/2015,GLUCOSADO 5% 500ML,,,,
,7,14.8,0,26/11/2015,HARTMAN 500ML,,,,
,5,27,0,26/11/2015,HARTMAN+GLUCOSADO 5% 500ML,,,,
,10,31,16,26/11/2015,MASCARILLA O2 ADULTO K-22 S/RESERVORIO,,,,
,10,34.7,16,26/11/2015,MASCARILLA O2 PEDIATRICA K-22 S/RESERVORIO,,,,
,3,65,16,26/11/2015,PILA ENERGIZER 9V,,,,
,10,3.15,16,26/11/2015,RASTRILLOS NO ESTERILIZADOS,,,,
,48,6,16,26/11/2015,VENDA ELASTICA 15CM,,,,
,12,6,16,26/11/2015,VENDA ELASTICA 15CM,,,,
,200,4.52,16,26/11/2015,BOQUILLAS PARA ESPIROMETRO,,,,
,400,1.523,16,26/11/2015,LANCETAS P/GLUCOMETRO (ACCU CHEK PERFORMA),,,,
,8,22.5,16,26/11/2015,PILAS AA,,,,
,10,23,16,26/11/2015,PILASÿ C,,,,
,6,65,16,26/11/2015,PILA PARA GLUCOMETRO ,,,,
,30,7.5,16,26/11/2015,PUNTAS NASALES,,,,
,12,20.83,16,26/11/2015,SUTURA NYLON 2,,,,
,108,20.83,16,26/11/2015,SUTURA NYLON 3,,,,
,108,20.83,16,26/11/2015,SUTURA NYLON 4,,,,
,36,22.92,16,26/11/2015,SUTURA NYLON 5,,,,
,600,6.2,16,26/11/2015,TIRAS REACTIVAS (ACCU CHEK PERFORMA),,,,
,72,11.65,0,26/11/2015,SOL. FISIOL. CLORURO DE SODIO 0.9% FCO 250ML,,,,
,24,14.8,0,26/11/2015,SOL. FISIOL. CLORURO DE SODIO 0.9% FCO 500ML,,,,
,10,38,0,26/11/2015,SOLU-MEDROL FCO. AMP. DE 500 MG Y 1 AMP DE DISOLVENTE ML SUCCINATO SODICO DE METILPREDNISOLONA,,,,
,15,226,0,26/11/2015,TRAUMASOL AEROSOL CLORURO DE ETILO,,,,
,100,6.2,16,26/11/2015,ACCU- CHEK REACTIVO PERFORMANCE,,,,
,5,10,16,26/11/2015,AGUA  OXIGENADA 480 ML,,,,
,1,27,0,26/11/2015,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS. 5ML,,,,
,72,2.21,0,26/11/2015,ALKA SELTZER CAJA C/12,,,,
,120,0.65,0,26/11/2015,ASPIRINA 500 MG TAB C/30,,,,
,500,0.74,0,26/11/2015,CAFIASPIRINA ADULTO TAB C/100,,,,
,72,2,0,26/11/2015,CAFIASPIRINA FORTE C/24,,,,
,5,22,16,26/11/2015,CREMA LUBRIDERM,,,,
,500,0.21,16,26/11/2015,CURITA 100 PZS TRANSPIEL ANTISEPTIC,,,,
,480,2.13,0,26/11/2015,GRANEODIN B 10 MG 4 BENZOCAINA,,,,
,54,21.1,0,26/11/2015,HIDRASEC TAB 100 MG C/30,,,,
,3,129.8,0,26/11/2015,KANKA SOLUCION BENZOCAINA/BENZOINA 100ML,,,,
,392,0.21,0,26/11/2015,KLEENEX CJA,,,,
,8,85,0,26/11/2015,"LAV-OFTENO 100 ML ACIDO BORICO, BORAX",,,,
,4,71,16,26/11/2015,LYSOL DESINFECTANTE,,,,
,4,64,0,26/11/2015,MELOX PLUS 360 ML SUSPENSION,,,,
,270,2,0,26/11/2015,"MELOX PLUS TABS MASTICABLES 0 ALUMINIO,MAGNESIO,DIMETICONA CAJA C/30",,,,
,48,2.41,0,26/11/2015,PEPTO BISMOL 4 TAB MASTICABLE,,,,
,4,70,0,26/11/2015,PEPTO BISMOL SUSP C / 236 ML,,,,
,24,11.33,0,26/11/2015,PIRIFUR  COMPRIMIDO,,,,
,2,17,0,26/11/2015,QUADRIDERM CREMA,,,,
,200,2.33,0,26/11/2015,SAL DE UVAS PICOT C/50,,,,
,100,2.2,0,26/11/2015,"SEDALMERK TABLETAS 500 MG PARACETAMOL, CAFEINA Y FENILEFRINA",,,,
,7,16.5,0,26/11/2015,SOLDRIN SOL. OTICA FCO DE 10 ML CLORANFENICOL + HIDROCORTISONA + BENZOCAINA,,,,
,25,3.6,0,26/11/2015,SUERO VIDA ORAL,,,,
,24,4.83,0,26/11/2015,SYNCOL TAB C /24,,,,
,50,3.85,0,26/11/2015,TAMEX TABS. DE 5.0 MG/0.25 MG LORATADINA + BETAMETASONA,,,,
,1,88,0,26/11/2015,TERMO RUB CREMA,,,,
,100,1.5,16,26/11/2015,TOALLAS SANIT KOTEX SIN ALAS NORMALES,,,,
