FORMATO DE REQUISICI‡N,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
34,,,,,,27-oct-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
REFORMA,,,,,,MARIANA LOPEZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
,2,45,,,REPUESTO AROMATIZANTE DOSIFICADOR (AROMA HAWAIIAN GINGER),,LIMPIEZA,,,
,4,145,,,PAPEL HIG. 700527 180 MTS TORK C/12 ROLLCLAVE 700527,,LIMPIEZA,,,
,6,115,,,TOALLA INTER. TORK BLANCA C/2000 CLAVE 700044420,,LIMPIEZA,,,
,1,23.5,,,AXION LIQUIDO,,,,,
,3,20,,,AXION EN POLVO,,LIMPIEZA,,,
,8,24,,,AROMATIZANTE AEROSOL (EXCEPTO CANELA NI FRESA),,LIMPIEZA,,,
,20,4.5,,,PASTILLA PARA BANO,,LIMPIEZA,,,
,8,43,,,PLEDGE P LIMPIAR MADERA,,LIMPIEZA,,,
,4,11.5,,,FIBRA (CON ESPONJA),,LIMPIEZA,,,
,2,17,,,SERVILLETAS C/500,,LIMPIEZA,,,
,2,28.5,,,ESCOBA,,LIMPIEZA,,,
,2,24,,,TRAPEADOR GRANDE,,LIMPIEZA,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
