,,,,FORMATO DE REQUISICI…N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,22-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,ARTURO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
MED0002,100,0.55,0,22/04/2016,ACIDO ACETILSALICILICO 500 MG TAB C/20,,,$55.00
MED1026,300,0.66,0,22/04/2016,"MELOX PLUS TABS MASTICABLES  ALUMINIO,MAGNESIO,DIMETICONA C/50",,,$198.00
MAT0926,2,54,16,22/04/2016,BOLSA DE TORUNDAS DE ALGODON,,,$108.00
MED0065,80,4.83,0,22/04/2016,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,$386.40
MED4448,40,1.48,0,22/04/2016,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,$59.20
MED1028,100,2.9,0,22/04/2016,BUTILHIOSINA / METAMISOL GRAGEAS 10 / MG 250 MG,,,$290.00
MED0066,90,0.19,0,22/04/2016,CAPTOPRIL 25MG TAB.,,,$17.10
MAT0892,12,22.91,16,22/04/2016,CATGUT 3-0 C/12,,,$274.92
MED4452,60,0.55,0,22/04/2016,CISAPRIDA 5 MG TABS C/30,,,$33.00
MAT4051,134,1.17,16,22/04/2016,CONOS PARA OTOSCOPIO CHICO,,,$156.78
MED1012,60,6.9,0,22/04/2016,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,$414.00
MED4443,250,0.47,0,22/04/2016,DICLOFENACO 100MG TAB.C/10,,,$117.50
MED1008,2,17.5,0,22/04/2016,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,$35.00
MED0115,30,5.75,0,22/04/2016,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,$172.50
MED0228,30,0.33,0,22/04/2016,DINITRATO DE ISOSORBIDA 5 MG TAB. SUBLINGUAL,,,$9.90
MED0189,5,35,0,22/04/2016,HIDROCORTISONA 100MG AMP.,,,$175.00
MED1030,100,0.85,0,22/04/2016,IBUPROFENO TABS 400 MG IBUPROFENO,,,$85.00
MED1093,3,52,0,22/04/2016,IBUPROFENO GOTAS,,,$156.00
MED0208,20,0.33,0,22/04/2016,ISORBID TABS. DE 5 MG 0 DINITRATO DE ISOSORBIDA,,,$6.60
MAT1171,300,1.3,16,22/04/2016,JERINGA 3ML (22X32),,,$390.00
MAT1172,300,1.48,16,22/04/2016,JERINGA 5CC (22X32),,,$444.00
MAT4081,6,45,16,22/04/2016,JUEGO DE CANULAS DE GUEDEL,,,$270.00
MED1031,24,2.67,0,22/04/2016,KETOROLACO  TAB SUBLINGUAL  30MG  ,,,$64.08
MED1032,80,5,0,22/04/2016,KETOROLACO 30MG AMP.,,,$400.00
MED1006,100,0.69,0,22/04/2016,KETOROLACO TAB. 10 MG,,,$69.00
MED1061,2,31.9,0,22/04/2016,LIDOCAINA AL 2% FRASCO CON 50ML ,,,$63.80
MED1090,200,0.8,0,22/04/2016,LORATADINA 10MG GRAGEAS,,,$160.00
