,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,1000,0.2,16,18/05/2016,ABATELENGUAS,,,,$200.00
,10,22,0,18/05/2016,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,,,$220.00
,320,0.6862,0,18/05/2016,ASPIRINA ACIDO ACETILSALICILICO  500 MG TAB/ PATENTE,,,,$219.58
,300,0.76,0,18/05/2016,BENZONATATO PERLAS,,,,$228.00
,150,1.812,0,18/05/2016,CIPROFLOXACINO 500MG COMP.,,,,$271.80
,10,33.5,0,18/05/2016,CLORANFENICOL HIDROCORTISONA GOTAS,,,,$335.00
,400,0.95,0,18/05/2016,CLORFENAMINA 4MG TAB,,,,$380.00
,300,0.576,16,18/05/2016,CURITAS REDONDAS,,,,$172.80
,10,29,0,18/05/2016,HIDROCORTISONA CREMA,,,,$290.00
,90,1.92,0,18/05/2016,IBUPROFENO 800 MG/TABLETAS c/10,,,,$172.80
,1000,1.52,16,18/05/2016,LANCETAS P/GLUCOMETRO (ACCU CHECK PERFORMA),,,,"$1,520.00"
,100,2,0,18/05/2016,NAPROXEN 550 MG,,,,$200.00
,5,234,0,18/05/2016,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO ,,,,"$1,170.00"
,450,0.43,0,18/05/2016,PARACETAMOL 500MG TAB. C/10,,,,$193.50
,400,2.94,0,18/05/2016,BUTILHIOSCINA + METAMIZOL 10MG/250MG tabs,,,,"$1,176.00"
,180,2.62,0,18/05/2016,"ALUMINIO, MAGNESIO, DIMETICONA CAJA C/24 PEPTO BISMOL  MASTICABLES",,,,$471.60
,20,3,0,18/05/2016,FENAZOPIRIDINA ACIDO NALIDIXICO,,,,$60.00
,3,17,0,18/05/2016,QUADRIDERM CREMA,,,,$51.00
,400,0.38,0,18/05/2016,RANITIDINA 150MG TAB.,,,,$152.00
,200,2.33,0,18/05/2016,"SEDALMERK TABLETAS 500 MG PARACETAMOL, CAFEINA Y FENILEFRINA",,,,$466.00
,15,16.5,0,18/05/2016,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL OTICA FCO DE 10 ML,,,,$247.50
,10,27,0,18/05/2016,SOLUTINA F GOTAS,,,,$270.00
,200,3.85,0,18/05/2016,TAMEX TABS DE 5.0 MG/0.25 MG LORATADINA + BETAMETASONA ,,,,$770.00
,600,6.72,16,18/05/2016,TIRAS REACTIVAS ACTIVE  PERFORMA CHECK ,,,,"$4,032.00"
,2,2.9,0,18/05/2016,TRAMADOL TAB 50 MG,,,,$5.80
,30,7.1,0,18/05/2016,GENTAMICINA 160MG/2ML AMP.,,,,$213.00
,300,3.56,0,18/05/2016,ESPAVEN ENZIMATICO C/50,,,,"$1,068.00"
,4,29,16,18/05/2016,VASELINA,,,,$116.00
,4,52,0,18/05/2016,MANZANILLA GOTAS,,,,$208.00
,25,19.9,0,18/05/2016,NEORDEN F POMADA PATENTE,,,,$497.50
,150,0.73,0,18/05/2016,LOSARTAN 50MG GRAGEAS,,,,$109.50
,600,2.9,0,18/05/2016,DUOFLEX 200 MG CARISOPODROL 200 MG DICLOFENACO 50 MG,,,,"$1,740.00"
,10,226,0,18/05/2016,TRAUMASOL AEROSOL CLORURO DE ETILO,,,,"$2,260.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,,"$19,707.38"
,,,,,,,,,"$22,860.57"
