FORMATO DE REQUISICI?N,,,,,,,,,,,,
,,,,,,,,,,,,
SME ,,,,,,,,,,,,
SME-100521K58,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,29-dic,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,MARCA,MODELO,DESCRIPCION,PRECIO REFERENCIA
,15,820,16,29/12/2015,BOTA WALKER CHICA,,,,,,,
,13,820,16,29/12/2015,BOTA WALKER MEDIANO,,,,,,,
,8,820,16,29/12/2015,BOTA WALKER GRANDE,,,,,,,
,2,620,16,29/12/2015,RODILLERA C/REFUERZOS  LATERAL  MED  ,,,,,,,
,3,321,16,29/12/2015,"FERULA PARA RODILLA TRIPANEL 16""",,,,,,,
,10,319,16,29/12/2015,FAJA LUMBOSACRA GRANDE,,,,,,,
,10,319,16,29/12/2015,FAJA LUMBOSACRA MEDIANA,,,,,,,
,5,319,16,29/12/2015,FAJA LUMBOSACRA EXTRA GRANDE,,,,,,,
,10,148.35,16,29/12/2015,FERULA FISIOLOGICA PARA MU¥ECA MANO DER C/PULGAR  EN ABDUCCION  NIVERSAL,,,,,,,
,10,145,16,29/12/2015,RODILLERA ABIERTA UNIVERSAL,,,,,,,
,20,144.9,16,29/12/2015,FERULA FISIOLOGICA PARA MU¥ECA MANO IZQ UNIVERSAL,,,,,,,
,20,144,16,29/12/2015,FERULA FISIOLOGICA PARA MU¥ECA MANO DER UNIVERSAL,,,,,,,
,10,62,16,29/12/2015,TOBILLERA ELASTICA GRANDE,,,,,,,
,6,62,16,29/12/2015,TOBILLERA ELASTICA GRANDE,,,,,,,
,15,42,16,29/12/2015,CABESTRILLO GRANDE,,,,,,,
,15,42,16,29/12/2015,CABESTRILLO MEDIANO,,,,,,,
,10,42,16,29/12/2015,CABESTRILLO INFANTIL MED,,,,,,,
,60,40.05,16,29/12/2015,COLLAR CERVICAL UNIVERSAL,,,,,,,
