,,,,FORMATO DE REQUISICI…N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,24-ago-16,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,ARTURO HEREDIA,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
MAT1103,4,7,16,24/08/2016,APOSITO ESTERIL PIEZA,,,
MAT4008,1,625,16,24/08/2016,MOCHILA TRAUMA II,,,
MAT4528,2,41,16,24/08/2016,PINZA KELLY RECTA,,,
MAT1119,1,20,16,24/08/2016,TERMOMETRO ORAL CLINICO MERCURIAL,,,
MAT0990,1,25,16,24/08/2016,VASELINA,,,
MAT4580,1,49,16,24/08/2016,FRASCO PLASTICO 250 ML JABON NEUTRO,,,
MAT4581,1,9,16,24/08/2016,ALCOHOL 250 ML,,,
MAT4582,1,21,16,24/08/2016,BENZAL 500 ML,,,
MAT4583,1,35,16,24/08/2016,LIGADURAS 1 METRO,,,
MAT4584,10,13,16,24/08/2016,ALGODON ESTERILIZADO TORUNDA,,,
MAT4585,10,6.2,16,24/08/2016,GASA ESTERIL 10 X 10 C/10,,,
MAT4586,10,7.5,16,24/08/2016,GASA ESTERIL 7 X 5 C/10,,,
MAT4587,1,104,16,24/08/2016,ISODINE ESPUMA 120 ML,,,
MAT4588,1,40,16,24/08/2016,TIJERA CURVA PUNTA ROMANA ,,,
MAT4589,1,32,16,24/08/2016,VENDA DE GASA 10 CM,,,
MAT4591,2,270,16,24/08/2016,COLLARIN PARA INMOVILIZAR CHICO,,,
MAT4592,1,1200,16,24/08/2016,MANOMETRO PARA TANQUE DE OXIGENO,,,
