,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
CLINICA,,,,,,22-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ARSAIN,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,MONTO
,50,11,16,22/03/2016,SABANA CON ELASTICO .90X2.40X0.14,,,,$550.00
,50,11,16,22/03/2016,SABANA CON ELASTICO 1.20 X 2.00 CHEPEVERA,,,,$550.00
,50,6.5,16,22/03/2016,PANTALON CORTO,,,,$325.00
,100,0.672,16,22/03/2016,GUANTES LATEX MEDIANOS NO ESTERIL,,,,$67.20
,1,21,16,22/03/2016,ALCOHOL ETILICO DESNAT. 70 1LT,,,,$21.00
,1,50,16,22/03/2016,BOLSA DE TORUNDAS DE ALGODON,,,,$50.00
,7,195,16,22/03/2016,ROLLO DE KINESIO COLOR AZUL ,,,,"$1,365.00"
,8,195,16,22/03/2016,ROLLO DE KINESIO COLOR BEIGE ,,,,"$1,560.00"
,10,195,16,22/03/2016,ROLLO DE KINESIO COLOR ROSA ,,,,"$1,950.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,,"$12,473.20"
,,,,,,,,,"$1,995.71"
,,,,,,,,,"$14,468.91"
