,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
SME,,,,,,13-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,1,504.43,16,13/06/2016,ACEITE LUBRICANTE (PANASPRAY),,,,$504.43
,12,351.18,16,13/06/2016,AGUJAS DESECHABLES CORTAS MONOJET NO. 30,,,,"$4,214.16"
,1,14641.55,16,13/06/2016,AMALGAMA EN CAPS. PREDOSIF. DE 600MG. BOTE,,,,"$14,641.55"
,10,474.08,0,13/06/2016,ANESTESIA AL 2%,,,,"$4,740.80"
,5,474.08,0,13/06/2016,ANESTESIA AL 3%,,,,"$2,370.40"
,4,44.44,0,13/06/2016,ANESTESIA TOPICA FCO. 30GR,,,,$177.76
,1,407.54,16,13/06/2016,APLICADORES DE FIBRA DESECHABLES,,,,$407.54
,1,360.41,16,13/06/2016,BOQUILLAS PARA FLORURO CHICAS SULTAN,,,,$360.41
,20,77.29,16,13/06/2016,CORONA DE ACERO LATERAL UL3 907023 3M,,,,"$1,545.80"
,11,77.29,16,13/06/2016,CORONA DE ACERO LATERAL UR1 907031 3M,,,,"$1,545.80"
,13,77.29,16,13/06/2016,CORONA DE ACERO MOLAR DER D-UR-5 3M,,,,"$1,545.80"
,20,77.29,16,13/06/2016,CORONA DE ACERO MOLAR IZQ D-LL-3 3M,,,,"$1,545.80"
,20,77.29,16,13/06/2016,CORONA DE ACERO MOLAR IZQ D-UL-4 3M,,,,"$1,545.80"
,19,77.29,16,13/06/2016,CORONA DE ACERO MOLAR IZQ D-UL-5 3M,,,,"$1,545.80"
,20,77.29,16,13/06/2016,CORONA DE ACERO MOLAR IZQ E-LL-3 3M,,,,"$1,545.80"
,20,77.29,16,13/06/2016,CORONA DE ACERO MOLAR IZQ E-UL-3 3M,,,,"$1,545.80"
,20,77.29,16,13/06/2016,CORONA DE ACERO MOLAR IZQ E-UL-4 3M,,,,"$1,545.80"
,772.47,7,16,13/06/2016,EYECTORES DE SALIVA MONOJET,,,,"$5,407.29"
,30,19.04,16,13/06/2016,FRESA CARBURO PERA NO. 330,,,,$571.20
,30,19.04,16,13/06/2016,FRESA CILINDRICA DIAMANTE NO. 699 JET,,,,$571.20
,90,19.04,16,13/06/2016,FRESA DE CARBURO DE ALTA VELOCIDAD NO. 331,,,,"$1,713.60"
,80,19.42,16,13/06/2016,FRESA DE CARBURO DE ALTA VELOCIDAD NO. 5 JET,,,,"$1,553.60"
,30,37.7,16,13/06/2016,FRESA DIAMANTE NO. 1062 TF11,,,,"$1,131.00"
,12,42.79,16,13/06/2016,FRESAS FORMA LLANTA,,,,$641.85
,2,1696.88,16,13/06/2016,LIMPIADOR ENZIMATICO CONCENTRADO GALON ZYMEX,,,,"$3,393.76"
,10,64.28,16,13/06/2016,OXIDO DE ZINC DENTSPLY,,,,$642.80
,4,38.44,16,13/06/2016,PANOS EXPRIMIDORES DE AMALGAMA C/50,,,,$153.76
,4,656.55,16,13/06/2016,SOL. DESINFECTANTE Y ESTERILIZANTE SPOROX II GALON,,,,"$2,626.20"
,1,755.7,16,13/06/2016,VASOS DESECHABLES LILA,,,,$755.70
,2,308.39,16,13/06/2016,TOALLAS INTERDOBLADA SURTIDA,,,,$616.78
,1,982.27,16,13/06/2016,VASOS DESECHABLES BLANCO,,,,$982.27
,1,982.27,16,13/06/2016,VASOS DESECHABLES VERDE,,,,$982.27
,,,,,,,,, $-   
,,,,,,,,,"$65,508.64"
,,,,,,,,,"$75,990.02"
