,,,,FORMATO DE REQUISICI?N,,,,
,,,,(RAZON SOCIAL),,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,2,640,16,27/04/2016,KIT DE FERULAS MARCA EMS AZUL                                                               ,,,
,2,2880,16,27/04/2016,KIT DE INMOBILIZADORES JUEGO DE INMOBILIZACION EMS (BASICO)               ,,,
,2,310,16,27/04/2016,KIT DE AMARRE PARA INMOBILIZAR MARCA EMS (ARANA),,,
,2,230,16,27/04/2016,COLLARIN PARA INMOBILIZAR,,,
,2,230,16,27/04/2016,BAUMANOMETRO CON ESTETOSCOPIO,,,
