STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,2591,0,0,2016-01-22,OMEPRAZOL 20MG C/14 CAP.,657
,1835,0,0,2016-01-22,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919
,1443,0,0,2016-01-22,PANTOPRAZOL 40MG C/14 GRAGEAS,1479
,1414,0,0,2016-01-22,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836
,1242,0,0,2016-01-22,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769
,1177,0,0,2016-01-22,ATORVASTATINA 10MG C/20 TAB.,2762
,1109,0,0,2016-01-22,PARACETAMOL 1GR C/20 TAB.,810
,1100,0,0,2016-01-22, DIOSMINA + HESPERIDINA 500MG C/20 TAB.,2485
,1058,0,0,2016-01-22,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NINO FCO. C/90 DISP. Y 1,2552
,1021,0,0,2016-01-22,IBUPROFENO 400MG C/10 TAB.,2678
,1002,0,0,2016-01-22,DICLOFENACO 1.160% GEL C/60GR,371
,872,0,0,2016-01-22,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692
,823,0,0,2016-01-22,PIOGLITAZONA 30MG C/7 TAB.,914
,804,0,0,2016-01-22,LORATADINA + AMBROXOL 5MG/30MG/5ML JBE. C/120ML,376
,777,0,0,2016-01-22,ATORVASTATINA 20MG C/10 TAB.,2761
,771,0,0,2016-01-22,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910
,734,0,0,2016-01-22,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304
,727,0,0,2016-01-22,AMLODIPINO 5MG C/10 TAB.,2593
,703,0,0,2016-01-22,PARACETAMOL 500MG C/10 TAB.,712
,691,0,0,2016-01-22,PREGABALINA 75MG C/28 CAP.,512
,690,0,0,2016-01-22,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341
,671,0,0,2016-01-22,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924
,640,0,0,2016-01-22,SENOSIDOS A-B 374MG C/30 TAB.,789
,620,0,0,2016-01-22,IBUPROFENO + PARACETAMOL 325MG C/20 TAB.,2608
,607,0,0,2016-01-22,ETORICOXIB 90MG C/14 COMP.,965
,600,0,0,2016-01-22,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786
,591,0,0,2016-01-22,METFORMINA 850MG C/30 TAB.,1897
,589,0,0,2016-01-22,DEXLANSOPRAZOL 30MG C/14 CAP.,2953
,584,0,0,2016-01-22,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368
,575,0,0,2016-01-22,CEFALEXINA 500MG C/20 CAP.,169
,537,0,0,2016-01-22,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452
,531,0,0,2016-01-22,LORATADINA + BETAMETASONA 5.0MG/0.25MG C/10 TAB.,1440
,502,0,0,2016-01-22,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576
,493,0,0,2016-01-22,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG C/15 TAB.,2664
,476,0,0,2016-01-22,CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML,754
,468,0,0,2016-01-22,LEVOTIROXINA SODICA 100MCG C/50 TAB.,502
