,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,31-may-16,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,
,2400,0,0,2016-05-31,OMEPRAZOL 20MG C/14 CAP.,657,,,,,
,1100,0,0,2016-05-31,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,,,,,
,1000,0,0,2016-05-31,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769,,,,,
,900,0,0,2016-05-31,PANTOPRAZOL 40MG C/14 GRAGEAS,1479,,,,,
,800,0,0,2016-05-31,TRAMADOL + PARACETAMOL 37.5/325MG C/20 TAB.,836,,,,,
,800,0,0,2016-05-31, DIOSMINA + HESPERIDINA 500MG C/20 TAB.,2485,,,,,
,800,0,0,2016-05-31,ATORVASTATINA 20MG C/10 TAB.,2761,,,,,
,800,0,0,2016-05-31,ATORVASTATINA 10MG C/20 TAB.,2762,,,,,
,800,0,0,2016-05-31,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692,,,,,
,700,0,0,2016-05-31,DICLOFENACO 1.160% GEL C/60GR,371,,,,,
,700,0,0,2016-05-31,PARACETAMOL 500MG C/10 TAB.,712,,,,,
,600,0,0,2016-05-31,PIOGLITAZONA 30MG C/7 TAB.,914,,,,,
,600,0,0,2016-05-31,AMLODIPINO 5MG C/10 TAB.,2593,,,,,
,580,0,0,2016-05-31,METFORMINA 850MG C/30 TAB.,1897,,,,,
,500,0,0,2016-05-31,KETOROLACO + TRAMADOL 10MG/25MG C/10 CAP.,2796,,,,,
,500,0,0,2016-05-31,IBUPROFENO 2GR/100ML SUSP. 120ML,55,,,,,
,500,0,0,2016-05-31,NAPROXENO SODICO + PARACETAMOL 275MG/300MG C/10 TAB.,2647,,,,,
,450,0,0,2016-05-31,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910,,,,,
,400,0,0,2016-05-31,PREGABALINA 75MG C/28 CAP.,512,,,,,
,400,0,0,2016-05-31,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341,,,,,
,400,0,0,2016-05-31,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576,,,,,
,400,0,0,2016-05-31,DEXLANSOPRAZOL 30MG C/14 CAP.,2953,,,,,
,400,0,0,2016-05-31,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,,,,,
,400,0,0,2016-05-31,PARACETAMOL 1GR C/20 TAB.,810,,,,,
,400,0,0,2016-05-31,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786,,,,,
