STOCK ID,CANTIDAD (Piezas),PRECIO UNITARIO,IMPUESTO,FECHA,DESCRIPCION,ID AGRUPADOR
MED0010,24,2.21,0,22/12/2015,ALKA SELSER .EF,
MED1026,50,1.3,0,22/12/2015,ALUMINIO Y MAGNECIO (melox) TAB. ,
MED0002,40,0.65,0,22/12/2015,ACIDO ACETILSALICILICO 500MG,
MED1050,60,0.885,0,22/12/2015,BENZONATATO PERLAS ,
MED4448,40,2.5,0,22/12/2015,BUTILHIOSINA GRAGEAS 10 MG,
MED1013,30,2.75,0,22/12/2015,BUTILHIOSINA / METAMISOL GRAGEAS,
MED1069,3,5,0,22/12/2015,BUTILHIOSINA INY. 20 MG,
MED4480,40,0.95,0,22/12/2015,CLORFENAMINA COMPUESTA,
MED0066,30,0.25,0,22/12/2015,CAPTOPRIL DE 25 MG. ,
MED4481,12,18,0,22/12/2015,COMPLEJO B C/DEXAMETASONA LIDOCAINA INY,
MED4482,12,19.16666667,0,22/12/2015,COMPLEJO B C/DICLOFENACO INY,
MED1012,5,10.8,0,22/12/2015,DEXAMETASONA  SOL. INY. 8 MG,
MED4443,100,0.54,0,22/12/2015,DICLOFENACO 100 MG ,
MED1008,2,17.8,0,22/12/2015,DICLOFENACO GEL,
MED4483,90,1.2,0,22/12/2015,"COMPLEJO B CON DICLOFENACO TAB,",
MED1059,96,2.041666667,0,22/12/2015,GRANEODIN TAB.,
MED1030,50,1.1,0,22/12/2015,IBUPROFENO  TAB. 400 MG,
MED1031,20,3.375,0,22/12/2015,KETOROLACO  TAB 30 ML  SL ,
MED1032,15,5,0,22/12/2015,KETOROLACO INY. 30 MG ,
MED1006,60,1.16,0,22/12/2015,KETOROLACO TAB. 10 MG,
MED0223,60,0.791666667,0,22/12/2015,LOPERAMIDA  TAB. 2 MG,
MED1090,40,1.26,0,22/12/2015,LORATADINA TAB.,
MED4484,40,2.1,0,22/12/2015,LORATADINA / AMBROXOL ,
MED0225,50,3.8,0,22/12/2015,LORATADINA/ FENILEFRINA,
MED0235,30,0.85,0,22/12/2015,METAMIZOL SODICO 500 MG,
MED0238,10,0.8,0,22/12/2015,METOCLOPRAMIDA,
MED1033,2,19.5,0,22/12/2015,NAFAZOLINA GOTAS OFTALMICAS,
MED0251,100,0.54,0,22/12/2015,NAPROXENO TAB 500 MG,
MED1089,20,0.845,0,22/12/2015,NIMESULIDA TAB. 100 MG,
MED4485,70,0.75,0,22/12/2015,OMEPRAZOL COMP.40 MG,
MED1088,100,0.5,0,22/12/2015,PARACETAMOL TAB. 500 MG,
MED1036,400,0.9425,0,22/12/2015,PARACETAMOL / CAFEINA TABS,
MED0320,150,2.34,0,22/12/2015,SAL DE UVAS PICOT ,
MED1009,96,2.416666667,0,22/12/2015,TABCIN ,
MED0358,60,1.26,0,22/12/2015,MECLIZINA/PIRIDOXINA TAB,
MED4455,1,10,0,22/12/2015,GLIBENCLAMIDA,
MED4491,90,7.198666667,0,22/12/2015,DOLONEUROBION TAB,
MED4472,2,17,0,22/12/2015,AGUA INYECTABLE 500ML,
MAT0042,1,22,0.16,22/12/2015,ALCOHOL,
MAT0210,1,15,0,22/12/2015,CLORURO DE SODIO DE 500ML,
MAT0208,1,19,0,22/12/2015,CLORURO DE SODIO DE 1000ML,
MAT1012,10,5,0.16,22/12/2015,VENDA ELASTICA 10 CM,
MAT1016,20,3.5,0.16,22/12/2015,VENDA ELASTICA 5 CM,
MAT0349,1,22,0.16,22/12/2015,CURITAS,
MAT4025,1,119.5,0.16,22/12/2015,GUANTES DESECHABLE (esteriles) grandes,
MAT4016,1,119.5,0.16,22/12/2015,GUANTES DESECHABLE (esteriles) medianos,
MAT1196,100,6.72,0.16,22/12/2015,TIRAS REACTIVAS DE GLUCOMETRO (ACCU CHEK 222),
