,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,FECHA:,,,,,,
,,,,,,13-ene-16,,,,,,
,,,,,,ELABORADO POR:,,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,,
,65,0,0,2015-01-13,ACEITE DE ALMENDRAS-UREA-VIT.B5 TUBO CREMA C/125GR,1550,,,,,,
,6,0,0,2015-01-13,ACETONIDO DE FLUOCINOLONA + NISTATINA + METRONIDAZOL C/10 OVULOS,53,,,,,,
,3,0,0,2015-01-13,ACETONIDO DE FLUOCINOLONA TUBO C/30GR,511,,,,,,
,1,0,0,2015-01-13,ACIDO ACEXAMICO 5GR/100GR UNGUENTO TUBO C/40GR,726,,,,,,
,5,0,0,2015-01-13,ACIDO ASCORBICO + VITAMINA + VITAMINA C 1GR C/10 TAB.,2772,,,,,,
,13,0,0,2015-01-13,ACIDO NALIDIXICO + FENAZOPIRIDINA 500MG/50MG C/20 TAB.,2775,,,,,,
,2,0,0,2015-01-13,ACIDO SALICILICO + ACIDO LACTICO + SOL. 26%/15% FCO. C/15ML,3031,,,,,,
,17,0,0,2015-01-13,ACIDO TIOCTICO 600MG C/30 TAB.,848,,,,,,
,10,0,0,2015-01-13,ACIDO VALPROICO JARABE 250MG C/120ML,290,,,,,,
,25,0,0,2015-01-13,ALENDRONATO SODICO TRIHIDRATADO + VITAMINA D3 70MG/2800UI C/4 COMP.,1436,,,,,,
,1,0,0,2015-01-13,ALFARE POLVO LATA C/400GR,2469,,,,,,
,4,0,0,2015-01-13,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,,,,,
,26,0,0,2015-01-13,ALPRAZOLAM 0.25MG C/30 TAB. (II),2778,,,,,,
,4,0,0,2015-01-13,ALTHERA POLVO LATA C/450GR,2019,,,,,,
,8,0,0,2015-01-13,ALUMINIO + MAGNESIO + DIMETICONA C/50 TAB. (MENTA),699,,,,,,
,23,0,0,2015-01-13,ALUMINIO + MAGNESIO + DIMETICONA SUSP. FCO. C/360ML (MENTA),700,,,,,,
,81,0,0,2015-01-13,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG C/15 TAB.,2664,,,,,,
,15,0,0,2015-01-13,AMANTADINA + CLORFENAMINA + PARACETAMOL SOL. PED. GOTAS C/30ML,31,,,,,,
,2,0,0,2015-01-13,AMITRIPTILINA 25MG C/50 TAB.,84,,,,,,
,137,0,0,2015-01-13,AMLODIPINO 5MG C/10 TAB.,2593,,,,,,
,90,0,0,2015-01-13,AMOXICILINA + ACIDO CLAVULANICO 875MG/125MG C/10 TAB.,1452,,,,,,
,10,0,0,2015-01-13,AMOXICILINA 250MG SUSP. C/75ML,24,,,,,,
,3,0,0,2015-01-13,AMPICILINA 1GR I.M. C/1 AMP.,99,,,,,,
,1,0,0,2015-01-13,AMPICILINA 250MG SUSP. C/60ML,2781,,,,,,
,3,0,0,2015-01-13,ARIPIPRAZOL 15MG C/10 TAB.,50,,,,,,
,11,0,0,2015-01-13,ATENOLOL 100MG C/28 TAB.,849,,,,,,
,8,0,0,2015-01-13,ATENOLOL 50MG C/28 TAB.,2782,,,,,,
,3,0,0,2015-01-13,ATOMOXETINA 40MG C/14 CAP.,807,,,,,,
,37,0,0,2015-01-13,ATORVASTATINA 40MG C/10 TAB.,2763,,,,,,
,4,0,0,2015-01-13,AZATIOPRINA 50MG C/50 TAB.,51,,,,,,
,1,0,0,2015-01-13,AZILSARTAN MEDOXOMILO + CLORTALIDONA 40/12.5 C/28 TAB.,2944,,,,,,
,8,0,0,2015-01-13,AZILSARTAN MEDOXOMILO + CLORTALIDONA 80/12.5 C/28 TAB.,2948,,,,,,
,1,0,0,2015-01-13,AZILSARTAN MEDOXOMILO 40MG C/28 TAB.,2946,,,,,,
,5,0,0,2015-01-13,AZILSARTAN MEDOXOMILO 80MG C/28 TAB.,2947,,,,,,
,19,0,0,2015-01-13,AZITROMICINA 600MG FCO. SUSP. C/15ML,1855,,,,,,
,17,0,0,2015-01-13,BETAHISTINA 24MG C/30 TAB.,2931,,,,,,
,1,0,0,2015-01-13,BETAMETASONA PEDIATRICA  50MG GOTAS FCO. C/60ML,171,,,,,,
,36,0,0,2015-01-13,BISOPROLOL 1.25MG C/30 GRAGEAS,252,,,,,,
,37,0,0,2015-01-13,BISOPROLOL 2.5MG C/30 GRAGEAS,206,,,,,,
,2,0,0,2015-01-13,BISOPROLOL 5MG C/30 GRAGEAS,1160,,,,,,
,5,0,0,2015-01-13,BRIMONIDINA + TIMOLOL 0.2%/0.5% SOL. OFT. FCO. C/5ML,225,,,,,,
,6,0,0,2015-01-13,BROMAZEPAM 3MG C/30 TAB.,588,,,,,,
,11,0,0,2015-01-13,BROMURO DE BUTILHIOSCINA 10MG C/10 TAB.,131,,,,,,
,30,0,0,2015-01-13,BROMURO DE PINAVERIO 100MG C/14 TAB.,294,,,,,,
,6,0,0,2015-01-13,BROMURO DE PIRIDOSTIGMINA 60MG C/20 TAB.,531,,,,,,
,83,0,0,2015-01-13,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,,,,,,
,11,0,0,2015-01-13,BUDESONIDA + FORMOTEROL 160MG/4.5MCG SPRAY,782,,,,,,
,2,0,0,2015-01-13,BUDESONIDA + FORMOTEROL 80MG/4.5MCG SPRAY,1782,,,,,,
,10,0,0,2015-01-13,BUDESONIDA 0.125MG/ML NEBUL. C/5 AMP. SOBRE 2ML,1008,,,,,,
,22,0,0,2015-01-13,CABERGOLINA 0.5MG C/2 TAB.,282,,,,,,
,3,0,0,2015-01-13,CALCITRIOL 0.25MCG C/50 CAP.,1862,,,,,,
,88,0,0,2015-01-13,CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML,754,,,,,,
,7,0,0,2015-01-13,CARBOXIMETILCELULOSA/ GLICERINA GEL OFT TUBO 10GRS,1128,,,,,,
,5,0,0,2015-01-13,CARVEDILOL 25MG C/14 TAB.,2594,,,,,,
,72,0,0,2015-01-13,CEFALEXINA 500MG C/20 CAP.,169,,,,,,
,21,0,0,2015-01-13,CEFIXIMA 100MG/5ML SUSP. ORAL C/100ML,1135,,,,,,
,10,0,0,2015-01-13,CEFIXIMA DE 200MG C/12 CAP.,1335,,,,,,
,3,0,0,2015-01-13,CEFUROXIMA 500MG C/10 TAB.,1488,,,,,,
,15,0,0,2015-01-13,CETIRIZINA 10MG C/10 TAB.,884,,,,,,
,14,0,0,2015-01-13,CETIRIZINA SOL 10MG/ML C/10ML,871,,,,,,
,9,0,0,2015-01-13,CETIRIZINA SOL. FCO. C/50ML,885,,,,,,
,21,0,0,2015-01-13,CICLOPIROX 8% SOL. C/3ML,1377,,,,,,
,51,0,0,2015-01-13,CINITAPRIDA 1MG C/25 COMP.,2788,,,,,,
,3,0,0,2015-01-13,CINOSTAZOL 100MG C/30 TAB.,2949,,,,,,
,23,0,0,2015-01-13,CIPROFLOXACINO 250MG C/12 TAB,924,,,,,,
,6,0,0,2015-01-13,CIPROTERONA + ETINILESTRADIOL 2MG/.035MG C/21 GRAGEAS ,1522,,,,,,
,17,0,0,2015-01-13,CITRATO DE CALCIO + VITAMINA D3 315MG C/60 TAB.,1361,,,,,,
,10,0,0,2015-01-13,CITRATO DE SILDENAFIL 50MG C/4 TAB.,2790,,,,,,
,23,0,0,2015-01-13,CLARITROMICINA + AMBROXOL 500MG/45MG C/10 TAB.,2731,,,,,,
,7,0,0,2015-01-13,CLEBOPRIDA + SIMETICONA C/45 CAP.,2950,,,,,,
,4,0,0,2015-01-13,CLINDAMICINA + KETOCONAZOL 800/100MG C/3 TAB. VAGINALES,1029,,,,,,
,12,0,0,2015-01-13,CLINDAMICINA 300MG C/16 CAP.,2680,,,,,,
,1,0,0,2015-01-13,CLOBAZAM 10MG C/30 TAB.,581,,,,,,
,19,0,0,2015-01-13,CLONAZEPAM 2.5MG/1ML GOTAS 10ML (II),468,,,,,,
,8,0,0,2015-01-13,CLONAZEPAM 2MG C/30 COMP. (II),2410,,,,,,
,4,0,0,2015-01-13,CLONIXITATO DE LISINA + CICLOBENZAPRINA 125/5 C/20 TAB.,2307,,,,,,
,11,0,0,2015-01-13,CLORFENAMINA I 50MG JBE. FCO. C/60ML,1503,,,,,,
,11,0,0,2015-01-13,CLORHIDRATO DE ALFUZOSINA 10MG LIB. PROL. C/28 TAB.,893,,,,,,
,3,0,0,2015-01-13,CLORHIDRATO DE AMIODARONA 200MG C/20 TAB.,2795,,,,,,
,1,0,0,2015-01-13,CLORHIDRATO DE IMIPRAMINA 25MG C/20 TAB.,2367,,,,,,
,19,0,0,2015-01-13,CLORHIDRATO DE PAROXETINA 20MG C/10 TAB.,1877,,,,,,
,15,0,0,2015-01-13,CLORHIDRATO DE TRAMADOL 100MG/ML GOTAS C/10ML,1880,,,,,,
,2,0,0,2015-01-13,CLORMADINONA + MESTRANOL 2MG/80MCG C/21 TAB.,764,,,,,,
,18,0,0,2015-01-13,CLORURO DE SODIO Y GLICEROL 30ML ADTO. SOL. FCO C/30ML,2754,,,,,,
,2,0,0,2015-01-13,COLCHICINA 1MG C/20 TAB.,185,,,,,,
,1,0,0,2015-01-13,DESMOPRESINA 10MCG C/25 DOSIS POR FCO SPRAY,2813,,,,,,
,3,0,0,2015-01-13,DESVENLAFAXINA 100ML C/28 COMP.,2899,,,,,,
,6,0,0,2015-01-13,DESVENLAFAXINA 50MG C/28 COMP.,2905,,,,,,
,3,0,0,2015-01-13,DEXAMETASONA + TOBRAMICINA UNGUENTO OFT. TUBO C/3.5GR,2676,,,,,,
,27,0,0,2015-01-13,DEXKETOPROFENO TROMETAMOL 25MG C/10 TAB.,1241,,,,,,
,12,0,0,2015-01-13,DEXTROMETORFANO + GUAIFENESINA + FENILEF PED. C/30ML,2815,,,,,,
,132,0,0,2015-01-13,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341,,,,,,
,187,0,0,2015-01-13,DICLOFENACO 1.160% GEL C/60GR,371,,,,,,
,7,0,0,2015-01-13,DICLOFENACO POTASICO 15MG SUSP. GOTAS C/20ML,2611,,,,,,
,8,0,0,2015-01-13,DICLOFENACO POTASICO 25MG C/20 GRAGEAS,165,,,,,,
,49,0,0,2015-01-13,DICLOFENACO SODICO + B1 + B6 +B12 50MG/50MG/50MG/0.25MG C/30 GRAGEAS,377,,,,,,
,4,0,0,2015-01-13,DICLOFENACO SODICO 75MG/3ML SOL. INY. ENV. C/2 AMP.,295,,,,,,
,1,0,0,2015-01-13,DIENOGEST 2MG C/28 TAB.,2961,,,,,,
,1,0,0,2015-01-13,DILTIAZEM 240MG C/10 TAB.,103,,,,,,
,7,0,0,2015-01-13,DILTIAZEM 60MG C/30 COMPS.,82,,,,,,
,8,0,0,2015-01-13,DIMENHIDRINATO JARABE FCO. C/120ML,284,,,,,,
,238,0,0,2015-01-13,DIOSMINA + HESPERIDINA 500MG C/20 TAB.,2485,,,,,,
,2,0,0,2015-01-13,DOMPERIDONA SUSP. C/60ML,1011,,,,,,
,3,0,0,2015-01-13,DROPROPIZINA JARABE C/120ML,2230,,,,,,
,22,0,0,2015-01-13,EBASTINA 20MG C/30 OBLEAS,1053,,,,,,
,53,0,0,2015-01-13,ENALAPRIL 10MG C/30 TAB.,2679,,,,,,
,7,0,0,2015-01-13,ENOXAPARINA SODICA 60MG/0.4ML C/2 JER.S PRELLENADAS,2496,,,,,,
,7,0,0,2015-01-13,ERDOSTEINA 300MG C/20 CAP.,1820,,,,,,
