,,,,FORMATO DE REQUISICIÖN,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MAT0044,10,21,16,19/05/2016,ALCOHOL ETILICO DESNAT. 70 1LT,,,,$210.00
MAT0090,1,52.5,16,19/05/2016,BOLSA DE TORUNDAS DE ALGODON,,,,$52.50
MAT0570,100,2.3,16,19/05/2016,JERINGA 10CC (22X32),,,,$230.00
MAT0573,200,1.45,16,19/05/2016,JERINGA 3ML (22X32),,,,$290.00
MAT0575,200,1.95,16,19/05/2016,JERINGA 5CC (22X32),,,,$390.00
MAT1016,24,2.4,16,19/05/2016,VENDA ELASTICA 5CMX4.5MTS,,,,$57.60
MAT4016,100,1.18,16,19/05/2016,GUANTES LATEX MEDIANOS ESTERIL,,,,$118.00
MAT4511,200,1.53,16,19/05/2016,LANCETAS P/GLUCOMETRO ACCU CHECK ACTIVE  ,,,,$306.00
MAT0001,500,0.2,16,19/05/2016,ABATELENGUAS,,,,$100.00
MAT0484,200,1.1,16,19/05/2016,GASA SECA ESTêRIL 10X10,,,,$220.00
MAT0668,16,22.5,16,19/05/2016,PILA AAA,,,,$360.00
MAT0734,1,790,16,19/05/2016,PULSOXIMETRO   ,,,,$790.00
MAT0753,2,55,16,19/05/2016,RECOLECTOR P/MATERIAL PUNZOCORANTE 3.7LTS,,,,$110.00
MAT0916,100,6.2,16,19/05/2016,TIRAS REACTIVAS ( ACCU CHECK PERFOMA ),,,,$620.00
MAT1164,50,6.72,16,19/05/2016,TIRAS REACTIVAS ACTIVE  ACCU CHECK ,,,,$336.00
MAT1173,100,9.5,16,19/05/2016,SABANA PARA CAMILLA,,,,$950.00
EQU003,1,285,16,19/05/2016,BAUMANOMETRO ANEROIDE ,,,,$285.00
MAT4517,10,39,16,19/05/2016,PILA RL 44 (PARA TERMOMETRO DIGITAL),,,,$390.00
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,"$5,815.10"
,,,,,,,,,"$6,745.52"
