STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,10,0,0,2016-06-21,BETAMETASONA + CLOTRIMAZOL + GENTAMICINA TUBO CREMA C/25GR,2568
,150,0,0,2016-06-21,LORATADINA + FENILEFRINA SOL. INF. C/60ML,2618
,60,0,0,2016-06-21,OXIMETAZOLINA 25MG SOL. NASAL FCO. NEB. C/20ML,231
,40,0,0,2016-06-21,RIVAROXABAN 10MG C/10 COMP. RECUBIERTOS,2915
,10,0,0,2016-06-21,DILTIAZEM 60MG C/30 COMPS.,82
,10,0,0,2016-06-21,ACIDO ACETILSALICILICO 500MG C/20 TAB.,2768
,10,0,0,2016-06-21,CLIOQUINOL TUBO CREMA 30GR,2791
,10,0,0,2016-06-21,INFLIXIMAB F.A. 100MG C/20ML,736
,30,0,0,2016-06-21,ENOXAPARINA SODICA 40MG/0.4ML C/2 JER.S PRELLENADAS,179
,6,0,0,2016-06-21,SILIMARINA 70MG C/20 COMP.,2151
,8,0,0,2016-06-21,BICALUTAMIDA 150MG C/28 TAB.,2753
,2000,0,0,2016-06-21,OMEPRAZOL 20MG C/14 CAP.,657
,800,0,0,2016-06-21,PANTOPRAZOL 40MG C/14 GRAGEAS,1479
,500,0,0,2016-06-21,ATORVASTATINA 10MG C/20 TAB.,2762
,800,0,0,2016-06-21,ACIDO ACETILSALICILICO 100MG C/30 TAB.,2769
,300,0,0,2016-06-21,PARACETAMOL 1GR C/20 TAB.,810
,400,0,0,2016-06-21,AGUA DE MAR HIPERTONICA ESTERIL 125ML DOSIFICADOR INTERCAMBIABLE AD. Y NI—O FCO. C/90 DISP. Y 1,2552
,800,0,0,2016-06-21,IBUPROFENO 400MG C/10 TAB.,2678
,500,0,0,2016-06-21,DICLOFENACO 1.160% GEL C/60GR,371
,500,0,0,2016-06-21,KETOROLACO TROMETAMINA 10MG C/10 TAB.,2692
,400,0,0,2016-06-21,PIOGLITAZONA 30MG C/7 TAB.,914
,400,0,0,2016-06-21,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910
,400,0,0,2016-06-21,AMLODIPINO 5MG C/10 TAB.,2593
,400,0,0,2016-06-21,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341
,400,0,0,2016-06-21,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924
