,,,,,,,,,,
FORMATO DE REQUISICI‡N,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,14-oct-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
,,,,,,SARA HERNANDEZ,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL,
,14,400,16,2016-12-12,TONER HP CF280A NEGRO PROM401 LASERJET REMANUFACTURADO,,,,,
,10,147.7,16,2016-12-12,TARJETA PVC C/100,,,,,
,1,1540.3,16,2016-12-12,CINTAS RETRANSFER FILM FARGO N/P 84053 HDP5000,,,,,
,3,2321,16,2016-12-12,CINTAS COLOR RIBBON FARGO N/P 84051 PARA HDP5000,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
