,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,UBOLD,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,10,11,0,2016-03-22,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,,, $110.00 
,1200,6.9,0,2016-03-22,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,,," $8,280.00 "
,450,1.07,0,2016-03-22,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,, $481.50 
,200,1.48,0,2016-03-22,BROMURO DE BUTILHIOSCINA 10MG GRAGEAS ,,,, $296.00 
,350,21,0,2016-03-22,BROMURO DE BUTILHIOSCINA + METAMIZOL 20MG/25GR DE 5ML COMP. AMP.,,,," $7,350.00 "
,350,4.83,0,2016-03-22,BROMURO DE BUTILHIOSCINA 20MG/1ML SOL INY.,,,," $1,690.50 "
,600,0.19,0,2016-03-22,CAPTOPRIL 25MG TAB.,,,, $114.00 
,40,31.5,0,2016-03-22,CEFTRIAXONA 1G/10ML SOL. INY.,,,," $1,260.00 "
,300,1.97,0,2016-03-22,CEFALEXINA GI TABLETAS DE 500MG CEFALEXINA,,,, $591.00 
,24,17.08,16,2016-03-22,"TELA ADHESIVA 1""X5MTS",,,, $409.92 
,600,0.47,0,2016-03-22,DICLOFENACO 100MG TAB.C/10,,,, $282.00 
,1200,5.75,0,2016-03-22,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,,," $6,900.00 "
,150,2.1,0,2016-03-22,FLEXIVER TABS 15 MG MELOXICAM C/10,,,, $315.00 
,40,3,0,2016-03-22,FUROSEMIDA 20MG/2ML AMP.,,,, $120.00 
,10,30,0,2016-03-22,PISACAINA C/EPINEFRINA F.A. 50 ML LIDOCAINA C/E 2%,,,, $300.00 
,1000,1.48,16,2016-03-22,JERINGA 5CC (22X32),,,," $1,480.00 "
,1300,5,0,2016-03-22,KETOROLACO 30MG AMP.,,,," $6,500.00 "
,500,1.9,0,2016-03-22,NAPROXENO GI TABS. DE 500MG C/10,,,, $950.00 
,560,0.68,0,2016-03-22,OMEPRAZOL CAPSULA 20 MG C/14,,,, $380.80 
,200,1.3,0,2016-03-22,PARACETAMOL C/ NAPROXENO,,,, $260.00 
,24,15.08,16,2016-03-22,SUTURA NYLON 2,,,, $361.92 
,96,15.08,16,2016-03-22,SUTURA NYLON 3,,,," $1,447.68 "
,60,16.34,16,2016-03-22,SUTURA NYLON 4,,,, $980.40 
,24,20.75,16,2016-03-22,SUTURA NYLON 5,,,, $498.00 
,1000,0.69,0,2016-03-22,KETOROLACO TAB. 10 MG,,,, $690.00 
,1000,0.85,0,2016-03-22,IBUPROFENO TABS 400 MG IBUPROFENO,,,, $850.00 
,600,1.13,0,2016-03-22,METACARBAMOL + PARACETAMOL 400/350MG TAB.,,,, $678.00 
,130,0.8,0,2016-03-22,LORATADINA 10MG GRAGEAS,,,, $104.00 
,450,0.33,0,2016-03-22,DIFENIDOL 25MG TAB.,,,, $148.50 
,300,7.68,0,2016-03-22,GABAPENTINA 300MG TAB,,,," $2,304.00 "
,60,38.2,0,2016-03-22,CLOROPIRAMINA 20MG AMP.,,,," $2,292.00 "
,200,21,0,2016-03-22,CLORHIDRATO DE CLORFENAMINA 10MG SOL. INY,,,," $4,200.00 "
,15,7,16,2016-03-22,PUNTAS NASALES,,,, $105.00 
,2,44,0,2016-03-22,AFRIN ADULTO,,,, $88.00 
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $52,818.22 "
,,,,,,,,, $845.27 
,,,,,,,,," $53,663.49 "
