,,,,FORMATO DE REQUISICI…N,,,,,
,,,,REHABILITA,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,04-abr-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,ARTRUO HEREDIA ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,16,889,16,04/04/2016,BOTA WALKER MEDIANO,,,"$14,224.00",
,12,889,16,04/04/2016,BOTA WALKER GRANDE,,,"$10,668.00",
,12,889,16,04/04/2016,BOTA WALKER CHICA,,,"$10,668.00",
,30,319,16,04/04/2016,FAJA LUMBOSACRA GRANDE,,,"$9,570.00",
,50,155,16,04/04/2016,RODILLERA ABIERTA UNIVERSAL,,,"$7,750.00","$7,750.00"
,20,319,16,04/04/2016,FAJA LUMBOSACRA MEDIANA,,,"$6,380.00",
,6,541,16,04/04/2016,"FERULA PARA RODILLA TRIPANEL 20""",,,"$3,246.00",
,50,40.05,16,04/04/2016,COLLAR CERVICAL UNIVERSAL,,,"$2,002.50",
,6,321,16,04/04/2016,"FERULA PARA RODILLA TRIPANEL 16""",,,"$1,926.00",
,5,337,16,04/04/2016,ZAPATO PARA YESO CHICO,,,"$1,685.00",
,5,337,16,04/04/2016,ZAPATO PARA YESO GRANDE,,,"$1,685.00",
,5,337,16,04/04/2016,ZAPATO PARA YESO MEDIANO,,,"$1,685.00",
,3,332,16,04/04/2016,FAJA LUMBOSACRA CHICA,,,$996.00,
,5,186,16,04/04/2016,FERULA FISIOLOGICA PARA MUNECA MANO IZQ C/PULGAR  EN ABDUCCION  MEDIANA,,,$930.00,
,5,144,16,04/04/2016,FERULA FISIOLOGICA PARA MUNECA MANO DER UNIVERSAL,,,$720.00,
,15,42,16,04/04/2016,CABESTRILLO GRANDE,,,$630.00,
,15,42,16,04/04/2016,CABESTRILLO MEDIANO,,,$630.00,$630.00
,5,62,16,04/04/2016,TOBILLERA ELASTICA GRANDE,,,$310.00,$310.00
,5,62,16,04/04/2016,TOBILLERA ELASTICA MEDIANA,,,$310.00,$310.00
,5,42,16,04/04/2016,CABESTRILLO INFANTIL MED,,,$210.00,$210.00
,5,40.05,16,04/04/2016,COLLAR CERVICAL INFANTIL MED,,,$200.25,$200.25
,1,194,16,04/04/2016,COLLARIN RIGIDO PHILADELPHIA CHICO,,,$194.00,$194.00
,1,194,16,04/04/2016,COLLARIN RIGIDO PHILADELPHIA GRANDE,,,$194.00,$194.00
,1,194,16,04/04/2016,COLLARIN RIGIDO PHILADELPHIA MEDIANO,,,$194.00,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,"$77,007.75",
,,,,,,,,"$12,321.24",
,,,,,,,,"$89,328.99",
