,,,,FORMATO DE REQUISICI…N,,,,,,
,,,,(RAZON SOCIAL),,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
,,,,,,,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,
MED0255,5,30,0,16/03/2016,UNGUENTO DERMICO TUBO DE 30GR NEOMICINA + POLIMIXINA B + BACITRACINA,,,,$150.00,$150.00
MED0296,2,70,0,16/03/2016,PONTIOFTENO TETRACAINA/ GOTAS 10 ML,,,,$140.00,$140.00
MED0304,100,2.7,0,16/03/2016,RANITIDINA AMP 50 MG / CAJA CON 5 AMPOLLETAS ,,COLOCAR NUMERO DE PIEZAS,COLOCAR COSTO POR PAQUETE,$270.00,$270.00
MED1008,6,17.5,0,16/03/2016,DICLOFENACO GEL / TUBO ,,,,$105.00,$105.00
MED1032,120,3.67,0,16/03/2016,KETOROLACO AMP 30MG / CAJA CON 3 PIEZAS ,,,,$440.40,$440.40
MED1055,15,21.3,0,16/03/2016,CLORO TRIMETON 10MG C/5 AMP=CLORFENAMINA,,,,$319.50,$319.50
MED1063,3,45,0,16/03/2016,AS COR SOLUCION GOTAS FRASCO CON GOTERO (NORFENILEFRINA),,1,$45.00,$135.00,$135.00
MED1069,90,7.5,0,16/03/2016,BUTILHIOSCINA AMP 20 MG / CAJA 3 AMPULAS ,,,,$675.00,$675.00
MAT1177,20,18,0,16/03/2016,SOLUCION FISIOLOGICA 500ML,,1,$18.00,$360.00,$360.00
MAT4050,20,18,0,16/03/2016,SOLUCIUON  HARTMAN    500ML.,,1,$18.00,$360.00,$360.00
MED1065,102,6,0,16/03/2016,DICLOFENACO AMP 75 MG / 3 AMPULAS ,,,,$612.00,$612.00
MED0119,40,6.5,0,16/03/2016,DIFENIDOL AMP. 40 MG C/2 AMPULAS ,,2,$13.00,$260.00,$260.00
MAT0009,10,29,0,16/03/2016,AGUA P/ IRRIGACION 1000 CC,,1,$29.00,$290.00,$290.00
MAT1159,200,3.2,0,16/03/2016,AGUA INYECTABLE 10 ML / CAJA  100 ,,1,$3.20,$640.00,$640.00
MED0056,3,17.2,0,16/03/2016,BONADOXINA / SOL EN GOTAS ,,1,$17.20,$51.60,$51.60
MED0168,15,3.1,0,16/03/2016,FUROSEMIDA 20MGX2ML. / CAJA 5 AMPULAS ,,5,$15.50,$46.50,$46.50
MED0239,50,2.333333333,0,16/03/2016,METOCLOPRAMIDA 10MGX2ML. / 5 AMPULAS ,,6,$14.00,$116.67,$116.67
MED1098,50,40,0,16/03/2016,AVAPENA / 20 MG  CAJA C/ 5 AMPULAS,,5,$200.00,"$2,000.00","$2,000.00"
MED4427,25,21,0,16/03/2016,BUTILHIOSINA COMPUESTA AMPULA,,1,$21.00,$525.00,$525.00
MED4451,40,7.4,0,16/03/2016,MEZICLINA / PIRIDOXINA CJA CON 4 AMPULAS,,5,$37.00,$296.00,$296.00
MED4452,90,1.066666667,0,16/03/2016,CISAPRIDA 5MG C/30 TAB,,30,$32.00,$96.00,$96.00
MED4463,3,228,0,16/03/2016,CLORURO DE ETILO SPRAY,,,,$684.00,$684.00
MED4465,4,17,0,16/03/2016,"HIDROCORTISONA, CLORANFENICOL, BENZOCAINA  GOTAS 10MG/25MG/20MG",,1,$17.00,$68.00,$68.00
MED4466,130,6.9,0,16/03/2016,DEXAMETAZONA IM /IV 8MG /2 ML ,,,,$897.00,$897.00
,,,,,,,,,$0.00,
,,,,,,,,,$0.00,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,"$15,289.87"
,,,,,,,,,,$697.28
,,,,,,,,,,15987.14667
