,,,,FORMATO DE REQUISICI?N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
SME,,,,,,03-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0001,20,38,0,09/06/2016,ACETATO DE METILPREDNISOLONA 40MG/2ML,,,,$760.00
MED0038,160,0.6862,0,09/06/2016,ASPIRINA ACIDO ACETILSALICILICO  500 MG TAB/ PATENTE,,,,$109.79
MED0119,400,4.7,0,09/06/2016,DIFENIDOL 40 MG/2ML SOL. INY.,,,,"$1,880.00"
MED0126,5,150,0,09/06/2016,DOBUJECT 250 MG/5ML SOL. INY. // PATENTE,,,,$750.00
MED0153,2,25,0,09/06/2016,CLORANFENICOL UNGUENTO TUBO 5 MG,,,,$50.00
MED1079,10,15.6,0,09/06/2016,IBUPROFENO JARABE 120 ML,,,,$156.00
MED0227,90,0.73,0,09/06/2016,LOSARTAN 50MG GRAGEAS,,,,$65.70
MED0246,5,87,0,09/06/2016,MULTIVITAMINICO ADULTO SOL. INY.,,,,$435.00
MED0250,90,0.693333333,0,09/06/2016,NAPROXENO 250MG TAB.,,,,$62.40
MED1087,60,2,0,09/06/2016,NAPROXEN 550 MG,,,,$120.00
MED0267,5,42,0,09/06/2016,OMEPRAZOL 40MG/10ML SOL. INY.,,,,$210.00
MED4531,280,0.95,0,09/06/2016,PARACETAMOL 500MG TAB. C/10,,,,$120.40
MAT0208,15,17,0,09/06/2016,CLORURO DE SODIO 0.9% 1000ML,,,,$255.00
MAT0209,3,11.65,0,09/06/2016,CLORURO DE SODIO 0.9% 250ML,,,,$34.95
MAT0210,50,14.8,0,09/06/2016,CLORURO DE SODIO 0.9% 500ML,,,,$740.00
MED4523,150,11.35,0,09/06/2016,DESLORATADINA  C/30 5MG,,,,"$1,702.50"
MED4529,300,2.64,0,09/06/2016,ITRACONAZOL 100 MG CAPS,,,,$792.00
MAT1195,25,18.6,16,09/06/2016,DERMA QRIK FCO. 500ML,,,,$465.00
MAT0569,500,1.68,16,09/06/2016,JERINGA 1CC (29X13),,,,$840.00
MAT4536,5,17,16,09/06/2016,RINON PLASTICO 500 ML,,,,$85.00
