,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,28-may-15,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Carlos Cantu,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,,,
,161,0,0,2015-06-16,NORELGESTROMINA + ETINILESTRADIOL C/3 PARCHES TRASDERMICO,1922,0,0,,,
,7,0,0,2015-06-16,CICLOSPORINA DE GELATINA BLANDA 25MG C/50 CAP.,1114,0,0,,,
,1,0,0,2015-06-16,ABIRATERONA 250MG C/120 TAB.,2939,0,0,,,
,130,0,0,2015-06-16,FEXOFENADINA 6MG/ML SUSP. FCO. C/150ML,2553,0,0,,,
,48,0,0,2015-06-16,PERMETRINA EMULSION C/120 APLICACIONES,2481,0,0,,,
,29,0,0,2015-06-16,ESTRADIOL + TRIMEGESTONA CONTINUO 1MG/.125MG C/28 GRAGEAS,842,0,0,,,
,8,0,0,2015-06-16,CLORHIDRATO DE METILFENIDATO 36MG C/30TAB. (II),228,0,0,,,
,10,0,0,2015-06-16,HALOPERIDOL 2MG SOL. FCO. C/15ML,583,0,0,,,
,1,0,0,2015-06-16,LAMIVUDINA + ZIDOVUDINA 150/300MG C/60 TAB.,188,0,0,,,
,1,0,0,2015-06-16,MALEATO DE ERGOMETRINA 0.2MG C/20 TAB.,344,0,0,,,
,1,0,0,2015-06-16,CLORPROMAZINA 25MG C/50 COMP. (III),522,0,0,,,
,18,0,0,2015-06-16,ESPIRONOLACTONA 25MG C/30 TAB.,2572,0,0,,,
,112,0,0,2015-06-16,CLORHIDRATO DE BROMHEXINA JARABE C/100ML,1874,0,0,,,
,27,0,0,2015-06-16,CLORHIDRATO DE BETAXOLOL 2.5GR SUSP OFT.  C/5ML,121,0,0,,,
,57,0,0,2015-06-16,MOXIFLOXACINO + DEXAMETASONA SOL. OFT. GOTAS FCO C/5ML,2923,0,0,,,
,26,0,0,2015-06-16,AZILSARTAN MEDOXOMILO 80MG C/28 TAB.,2947,0,0,,,
,8,0,0,2015-06-16,LINEZOLID 600MG C/10 TAB.,1060,0,0,,,
,7,0,0,2015-06-16,AMITRIPTILINA 25MG C/50 TAB.,84,0,0,,,
,20,0,0,2015-06-16,NORFLOXACINO 400MG C/20 GRAGEAS,633,0,0,,,
