,,,,FORMATO DE REQUISICI‡N,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
a1,,,,,,05-may-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
isssteleon,,,,,,luis reza,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,
,17,1395,16,2016-05-05,TONER HP CF280A NEGRO PROM401 LASERJET,,,,," $23,715.00 "
,13,1058.57,16,2016-05-05,TONER HP CE505A NEGRO P2035 LASERJET,,,,," $13,761.41 "
,2,27.95,16,2016-05-05,CAJA ARCHIVO CARTON OFICIO 14KG,,,,, $55.90 
,15,75.93,16,2016-05-05,AIRE COMPRIMIDO SILIMEX 440ML AEROJET,,,,," $1,138.95 "
,100,12.57,16,2016-05-05,ROLLO TERMICO 80X70 PUNTO DE VENTA,,,,," $1,257.00 "
,72,2.13,16,2016-05-05,BOLIGRAFO BIC M-250-N P.M. NEGRO,,,,, $153.36 
,72,2.13,16,2016-05-05,BOLIGRAFO BIC M-250-A P.M. AZUL,,,,, $153.36 
,25,46.76,16,2016-05-05,PAPEL SPEED COPY CARTA C/500,,,,," $1,169.00 "
,24,2.13,16,2016-05-05,BOLIGRAFO BIC M-250-V P.M. VERDE,,,,, $51.12 
,4,27.74,16,2016-05-05,DIARIO ESTRELLA FF 1R 4M 192H ESCOLAR,,,,, $110.96 
,24,2.13,16,2016-05-05,BOLIGRAFO BIC M-250-R P.M. ROJO,,,,, $51.12 
,17,736,16,2016-05-05,PAPEL FASTWAY C/PLECA A 6.8CM C/5000,,,,," $12,512.00 "
,15,85.98,16,2016-05-05,FOLDER ECONOFILE CARTA CREMA CON 100,,,,," $1,289.70 "
,12,5.91,16,2016-05-05,CERA CUENTA FACIL AZOR 64 14G,,,,, $70.92 
,10,14.19,16,2016-05-05,CINTA 3M 600 19X33 TRANSPARENTE,,,,, $141.90 
,10,28.55,16,2016-05-05,BROCHE BACO BR182 MET 8CM,,,,, $285.50 
,3,38.49,16,2016-05-05,PILA DURACELL AA C/4 MN1500B4,,,,, $115.47 
,3,29.4,16,2016-05-05,PAPEL EUROCOLOR PASTEL STDO C/100,,,,, $88.20 
,5,20.22,16,2016-05-05,GRAPAS FIFA FLEX PILOT CON 5040 STANDARD,,,,, $101.10 
,10,8.03,16,2016-05-05,CORRECTOR BIC BASE AGUA 20 ML. 506091,,,,, $80.30 
,4,79.46,16,2016-05-05,CARPETA KINERA 4P.O.BCO.9401BL,,,,, $317.84 
,4,41.56,16,2016-05-05,CARPETA KINERA 2P.O.BCO.9201BL,,,,, $166.24 
,3,69.15,16,2016-05-05,CUADERNO SCRIBE PROF.P.D100H 1R 9450 UNI,,,,, $207.45 
,2,13.29,16,2016-05-05,LIGAS HERCULES NO. 18 100 GMS.,,,,, $26.58 
,,,,,,,,,," $57,020.38 "
,,,,,,,,,," $66,143.64 "
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
,,,,,,,, $-   ,,
