STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,
,18,36.12,16,2016-02-16,MASCARILLA CON RESERVORIO ADULTO,,,
,5,36.12,16,2016-02-16,MASCARILLA CON RESERVORIO INFANTIL,,,
,15,36.12,16,2016-02-16,MASCARILLA PARA OXIGENO PEDIATRICA,,,
,3,290,16,2016-02-16,PAPEL KRAF 45 X 70,,,
,32,198,16,2016-02-16,PAPEL PARA EMBOLTURA 45CM.,,,
,9,928.75,16,2016-02-16,PAPEL PARAFILM 10 CM. X 76 MTS.,,,
,16,363.7,16,2016-02-16,PASTA P/COLOSTOMIA TUBO 60G.,,,
,5,944,16,2016-02-16,PREMILENE 4/0 45 CM. DSMP19 CAJA CON 12,,,
,5,1163,16,2016-02-16,PREMILENE 5/0 45 CM DSMP 13 CAJA CON 12,,,
,1000,3.25,16,2016-02-16,POMADERA CON TAPA Y CIERRE HERMETICO,,,
,5,1168,16,2016-02-16,PROTEINA C REACTIVA I.D.,,,
,1,339,16,2016-02-16,POLVO STOMAHESIVE,,,
,2,11029,16,2016-02-16,PRECICONTROL UNIVERSAL G.2,,,
,30,98,16,2016-02-16,RECOLECTOR DE PUNZOCORTANTES 2LTS. X PZA,,,
,60,136,16,2016-02-16,SABANA DE CAJON 1.20X2.40X0.14,,,
,70,110,16,2016-02-16,SABANA PLANA 1.2X2.0,,,
,1,1425,16,2016-02-16,STERI STRIP 0.63X7 .6X7.6 CAT R-1541 C/50,,,
,8,47.5,16,2016-02-16,SONDA FOLEY LATEX 14 FR. 2 VIAS C. GLOBO 5ML,,,
,5,47.5,16,2016-02-16,SONDA FOLEY LATEX 16 FR 2 VIAS C/GLOBO 5 ML.,,,
,5,47.5,16,2016-02-16,SONDA FOLEY LATEX 22 FR 2 VIAS C/GLOBO 30 ML.,,,
,2,4445,16,2016-02-16,SONDA GASTRO BAJO PERFIL BOTON RECAM.,,,
,10,11.5,16,2016-02-16,SONDA NELATON FR. 14 CAT. V-773-14,,,
,10,18,16,2016-02-16,SONDA PARA SUCCION 10FR. INFANTIL,,,
,15,8.4,16,2016-02-16,SONDA PARA ALIMENTACION K-32 PREM. 5FR.,,,
,3,6917,16,2016-02-16,S 1 RINSE SOLUTION OMNI S,,,
,2,21152,16,2016-02-16,S 3 FLUID PACK A OMNI S,,,
,2,14182,16,2016-02-16,"STROMATOLYSER 4DL, 4DS Y 5L",,,
,3,6080,16,2016-02-16,STA-NEOPLASTIN PLUS 12X10 ML.,,,
,2,296,16,2016-02-16,"TELA ADHESIVA 2.5 CM 1""",,,
,12,10.5,16,2016-02-16,TERMOMETRO DE VIDRIO ORAL,,,
,2,150,16,2016-02-16,TUBO CAPILAR SIN HEPARINA C/200,,,
,4,685,16,2016-02-16,TUBO VACUTAINER ORO Y AZUL 5 ML. (PLASTICO),,,
,10,42.5,16,2016-02-16,TUBO ENDOTRAQUEAL No. 3.0 Y 4.0,,,
,30,36,16,2016-02-16,UNIFORME CIRUJANO (FILIPINA Y PANTALON),,,
,20,64.5,16,2016-02-16,VENDA ELASTICA 10CMS X 5 MTS C/12,,,
,5,228,16,2016-02-16,"VENDA MALLA 5, 100 MTS",,,
