FORMATO DE REQUISICI…N,,,,,,,,,,
(RAZON SOCIAL),,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
OCTUBRE,,,,,,15-oct-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
ISSSTELEON,,,,,,LUIS,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,2000,1.5,16,20/10/2015,AGUJAS VACUTAINER 21GX1 1/2 (VERDE),,,,,
,3000,1.7,16,20/10/2015,AGUJAS VACUTAINER 22GX1 1/2 (NEGRA),,,,,
,50,13.5,16,20/10/2015,MULTIDISCOS GRAM ( + ) C/50 BIO RAD,,,,,
,200,2.5,16,20/10/2015,TUBOS VACUTAINER 1.8ML TAPON AZUL,,,,,
,500,1.95,16,20/10/2015,TUBOS VACUTAINER TAPON AZUL 2.7ML,,,,,
,3000,2.25,16,20/10/2015,TUBOS VACUTAINER TAPON DORADO 6ML 13X100 BD,,,,,
,2500,1.55,16,20/10/2015,TUBOS VACUTAINER TAPON LILA 4ML,,,,,
,600,1.55,16,20/10/2015,TUBOS VACUTAINER TAPON ROJO 6ML,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
