,,,,,,,,,
FORMATO DE REQUISICIàN,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,10-nov-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
SAINAR LAS AMERICAS,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,5,25.5,ubold,2016-11-10,ASPIRINA 500 MG ORAL AD 40 TABLETAS,,,, $127.50 
,5,119.5,ubold,,FLANAX 275 MG ORAL 20TABLETAS,,,, $597.50 
,5,65.2,ubold,,BENGUE ULTRA CUTANEO 35 G GEL,,,, $326.00 
,5,58.6,0,2016-11-10,ADVIL MAX 400 MG ORAL 10 CAPSULAS,,,, $293.00 
,5,47,ubold,,SEDALMERCK ORAL 20 TABLETAS,,,, $235.00 
,5,52.5,ubold,,CICLOFERON XTRM 0.05/0.02G CUT 2 G CREMA,,,, $262.50 
,5,32.8,ubold,,CAFIASPIRINA ORAL 40 TABLETAS 3676,,,, $164.00 
,5,70,ubold,,TYLENOL CEREZA ORAL INF 120 ML SOLUCION,,,, $350.00 
,5,25.5,ubold,,TYLENOL CAPLETAPAS 500 MG ORAL 10TABLETAS,,,, $127.50 
,5,67,ubold,,GENOPRAZOL 20 MG ORAL 14 (CAPSULAS),,,, $335.00 
,5,47,ubold,,MELOX PLUS ALGAS/CEREZA ORAL 30TABLETAS MAST,,,, $235.00 
,5,41,ubold,,PEPTO BISMOL CEREZA ORAL 118 ML LIQUIDO,,,, $205.00 
,5,59,ubold,,PEPTO BISMOL ORAL 24 TABLETAS MASTICABLES,,,, $295.00 
,5,126,ubold,,TREDA ORAL 20TABLETAS,,,, $630.00 
,5,119,ubold,,TREDA ORAL 75 ML SUSP,,,, $595.00 
,5,82,ubold,,DRAMAMINE 50 MG ORAL 24 TABLETAS,,,, $410.00 
,5,86.9,0,2016-11-10,HISTIACIL NF ORAL AD 150 ML (JARABE),,,, $434.50 
,5,20.9,0,2016-11-10,NEXT 500 MG ORAL 10TABLETAS,,,, $104.50 
,5,41,ubold,,SENSIBIT D NF ORAL 12TABLETAS,,,, $205.00 
,5,71.5,ubold,,THERAFLU EX ROJO ORAL AD 6 SOBRES 7,,,, $357.50 
,5,55.3,0,2016-11-10,VICK PYRENA MIEL LIMON GDO ORAL 5 SOBRES,,,, $276.50 
,5,54,ubold,,VICK VAPORUB 50 G UNGUENTO,,,, $270.00 
,5,19.9,ubold,,XL-3 ANTIGRIPAL ORAL 8TABLETAS,,,, $99.50 
,5,91.5,ubold,,ANTIFLU-DES ORAL 24 CAPSULA,,,, $457.50 
,5,35,ubold,,CONTAC ULTRA ORAL 12 TABLETAS,,,, $175.00 
,5,56.5,0,2016-11-10,SYNCOL 500/25/15MG ORAL 12 CPR,,,, $282.50 
,5,35.6,0,2016-11-10,DERMAN CUTANEA 50 G CREMA,,,, $178.00 
,5,28.98,0,2016-11-10,VITACILINA 28 G UNGUENTO,,,, $144.90 
,5,19.9,0,2016-11-10,PASTA LASSAR ANDROMACO CUTANEO 30 G TARRO,,,, $99.50 
,5,96,ubold,,SUPRADOL 10 MG. ORAL 10 TABLETAS,,,, $480.00 
,5,25,ubold,,SAL DE UVAS PICOT PICOT 10 PZAS,,,, $125.00 
,5, $24.00 ,ubold,,ALKA 10TABL ALKA SELTZER 10 TABLETAS EFERVESCENTES,,,, $120.00 
,5,44.95,0,2016-11-10,GRANEODIN B GRANEODÖN B 10 MGÿ,,,, $224.75 
,5, $42.50 ,ubold,,DESCONGESTIONANTE NASAL AFRIN ADULTO SPRAY 20 ML,,,, $212.50 
,5,136.5,0,2016-11-10,BUSCAPINA GRAGEAS 24 GRAGEAS,,,, $682.50 
,5,79,0,2016-11-10,TEMPRA 100MG PEDIµTRICO  GOTAS 30ML,,,, $395.00 
,5,56.6,0,2016-11-10,Motrin Oral Pediatrico 15 Ml Susp,,,, $283.00 
,5, $39.00 ,ubold,,Mejoralito 80 Mg Oral Pediatrico 30Tabletas,,,, $195.00 
,5,68,ubold,,Histiacil Nf Uva Oral Pediatrico 30 Ml Gotas,,,, $340.00 
,5,72,ubold,,Sensibit D Nf Pediatrico Escolar 6-12 An 120 Ml Solucion,,,, $360.00 
,5,61,ubold,,Antiflu-Des Oral Inf 60 Ml Solucion,,,, $305.00 
,5,32,ubold,,Broncolin Natural Oral 10 G Paleta,,,, $160.00 
,5,107.5,ubold,,Dimacol Oral Pediatrico 60 Ml Solucion,,,, $537.50 
,5,81,ubold,,Jarabe Expectorante Infantil Para La Tos Vick 44 Exp 120 ml,,,, $405.00 
,,,,,,,,," $13,098.15 "
