,,,,FORMATO DE REQUISICI‡N,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
SME,,,,,,03-jun-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,
MAT1103,20,10.5,16,2016-06-07,APOSITO ESTERIL PIEZA,,MAT1103,, $210.00 , $-   
MAT4051,35,0.94,16,2016-06-07,CONOS PARA OTOSCOPIA MEDIANOS,,MAT4051,, $32.90 , $-   
MED4446,10,56.71,0,2016-06-07,TRINITRATO DE GLICERILO 5 MG PARCHES,,MED4446,, $567.10 , $-   
MAT0571,500,3.56,16,2016-06-07,JERINGA 20CC SIN AGUJA,,MAT0571,," $1,780.00 ", $-   
,,,,,,,,, $-   , $-   
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,," $2,590.00 ",
,,,,,,,,," $3,004.40 ",
