,,,,FORMATO DE REQUISICI…N,,,,,
,,,,BENEFIC,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
ENFERMERIAS,,,,,,20-jun-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
SAINAR,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,10,22,0,21/06/2016,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,1,$22.00,$220.00
,320,0.6862,0,21/06/2016,ASPIRINA ACIDO ACETILSALICILICO  500 MG TAB/ PATENTE,,20,$13.80,$219.58
,300,0.76,0,21/06/2016,BENZONATATO PERLAS,,20,$15.20,$228.00
,300,1.9,0,21/06/2016,CIPROFLOXACINO 500MG COMP.,,10,$19.00,$570.00
,10,33.5,0,21/06/2016,CLORANFENICOL HIDROCORTISONA GOTAS,,1,$33.50,$335.00
,500,1.92,0,21/06/2016,IBUPROFENO 800 MG/TABLETAS c/10,,10,$19.20,$960.00
,100,2,0,21/06/2016,NAPROXEN 550 MG,,12,$24.00,$200.00
,10,22,0,21/06/2016,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS 5ML,,1,$22.00,$220.00
,5,234,0,21/06/2016,NEOMICINA + POLIMIXINA B + BACITRACINA UNGUENTO DERMICO // PATENTE,,1,$234.00,"$1,170.00"
,400,2.94,0,21/06/2016,BUTILHIOSCINA + METAMIZOL 10MG/250MG,,10,$29.40,"$1,176.00"
,180,2.62,0,21/06/2016,"ALUMINIO, MAGNESIO, DIMETICONA CAJA C/24 PEPTO BISMOL  MASTICABLES",,24,$62.88,$471.60
,20,3,0,21/06/2016,FENAZOPIRIDINA ACIDO NALIDIXICO,,20,$60.00,$6.00
,3,17,0,21/06/2016,QUADRIDERM CREMA,,1,$17.00,$51.00
,400,0.38,0,21/06/2016,RANITIDINA 150MG TAB.,,20,$7.60,$152.00
,10,27,0,21/06/2016,SOLUTINA F GOTAS,,1,$27.00,$270.00
,200,3.85,0,21/06/2016,TAMEX TABS DE 5.0 MG/0.25 MG LORATADINA + BETAMETASONA ,,10,$38.50,$770.00
,2,2.9,0,21/06/2016,TRAMADOL TAB 50 MG,,10,$29.00,$5.80
,30,8.4,0,21/06/2016,GENTAMICINA 160MG/2ML AMP.,,1,$8.40,$252.00
,400,3.56,0,21/06/2016,ESPAVEN ENZIMATICO C/50,,50,$355.00,"$1,424.00"
,4,52,0,21/06/2016,MANZANILLA GOTAS,,1,$52.00,$208.00
,300,2.42,0,21/06/2016,SULINDACO TAB 200 MG C/20,,20,$48.40,$726.00
,25,19.9,0,21/06/2016,NEORDEN F POMADA,,1,$19.90,$497.50
,60,18.16,0,21/06/2016,TRIB12 DX COMPLEJO B + DEXAMETASONA + LIDOCAINA,,3,$54.00,"$1,089.60"
,10,226,0,21/06/2016,CLORURO DE ETILO SPRAY ,,1,$236.00,"$2,260.00"
,160,9,0,21/06/2016,AVAPENA TABLETAS 25 MG CLOROPIRAMINA,,20,$180.00,"$1,440.00"
,240,4.8,0,21/06/2016,ESPACIL COMPUESTO CAPS C/ 20,,20,$96.00,"$1,152.00"
,10,29,16,21/06/2016,VASELINA,16% iva,1,$29.00,$290.00
,2,234,16,21/06/2016,MALLA TUBULAR NO. 3 ROLLO x 100,,1,$234.00,$468.00
,20,13.1,0,21/06/2016,"BENCILPENICILINA BENZATINICA 1200,000 3 ML",,1,$13.10,$262.00
,400,0.7,0,21/06/2016,PIROXICAM TAB 20 MG C/20,,20,$14.00,$280.00
,200,1.8,0,21/06/2016,Senosidos ayb c/20,,20,$36.00,$360.00
,500,1.075,0,21/06/2016,NIFEDIPINO 10MG CAP.,,20,$21.50,$537.50
,450,1.14,0,21/06/2016,TRIB12 COMPUESTO COMPLEJO B + DICLOFENACO TABS,,30,$34.20,$513.00
,300,1.23,0,21/06/2016,METOCARBAMOL ACIDO ACETILSALISILICO TABS C/ 30,,30,$36.90,$369.00
,25,12,0,21/06/2016,CLIOQUINOL POMADA,,1,$12.00,$300.00
,10,12,0,21/06/2016,KETOCONAZOL POMADA,,1,$12.00,$120.00
,300,0.54,0,21/06/2016,METFORMINA 500 MG C/30,,30,$16.20,$162.00
,100,0.95,0,21/06/2016,PARACETAMOL 750 MG TABS C/10,,10,$9.50,$95.00
,3,280,0,21/06/2016,INSULINA UI INY,,1,$280.00,$840.00
,3,230,0,21/06/2016,INSULINA NPH,,1,$230.00,$690.00
,,,,,,,,,"$21,360.58"
,,,,,,,,,"$24,778.28"
