STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,,
,10,75.93,16,2016-05-30,AIRE COMPRIMIDO SILIMEX 660ML.GDE AEROJET,,Sistemas, $759.30 ,MAPLUSA
,5,26.85,16,2016-05-30,REGISTRADOR FORTEC CTA VDE. MARMOLEADO,,Contabilidad , $134.25 ,MAPLUSA
,25,26.85,16,2016-05-30,REGISTRADOR FORTEC CTA VDE. MARMOLEADO,,Contabilidad , $671.25 ,MAPLUSA
,2,26.85,16,2016-05-30,REGISTRADOR FORTEC CTA VDE. MARMOLEADO,,Contabilidad , $53.70 ,MAPLUSA
,1,25.19,16,2016-05-30,CINTA TUK 179 48X150 CANELA,,Ventas , $25.19 ,MAPLUSA
,1,14.19,16,2016-05-30,CINTA 3M 550 19X33 TRANSPARENTE,,Ventas , $14.19 ,MAPLUSA
,2,9.58,16,2016-05-30,CUADERNO SCRIBE S7970 PROF 1R ESP 100H,,Ventas , $19.16 ,MAPLUSA
,2,41.56,16,2016-05-30,CARPETA KINERA 2P.O.BCO.9201BL,,Cobranza, $83.12 ,MAPLUSA
,1,79.98,16,2016-05-30,PROTECTOR DE HOJAS KINERA CARTA CON 100,,Cobranza, $79.98 ,MAPLUSA
,150,0.36,16,2016-05-30,SOBRE FORTEC ANTE COIN NOMINA,,piso 2, $54.00 ,MAPLUSA
,6,18.31,16,2016-05-30,BLOCK PCFORM 1011 S/P POL CHEQ 1/2 OF,,piso 2, $109.86 ,MAPLUSA
,,,,,,,," $2,004.00 ",
,,,,,,,," $2,324.64 ",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,," $2,324.64 ",
,,,,,,,," $2,871.77 ",
,,,,,,,," $5,196.41 ",
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,," $4,157.12 ",AR
,,,,,,,," $1,039.28 ",ALIMENTOS
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
