,,,,FORMATO DE REQUISICI…N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,15-ago-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,3,290,16,15/08/2016,PAPEL KRAF 45 X 70,,,,$870.00
,5,1875,16,15/08/2016,PAPEL CREPADO ESTERILIZACION,,,,"$9,375.00"
,2,928.75,16,15/08/2016,PAPEL PARAFILM 10 CM. X 76 MTS.,,,,"$1,857.50"
,2,1758,16,15/08/2016,PREMILENE 3/0 45 CM. DS 24 CAJA CON 36 PZAS.,,,,"$3,516.00"
,6,944,16,15/08/2016,PREMILENE 4/0 45 CM. DSMP19 CAJA CON 12,,,,"$5,664.00"
,24,350,16,15/08/2016,PIEZAS MULTI TEST II BANDEJA,,,,"$8,400.00"
,2,1168,16,15/08/2016,PROTEINA C REACTIVA I.D.,,,,"$2,336.00"
,6,11029,16,15/08/2016,PRECICONTROL UNIVERSAL G.2,,,,"$66,174.00"
,30,98,16,15/08/2016,RECOLECTOR DE PUNZOCORTANTES 2LTS. X PZA,,,,"$2,940.00"
,90,136,16,15/08/2016,SABANA DE CAJON 1.20X2.40X0.14,,,,"$12,240.00"
,150,110,16,15/08/2016,SABANA PLANA 1.2X2.0,,,,"$16,500.00"
,2,1570,16,15/08/2016,SILKAM BLACK 4/0 45CM DS19 CAJA C/36 PZAS,,,,"$3,140.00"
,3,674,16,15/08/2016,SAFIL UNDYED 3/0 45CM DS 19 CAJA CON 12,,,,"$2,022.00"
,15,47.5,16,15/08/2016,SONDA FOLEY LATEX 14 FR. 2 VIAS C. GLOBO 5ML,,,,$712.50
,24,47.5,16,15/08/2016,SONDA FOLEY LATEX 16 FR 2 VIAS C/GLOBO 5 ML.,,,,"$1,140.00"
,10,47.5,16,15/08/2016,SONDA FOLEY LATEX 18 FR 2 VIAS C/GLOBO 5 ML.,,,,$475.00
,70,11.5,16,15/08/2016,SONDA NELATON FR. 14 CAT. V-773-14,,,,$805.00
,20,17.2,16,15/08/2016,SONDA P/ASPIRAR SECRECION 14 FR CAT. V760C,,,,$344.00
,5,6917,16,15/08/2016,S 1 RINSE SOLUTION OMNI S,,,,"$34,585.00"
,4,21152,16,15/08/2016,S 3 FLUID PACK A OMNI S,,,,"$84,608.00"
,6,14182,16,15/08/2016,"STROMATOLYSER 4DL, 4DS Y 5L",,,,"$85,092.00"
,5,6080,16,15/08/2016,STA-NEOPLASTIN PLUS 12X10 ML.,,,,"$30,400.00"
,600,8.64,16,15/08/2016,TAPON P/SELLO VENOSO IN-STOPFEN PZA.,,,,"$5,184.00"
,45,556,16,15/08/2016,TIRAS P/GLUCOSA ONE TOUCH ULTRA C/50,,,,"$25,020.00"
,7,225,16,15/08/2016,TELA TRANSPORE 2.5 X 9MT CAJA C/12,,,,"$1,575.00"
,20,58.5,16,15/08/2016,TORUNDA DE ALGODON DE 500 GRS.,,,,"$1,170.00"
,1,685,16,15/08/2016,TUBO LILA 4ML PLAST C/100 BD,,,,$685.00
,30,42.5,16,15/08/2016,TUBO ENDOTRAQUEAL No. 3.0 Y 4.0,,,,"$1,275.00"
,50,36,16,15/08/2016,UNIFORME CIRUJANO (FILIPINA Y PANTALON),,,,"$1,800.00"
,1200,3,16,15/08/2016,VASO ESTERIL RECOLECCION DE ORINA,,,,"$3,600.00"
,24,49.5,16,15/08/2016,VENDA ELASTICA 5X5M. C/12.,,,,"$1,188.00"
,8,64.5,16,15/08/2016,VENDA ELASTICA 10CMS X 5 MTS C/12,,,,$516.00
,8,96,16,15/08/2016,VENDA ELASTICA 15 X5 MTS. C/12,,,,$768.00
,1,251,16,15/08/2016,VENDA ENYESADA 15X2.75 CMS C/12,,,,$251.00
,1,144,16,15/08/2016,VENDA DE MALLA TUBULAR No.1,,,,$144.00
,3,870,16,15/08/2016,VENDA DE FIBRA DE VIDRIO DELTA LITE,,,,"$2,610.00"
,2,1768,16,15/08/2016,VICRYL 6/0 45 CM. CAJA C/12.,,,,"$3,536.00"
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
