,,,,FORMATO DE REQUISICI…N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,18-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,ARTURO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
MAT0042,10,21,16,20/04/2016,ALCOHOL ETILICO DESNAT. 70 1LT,,,$210.00
MAT0014,5,11.8,16,20/04/2016,AGUA OXIGENADA 480 ML,,,$59.00
MAT4498,35,6.5,16,20/04/2016,MINISET MARIPOSA NO. 23,,,$227.50
MED0119,150,4.7,0,20/04/2016,DIFENIDOL 40 MG/2ML SOL. INY.,,,$705.00
MED1083,150,2.5,0,20/04/2016,METOCLOPRAMIDA 10MG/2ML SOL. INY.,,,$375.00
MAT1190,200,2.25,16,20/04/2016,JERINGA 10CC (22X32),,,$450.00
MED0276,300,0.43,0,20/04/2016,PARACETAMOL 500MG TAB. C/10,,,$129.00
MED0002,300,0.69,0,20/04/2016,ASPIRINA ACIDO ACETILSALICILICO  500 MG TAB/ PATENTE,,,$205.86
MED4463,6,226,0,20/04/2016,CLORURO DE ETILO SPRAY ,,,"$1,356.00"
MAT0201,12,16.5,16,20/04/2016,"TRANSPORE 1""",,,$198.00
MAT2052,3,62.8,16,20/04/2016,ANTIBENZIL SOL. JABON,,,$188.40
MAT1134,8,18.6,16,20/04/2016,DERMA QRIK FCO. 500ML,,,$148.80
MAT1191,500,1.02,16,20/04/2016,GUANTES LATEX CHICOS ESTERIL,,,$510.00
MAT0622,10,31,16,20/04/2016,MASCARILLA O2 ADULTO K-22 S/RESERVORIO,,,$310.00
MAT0615,10,25,16,20/04/2016,MASCARILLA O2 ADULTO K-22 C/RESERVORIO,,,$250.00
MAT0341,200,0.33,16,20/04/2016,CUBREBOCAS DESECHABLE,,,$66.00
MAT1188,40,7.5,16,20/04/2016,NORMOGOTERO,,,$300.00
MAT0614,10,34.7,16,20/04/2016,MASCARILLA O2 PEDIATRICA K-22 P C/RESERVORIO,,,$347.00
MAT0623,10,31,16,20/04/2016,MASCARILLA O2 PEDIATRICA K-22 S/RESERVORIO,,,$310.00
MAT0001,500,0.2,16,20/04/2016,ABATELENGUAS,,,$100.00
MAT0926,2,52.5,16,20/04/2016,BOLSA DE TORUNDAS DE ALGODON,,,$105.00
MAT1016,100,3.5,16,20/04/2016,VENDA ELASTICA 5CMX4.5MTS,,,$350.00
MAT1012,100,5,16,20/04/2016,VENDA ELASTICA 10CMX4.5MTS,,,$500.00
MAT1013,50,8.5,16,20/04/2016,VENDA ELASTICA 15CM,,,$425.00
,,,,,,,,
,,,,,,,,"$7,825.56"
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
