,,,,,,,,,,,,,
,,,,,,,OC 198,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
FECHA: ,,04-nov-15,,,,,,REQ. NOVIEMBRE,,,,,
LUGAR DE ENTREGA: ,,Ar Medica,,,,,,,,,,,
PROVEEDOR:,,BENEFIC COMERCIALIZADORA,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO UNITARIO,IMPUESTO,FECHA,DESCRIPCION,,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,"SUB-TOTAL
IVA",,,"SUB-TOTAL
SIN IVA",
,2, $315.00 ,16%,04-nov,TERMOMETROS DE VASTAGO,,1, $315.00 ,,,, $630.00 ,
,10, $489.00 ,16%,04-nov,"BRAZALETE ADULTO #11, MARCA: WELCH ALLYN",,1, $489.00 ,,,," $4,890.00 ",
,1," $1,380.00 ",16%,04-nov,"BATERIA PARA MONITOR DE SIGNOS VITALES SPOT, MARCA: WELCH ALLYN",,1," $1,380.00 ",,,," $1,380.00 ",
,,,,,,,,,"$6,900.00",,," $6,900.00 ",
,,,,,,,,IVA," $1,104.00 ",,," $1,104.00 ",
,,,,,,,,TOTAL," $8,004.00 ",,," $8,004.00 ",
