STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,40,1.125,0,18/09/2015,AMPICILINA GI CAPS. 500 MG AMPICILINA,,,,
,100,0.95,0,18/09/2015,"SEDALMERK TABLETAS 500 MG PARACETAMOL, CAFEINA Y FENILEFRINA",,,,
,40,0.54,0,18/09/2015,NAPROXENO GI TABS. DE 500MG,,,,
,100,0.485,0,18/09/2015,PARACETAMOL GI TABS. DE 500MG PARACETAMOL,,,,
,3,21.66666667,0,18/09/2015,AMPIGRIN (AMPICILIMA) AMP,,,,
,3,10.8,0,18/09/2015,  AMP. 8 MG EN 2ML C/1 ISONICOTINATO DE DEXAMETASONA,,,,
,80,2.6,0,18/09/2015,KAOMYCIN 129MG/280MG TABS. CAJA NEOMICINA + CAOLIN + PECTINA,,,,
,5,38.16,0,18/09/2015,AVAPENA SOL INYECTABLE 2ML CLOROPIRAMINA,,,,
,96,2.04,0,18/09/2015,GRANEODIN B 10 MG 4 BENZOCAINA,,,,
,30,2.73,0,18/09/2015,PASMODIL GRAGEAS 10 MG/250 MG BROMURO DE BUTILHIOSCINA + METAMIZOL,,,,
,2,226.8,0,18/09/2015,TRAUMASOL AEROSOL CLORURO DE ETILO,,,,
,3,11.65,0,18/09/2015,SOL. FISIOL. CLORURO DE SODIO 0.9%/FRASCO 250 ML,,,,
,3,11.65,0,18/09/2015,"HARTMAN CLORURO DE SODIO, POTASIO, CALCIO 250 ML",,,,
,1,85,0,18/09/2015,"LAV-OFTENO 100 ML ACIDO BORICO, BORAX",,,,
,72,0.776666667,0,18/09/2015,LOPERAMIDA 2 MG C/12 TABLETAS,,,,
,36,20,0,18/09/2015,HIDRASEC TAB 100 MG C/30,,,,
,12,3.5,16,18/09/2015,VENDA ELASTICA 5 CM,,,,
,12,5,16,18/09/2015,VENDA ELASTICA 10 CM,,,,
,1,134,16,18/09/2015,MICRODACYN C / 120 ML,,,,
,100,0.13,16,18/09/2015,COTONETES C/100,,,,
,25,0.2,16,18/09/2015,ABATELENGUAS PAQ. 25,,,,
,1,160,16,18/09/2015,GEL ANTIBACTERIAL 3600 ML,,,,
