,,,,,,,OC 198,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA: ,,04-nov-15,,,,,,REQ. NOVIEMBRE,,,,
LUGAR DE ENTREGA: ,,Ar Medica,,,,,,,,,,
PROVEEDOR:,,BENEFIC COMERCIALIZADORA,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO UNITARIO,IMPUESTO,FECHA,DESCRIPCION,,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,"SUB-TOTAL
IVA",,,"SUB-TOTAL
SIN IVA"
,100,0.76,0,10/12/2015,BENZONATATO. 100 MG CAPS C/20,,,,,,,
,1,8,0,10/12/2015,AMBROXOL 120ML,,,,,,,
,120,2.13,0,10/12/2015,GRANEODIN B 10 MG 4 BENZOCAINA C/24,,,,,,,
,50,1.068,0,10/12/2015,ZOAFALET-H TABS. 400MG IBUPROFENO CAJA C/10,,,,,,,
,60,2,0,10/12/2015,"MELOX PLUS MENTA TABS. MASTICABLES ALUMINIO, MAGNESIO Y DIMETICONA CAJA C/30",,,,,,,
,150,1.466666667,0,10/12/2015,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,,,,,
,50,2.33,0,10/12/2015,SAL DE UVAS PICOT C/50,,,,,,,
,40,2.9,0,10/12/2015,"SEDALMERK TABLETAS 500 MG PARACETAMOL, CAFEINA Y FENILEFRINA CAJA C/20",,,,,,,
,1,27,0,10/12/2015,ALIN OFTALMICO NEOMICINA/DEXAMETASONA GTS. 5ML,,,,,,,
,12,3.5,0,10/12/2015,VENDA ELASTICA 5CMX4.5MTS,,,,,,,
,12,5,0,10/12/2015,VENDA ELASTICA 10CMX4.5MTS,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
