,,,,FORMATO DE REQUISICI‡N,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
SME,,,,,,03-jun-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
ISSSTELEON,,,,,,ARTURO HEREDIA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,,
MAT0207,120,15,0,2016-06-07,SOLUCION FISIOLOGICA 100 ML,,,," $1,800.00 ", $-   
MAT0079,20,6.5,16,2016-06-07,BATAS DESECHABLES,,,, $130.00 , $-   
MAT0155,15,16,16,2016-06-07,CAMPO HENDIDO CON ADHESIVO,,,, $240.00 , $-   
MAT0754,15,19.5,16,2016-06-07,RECOLECTOR P/MATERIAL PUNZOCORTANTE DE 1.4,,,, $292.50 , $-   
MAT4534,1000,7.56,16,2016-06-07,GASA ESTERIL 10 X 10 C/5,,,," $7,560.00 ", $-   
MAT0570,500,2.3,16,2016-06-07,JERINGA 10CC (22X32),,,," $1,150.00 ", $-   
MAT0569,500,1.7,16,2016-06-07,JERINGA 1CC (29X13),,,, $850.00 , $-   
,,,,,,,,, $-   , $-   
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,," $12,022.50 ",
,,,,,,,,," $13,946.10 ",
