FORMATO DE REQUISICI‡N,,,,,,,,,,,
SAINAR MEDICA S.C.,,,,,,,,,,,
,,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,,
24,,,,,,28-sep-15,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,,
REFORMA,,,,,,MARIANA LOPEZ,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,,
IMPRENTA,100 PZS,,,,TARJETAS PRESENTACI‡N BLANCA CARRILLO,,VENTAS,,,1051.78,DISCO DURO 1
IMPRENTA,100 PZS,,,,TARJETAS PRESENTACION JUAN JOSê GARC÷A,,VENTAS,,,,
PAPELERIA,1 PZ,,,,CUADERNO RAYA,,VENTAS,,,,
PAPELERIA,20 PZS,,,,CARPETA LEFORT TAM CARTA,,VENTAS,,,28.71,
PAPELERIA,1 CJ,,,,CLIP CHICO,,CONTABILIDAD,,,,
PAPELERIA,1 CJ,,,,CLIP GRANDE,,CONTABILIDAD,,,,
PAPELERIA,1 PZ,,,,GRAPADORA,,CONTABILIDAD,,,,
PAPELERIA,1 PQ,,,,BROCHES BACCO NO.8,,COBRANZA,,,,
PAPELERIA,3 PZS,,,,ARCHIFUELLE PLASTICO TAMA•O MEDIA CARTA,,COBRANZA,,,41.28,
PAPELERIA,1 CJ,,,,GRAPAS,,COBRANZA,,,,
PAPELERIA,1 PZ,,,,MARCADOR SHARPIE NEGRO,,COBRANZA,,,,
PAPELERIA,3 PZS,,,,TABLA MADERA CON BROCHE,,COBRANZA,,,19.88,
PAPELERIA,1 CJ ,,,,HOJAS PUNTEADAS 7 CMS,,COBRANZA,,,705,
,10,28,16,06/10/2015,LIMPIADOR LAVANDA 4LTO,,,,,,
LIMPIEZA,6,145,16,2015-10-06,PAPEL HIG. 700527 180 MTS TORK C/12 ROLLCLAVE 700527,,,,,,
LIMPIEZA,6,115,16,2015-10-06,TOALLA INTER. TORK BLANCA C/2000 CLAVE 700044420,,,,,,
,10,19,16,06/10/2015,CLORO 4LTO,,,,,,
LIMPIEZA,5,7.7,16,2015-10-06,FRANELA GRUESA,,,,,,
LIMPIEZA,3,20,16,2015-10-06,AXION EN POLVO,,,,,,
,6,25,16,06/10/2015,ACIDO 4LTO,,,,,,
LIMPIEZA,8,24,16,2015-10-06,AROMATIZANTE AEROSOL (EXCEPTO CANELA NI FRESA),,,,,,
LIMPIEZA,20,4.5,16,2015-10-06,PASTILLA PARA BA•O,,,,,,
LIMPIEZA,8,43,16,2015-10-06,PLEDGE P LIMPIAR MADERA,,,,,,
,5,22,16,06/10/2015,BOLSA NEGRA 90 X 120,,,,,,
LIMPIEZA,1,199,16,06/10/2015,BOLSA NEGRA 24 X 24 C/1000,SG,LIMPIEZA,,,,
LIMPIEZA,1,17,16,2015-10-06,SERVILLETAS C/ 500,,,,,,
LIMPIEZA,4,26,16,06/10/2015,CUBETA DE PLASTICO TIPO PINTURA 19,SG,LIMPIEZA,,,,
LIMPIEZA,2,45,16,2015-10-06,REPUESTO DE AROMATIZANTE,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
