STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,
,4,9.09,16,2016-06-03,MARCADOR SHARPIE FINO NGO. PERMANENTE,,$36.36,MAPLUSA,
,2,5.63,16,2016-06-03,RESALTADOR HI-LITER AMARILLO,,$11.26,MAPLUSA,
,2,13.56,16,2016-06-03,ETIQUETAS AUTO-ADHERIBLES MOD 23 19 X 38 C/600,,$27.12,MAPLUSA,
,2,85.98,16,2016-06-03,FOLDER ECONOFILE CARTA CREMA CON 100,,$171.96,MAPLUSA,
,1,103.33,16,2016-06-03,FOLDER ECONOFILE 1201 OFI. CREMA CON 100,,$103.33,MAPLUSA,
,20,46.76,16,2016-06-03,PAPEL SPEED COPY CARTA CON 500 HOJAS,,$935.20,MAPLUSA,
,4,21.16,16,2016-06-03,BLOCK MEMOTIP JANEL 3X3 CUBO CAN CON 400,,$84.64,MAPLUSA,
,300,1.78,16,2016-06-03,SOBRE FORTEC ANTE B26MG EXT.OF.26X34CM,,$534.00,MAPLUSA,
,100,1.28,16,2016-06-03,SOBRE FORTEC ANTE CTA 23X30.5 B23MG,,$128.00,MAPLUSA,
,2,28.55,16,2016-06-03,BROCHE BACO BR182 MET 8CM,,$57.10,MAPLUSA,
,1,10.74,16,2016-06-03,CLIP BACO NO. 1 NIQUELADO CON 100 NIQ1,,$10.74,MAPLUSA,
,1,20.22,16,2016-06-03,GRAPAS FIFA FLEX PILOT CON 5040 STANDARD 400-C,,$20.22,MAPLUSA,
,100,1.65,16,2016-06-03,SOBRE FORTEC ANTE OFI 24X34 B24MG,,$165.00,MAPLUSA,
,4,149.33,16,2016-06-03,CD-R VERBATIM C/50 94691,,$597.32,MAPLUSA,
,5,115.76,16,2016-06-03,ETIQUETA AVERY 5692 C/40 PARA CD,,$578.80,MAPLUSA,
,4,27.4,16,2016-06-03,SOBRES FORTEC P/CD BCO C/50,,$109.60,MAPLUSA,
,2,8.99,16,2016-06-03,REGLA METALICA PILOT 30 CM.RAS-30,,$17.98,MAPLUSA,
,1,104.46,16,2016-06-03,MICA GBC 1209 11.5 X 8 C/100,,$104.46,MAPLUSA,
,1,79.98,16,2016-06-03,PROTECTOR DE HOJAS KINERA CARTA CON 100,,$79.98,MAPLUSA,
,4,55.14,16,2016-06-03,ENGRAPADORA PEGASO 204 1/2 TIRA NGO MET.,,$220.56,MAPLUSA,"Para cecom, oficina y recepcion "
,1,78.75,16,2016-06-03,ENGRAPADORA STANLEY B440 T/COMPLETA MET,,$78.75,MAPLUSA,Luz Mar¡a
,,,,,,,"$4,072.38",,
,,,,,,,"$4,723.96",,
