,,,,FORMATO DE REQUISICI?N,,,,,
,,,,UBOLD,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED1053,100,0.66,0,11/03/2016,MELOX TAB. C/50,,,,$66.00
MED0002,60,0.55,0,11/03/2016,ACIDO ACETILSALICILICO 500MG,,,,$22.00
MED0016,140,0.48,0,11/03/2016,AMBROXOL COMP. 30 MG,,,,$67.20
MED1050,100,0.85,0,11/03/2016,BENZONATATO PERLAS ,,,,$85.00
MED4448,20,2.1,0,11/03/2016,BUTILHIOSINA GRAGEAS 10 MG,,,,$42.00
MED1013,72,2.9,0,11/03/2016,BUTILHIOSINA / METAMISOL GRAGEAS,,,,$208.80
MED4480,60,0.7,0,11/03/2016,CLORFENAMINA COMPUESTA,,,,$42.00
MED4481,12,19.33,0,11/03/2016,COMPLEJO B C/DEXAMETASONA LIDOCAINA INY,,,,$231.96
MED4482,12,15,0,11/03/2016,COMPLEJO B C/DICLOFENACO INY,,,,$180.00
MED1012,15,6.9,0,11/03/2016,DEXAMETASONA  SOL. INY. 8 MG,,,,$103.50
MED4443,60,0.47,0,11/03/2016,DICLOFENACO 100 MG ,,,,"$2,820.00"
MED1008,2,17.5,0,11/03/2016,DICLOFENACO GEL,,,,$35.00
MED1020,60,0.32,0,11/03/2016,DIFENIDOL TAB. 25 MG,,,,$19.20
MED0367,1,31,0,11/03/2016,DEXNE OTICO GOTAS,,,,$31.00
MED4483,90,0.83,0,11/03/2016,"COMPLEJO B CON DICLOFENACO TAB,",,,,$74.70
MED1059,144,1.75,0,11/03/2016,GRANEODIN TAB.,,,,$252.00
MED1039,4,53,0,11/03/2016,HIDROCORTISONA SOLUCION DE 500 MG,,,,$212.00
MED1030,70,1,0,11/03/2016,IBUPROFENO  TAB. 400 MG,,,,$70.00
MED1031,48,2.67,0,11/03/2016,KETOROLACO  TAB 30 ML  SL ,,,,$128.16
MED1032,45,5,0,11/03/2016,KETOROLACO INY. 30 MG ,,,,$225.00
MED1006,100,0.69,0,11/03/2016,KETOROLACO TAB. 10 MG,,,,$69.00
MED0223,48,0.75,0,11/03/2016,LOPERAMIDA  TAB. 2 MG,,,,$36.00
MED1090,100,0.9,0,11/03/2016,LORATADINA TAB.,,,,$90.00
MED4484,80,1.65,0,11/03/2016,LORATADINA / AMBROXOL ,,,,$132.00
MED0225,70,3.5,0,11/03/2016,LORATADINA/ FENILEFRINA,,,,$245.00
MED0235,30,0.8,0,11/03/2016,METAMIZOL SODICO 500 MG,,,,$24.00
MED4512,20,0.4333,0,11/03/2016,CLORTALIDONA,,,,$13.00
MED1033,4,13,0,11/03/2016,NAFAZOLINA GOTAS OFTALMICAS,,,,$26.00
MED0251,160,1.9,0,11/03/2016,NAPROXENO TAB 500 MG,,,,$304.00
MED1089,60,0.85,0,11/03/2016,NIMESULIDA TAB. 100 MG,,,,$51.00
MED0266,70,0.68,0,11/03/2016,OMEPRAZOL C/14 CAPS,,,,$40.80
MED1088,150,0.45,0,11/03/2016,PARACETAMOL TAB. 500 MG,,,,$67.50
MED1036,300,0.58,0,11/03/2016,PARACETAMOL / CAFEINA TABS,,,,$174.00
MED1029,20,1.1,0,11/03/2016,FENAZOPIRIDINA 100 MG,,,,$22.00
MED1038,40,0.42,0,11/03/2016,RANITIDINA TAB. 150 MG,,,,$16.80
MED4449,192,1.07,0,11/03/2016,AMANTADINA CLORFENAMINA PARACETAMOL C/15 TAB,,,,$205.44
MED4491,50,18.6,0,11/03/2016,DOLO-NEUROBION TAB,,,,"$2,790.00"
MED0167,2,146,0,11/03/2016,FURACIN POMADA 85 GR.,,,,$292.00
MAT1012,5,5,16,11/03/2016,VENDA ELASTICA 10 CM,,,,$25.00
MAT1016,5,3.4,16,11/03/2016,VENDA ELASTICA 5 CM,,,,$17.00
MAT1196,50,5.4,16,11/03/2016,TIRAS REACTIVAS DE GLUCOMETRO (ACCU PERFORMA CHEK 222),,,,$270.00
MAT0349,100,0.18,16,11/03/2016,CURITAS,,,,$18.00
MED4508,1,50,16,11/03/2016,VICK VAPORUB TARRO,,,,$50.00
MAT0341,300,0.33333,16,11/03/2016,CUBREBOCAS ,,,,$150.00
MAT1192,2,43,16,11/03/2016,GEL ANTIBACTERIAL 1LTO,,,,$86.00
MAT1119,5,12,16,11/03/2016,TERMOMETRO,,,,$60.00
