FORMATO DE REQUISICI‡N,,,,,,,,,,
 Razon Social : GQU141119GH5,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
10,,,,,,08-dic-15,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
Clinica ,,,,,,Dra Angelica Trevi§o,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,GEN/PAT,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,
MED0002,200, $0.65 ,0%,2015-12-18,Acido acetilsalicilico caja con 20 tab ,,,, $130.00 ,
MED1070,30, $38.16 ,0%,2015-12-18,Avapena caja c/ 5 ampulas,,,," $1,144.80 ",
MAT0926,3, $52.20 ,16%,2015-12-18,Bolsas de torundas  500 mg ,,,, $156.60 ,
MED1012,50, $10.80 ,0%,2015-12-18,Dexametazona,,,, $540.00 ,
MED0116,30, $6.00 ,0%,2015-12-18,Diclofenaco de 75 mg caja con 2ampulas ,,,, $180.00 ,
MAT0368,100, $2.70 ,16%,2015-12-18,Electrodos ,,,, $270.00 ,
MAT0578,100, $1.69 ,16%,2015-12-18,Jeringas 20 ml caja con 50 pzas,,,, $169.00 ,
MAT1171,100, $1.35 ,16%,2015-12-18,Jeringas 3ml caja con 100 pzas,,,, $135.00 ,
MED4412,60, $5.00 ,0%,2015-12-18,Ketorolaco IM caja con 3 ampulas,,,, $300.00 ,
MED1041,30, $3.83 ,0%,2015-12-18,Metamizol caja con 3 ampulas,,,, $115.00 ,
MED4417,60, $2.50 ,0%,2015-12-18,Metroclopramida CAJA C/ 5 AMPULAS,,,, $150.00 ,
MED0276,100, $0.50 ,0%,2015-12-18,Paracetamol Caja con 10 tab ,,,, $50.00 ,
MAT0738,10, $7.50 ,16%,2015-12-18,Puntas nasales adulto ,,,, $75.00 ,
MED1042,70, $3.00 ,0%,2015-12-18,Ranitidina 50 mg caja con 5 amp,,,, $210.00 ,
MAT0778,20, $9.50 ,16%,2015-12-18,Sabanas Simple ,,,, $190.00 ,
MED4411,60, $5.00 ,0%,2015-12-18,BUTILHIOSINA SIMPLE CAJA CON 3 AMPULAS,,,, $300.00 ,
MED1006,150, $0.90 ,0%,2015-12-18,KETOROLACO TABLETAS,,,, $135.00 ,
MAT1170,20, $16.50 ,16%,2015-12-18,CAMPOS ESTERILES ,,,, $330.00 ,
MAT0341,300, $0.33 ,16%,2015-12-18,CUBREBOCAS PAQ DE 50 PZAS,,,, $100.00 ,
EQU047,1, $375.00 ,16%,2015-12-18,BAUMANOMETRO Y ESTETOSCOPIO,,EQUIPO PARA EVENTO ,, $375.00 ,
EQU041,1, $660.00 ,16%,2015-12-18,GLUCOMETRO ,,EQUIPO PARA EVENTO ,, $660.00 ,
MAT0734,1, $750.00 ,16%,2015-12-18,PULSOXIMETRO ,,EQUIPO PARA EVENTO ,, $750.00 ,
,,,,,,,,,,
