,,,,FORMATO DE REQUISICI…N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,18-abr-16,,
DESTINO:,,,,,,ELABORADO POR:,,
ISSSTELEON,,,,,,ARTRUO HEREDIA ,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,3,290,16,18/04/2016,PAPEL KRAF 45 X 70,,,$870.00
,4,1875,16,18/04/2016,PAPEL CREPADO ESTERILIZACION,,,"$7,500.00"
,3,1125,16,18/04/2016,PARCHES TAGADERM 10X12 C/50 PZAS.,,,"$3,375.00"
,12,363.7,16,18/04/2016,PASTA P/COLOSTOMIA TUBO 60G.,,,"$4,364.40"
,2,1758,16,18/04/2016,PREMILENE 3/0 45 CM. DS 24 CAJA CON 36 PZAS.,,,"$3,516.00"
,2,944,16,18/04/2016,PREMILENE 4/0 45 CM. DSMP19 CAJA CON 12,,,"$1,888.00"
,1,1163,16,18/04/2016,PREMILENE 5/0 45 CM DSMP 13 CAJA CON 12,,,"$1,163.00"
,1,27,16,18/04/2016,PERILLA DE HULE P/SUCCION,,,$27.00
,600,11.5,16,18/04/2016,PIEZAS DE FRASCOS VIALES DE 5ML. (ESTERILES),,,"$6,900.00"
,1000,3.25,16,18/04/2016,POMADERA CON TAPA Y CIERRE HERMETICO,,,"$3,250.00"
,3,339,16,18/04/2016,POLVO STOMAHESIVE,,,"$1,017.00"
,3,11029,16,18/04/2016,PRECICONTROL UNIVERSAL G.2,,,"$33,087.00"
,20,98,16,18/04/2016,RECOLECTOR DE PUNZOCORTANTES 2LTS. X PZA,,,"$1,960.00"
,6,108,16,18/04/2016,SANITIZADOR ANTIBACTERIAL PURE CLEAN,,,$648.00
,80,136,16,18/04/2016,SABANA DE CAJON 1.20X2.40X0.14,,,"$10,880.00"
,130,110,16,18/04/2016,SABANA PLANA 1.2X2.0,,,"$14,300.00"
,2,1570,16,18/04/2016,SILKAM BLACK 4/0 45CM DS19 CAJA C/36 PZAS,,,"$3,140.00"
,3,674,16,18/04/2016,SAFIL UNDYED 3/0 45CM DS 19 CAJA CON 12,,,"$2,022.00"
,3,614,16,18/04/2016,S.F. PLUS FLX CARNE ARO 70 MM CAJA CON 5,,,"$1,842.00"
,35,47.5,16,18/04/2016,SONDA FOLEY LATEX 14 FR. 2 VIAS C. GLOBO 5ML,,,"$1,662.50"
,24,47.5,16,18/04/2016,SONDA FOLEY LATEX 16 FR 2 VIAS C/GLOBO 5 ML.,,,"$1,140.00"
,10,47.5,16,18/04/2016,SONDA FOLEY LATEX 18 FR 2 VIAS C/GLOBO 5 ML.,,,$475.00
,2,109.2,16,18/04/2016,SONDA FOLEY SILIC 14 FR 2 VIAS C/GLOBO 5ML.,,,$218.40
,8,109.2,16,18/04/2016,SONDA FOLEY SILIC 18 FR 2 VIAS C/GLOBO 5ML.,,,$873.60
,2,4445,16,18/04/2016,SONDA GASTRO BAJO PERFIL BOTON RECAM.,,,"$8,890.00"
,10,7,16,18/04/2016,SONDA LEVIN FR. 14 CAT. V-710,,,$70.00
