,,,,FORMATO DE REQUISICI‡N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,15-jul-16,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,ARTURO HEREDIA,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
,4,89,16,2016-07-15,HIPOGLUS,,,
,200,2.42,0,2016-07-15,SULINDACO TAB 200 MG C/20,,,
,49,59.2,0,2016-07-15,TRINITRATO DE GLICERILO 10 MG. PARCHES,,,
,1,177,16,2016-07-15,MALLA TUBULAR NO. 2 ROLLO,,,
,4,21,16,2016-07-15,KLEENEX CAJA,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
