,,,,FORMATO DE REQUISICI…N,,,,,
,,,,AYH,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-abr-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
AMERICAS,,,,,,ARTURO HEREDIA ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,600,1.6,16,25/04/2016,AGUJA VACUTAINER ,,,$960.00,
,600,1.6,16,25/04/2016,TUBO ROJO,,,$960.00,
,500,1.6,16,25/04/2016,TUBO LILA,,,$800.00,
,700,0.8,16,25/04/2016,VASOS PARA MUESTRAS,,,$560.00,
,300,6.37,16,25/04/2016,TIRAS MULTISTIX,,,"$1,911.00",
,3,90,16,25/04/2016,ANTI A,,,$270.00,
,3,90,16,25/04/2016,ANTI B,,,$270.00,
,3,195,16,25/04/2016,ANTI D,,,$585.00,
,1,58.5,16,25/04/2016,DEXTROSOL 100 GR,,,$58.50,
,1,58.5,16,25/04/2016,DEXTROSOL 75 GR,,,$58.50,
,300,0.26,16,25/04/2016,CUBREOBJETOS,,,$78.00,
,150,0.47,16,25/04/2016,PORTAOBJETOS,,,$70.50,
,150,3.8,16,25/04/2016,PRUEBA DE EMBARAZO,,,$570.00,
,40,23.5,16,25/04/2016,PRUEBA DE VIH,,,$940.00,
,400,12.5,16,25/04/2016,TIRAS ANFETAMINAS,,,"$5,000.00",
,400,12.5,16,25/04/2016,TIRAS COCAINA,,,"$5,000.00",
,450,12.5,16,25/04/2016,TIRAS MARIHUANA,,,"$5,625.00",
,100,43.2,16,25/04/2016,"CARTUCHO 3 DROGAS (THC, COC Y AMP)",,,"$4,320.00",
,1,585,16,25/04/2016,KIT DE REACCIONES FEBRILES,,,,
,1,100,16,25/04/2016,JABON NEUTRO LIQUIDO (GALON 4 LT ),,,,
,2,14,16,25/04/2016,ESCOBILLONES,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,, $-   ,
,,,,,,,,"$28,036.50",
,,,,,,,,"$4,485.84",
,,,,,,,,"$32,522.34",
