,,,,FORMATO DE REQUISICIàN,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
CLINICA,,,,,,22-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
ARSAIN,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,MONTO
,4,230,16,2016-03-22,GEL ULTRASONIDO PARA TERAPIA,,,, $920.00 
,1,990,16,2016-03-22,GEL PARA ARTICULACIONES GALON,,,, $990.00 
,25,165,16,2016-03-22,ELECTRODO 5X5 PAQ C/4,,,," $4,125.00 "
,50,11,16,2016-03-22,SABANA CON ELASTICO 1.20X2.40X0.14,,,, $550.00 
,50,11,16,2016-03-22,SABANA CON ELASTICO 1.20 X 2.00 CHEPEVERA,,,, $550.00 
,50,6.5,16,2016-03-22,PANTALON CORTO,,,, $325.00 
,100,0.672,16,2016-03-22,GUANTES LATEX MEDIANOS NO ESTERIL,,,, $67.20 
,1,21,16,2016-03-22,ALCOHOL ETILICO DESNAT. 70ø 1LT,,,, $21.00 
,1,50,16,2016-03-22,BOLSA DE TORUNDAS DE ALGODON,,,, $50.00 
,7,195,16,2016-03-22,ROLLO DE KINESIO COLOR AZUL ,,,," $1,365.00 "
,8,195,16,2016-03-22,ROLLO DE KINESIO COLOR BEIGE ,,,," $1,560.00 "
,10,195,16,2016-03-22,ROLLO DE KINESIO COLOR ROSA ,,,," $1,950.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $12,473.20 "
,,,,,,,,," $1,995.71 "
,,,,,,,,," $14,468.91 "
