,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,13-jul-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED0038,200,0.6862,0,2016-07-13,ASPIRINA ACIDO ACETILSALICILICO  500 MG TAB/ PATENTE,,40, $27.60 , $137.24 
MED4574,30,31.83,0,2016-07-13,DIGOXINA 0.25 MG/ML SOL. INY. C/6,,6, $190.98 , $954.90 
MED0126,10,150,0,2016-07-13,DOBUJECT 250 MG/5ML SOL. INY. // PATENTE,,5, $750.00 ," $1,500.00 "
MED1041,399,10.33,0,2016-07-13,METAMIZOL 2.5GR/5ML AMP.,,3, $30.99 ," $4,121.67 "
MED0239,96,2.5,0,2016-07-13,METOCLOPRAMIDA 10MG/2ML SOL. INY.,,6, $15.00 , $240.00 
MAT4050,30,14.8,0,2016-07-13,HARTMAN 500ML,,1, $14.80 , $444.00 
MAT0209,100,11.65,0,2016-07-13,CLORURO DE SODIO 0.9% 250ML,,1, $11.65 ," $1,165.00 "
MAT0210,50,14.8,0,2016-07-13,CLORURO DE SODIO 0.9% 500ML,,1, $14.80 , $740.00 
MAT0014,10,11.8,0,2016-07-13,AGUA OXIGENADA 480 ML,,1, $11.80 , $118.00 
MAT4559,2,645,0,2016-07-13,AMBU ADULTO,,1, $645.00 ," $1,290.00 "
EQU016,2,285,0,2016-07-13,BAUMANOMETRO ANEROIDE ,,2, $285.00 , $570.00 
MAT4560,1,49,0,2016-07-13,ROLLO BOLSA PLASTICO MEDIANA,,1, $49.00 , $49.00 
MAT4561,1,53,0,2016-07-13,ROLLO BOLSA PLASTICO GRANDE,,1, $53.00 , $53.00 
MAT4562,35,19,0,2016-07-13,CAMPO PLANO ESTERIL90 X 90,,10, $165.00 , $665.00 
MED0178,20,27,0,2016-07-13,SOLUCION GLUCOSA 50%  50ML. ,,1, $27.00 , $540.00 
MAT4028,20,11.65,0,2016-07-13,HARTMAN 250ML,,1, $11.65 , $233.00 
MAT0059,2,62.8,0,2016-07-13,ANTIBENZIL SOL. JABON,,1, $62.50 , $125.60 
MAT4565,3,105,0,2016-07-13,MASCARILLA PARA AMBU #5,,1, $105.00 , $315.00 
MAT4566,3,105,0,2016-07-13,MASCARILLA PARA AMBU #4,,1, $105.00 , $315.00 
MAT4502,20,11.5,0,2016-07-13,VENDA ELASTICA 20 CM,,1, $11.50 , $230.00 
MAT4500,300,7.5,0,2016-07-26,NORMOGOTERO fleboteck marca pisa,,1, $7.50 ," $2,250.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
