,,,,FORMATO DE REQUISICIàN,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,18-abr-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
MED4432,100,7,0,2016-03-22,MECLIZINA + PIRIDOXINA + LIDOCAINA 25ML/1ML AMP.,,, $700.00 ,
MED1012,100,6.9,0,2016-03-22,ISONICOTINATO DE DEXAMETASONA 8MG/2ML,,, $690.00 ,
MED0116,100,5.75,0,2016-03-22,DICLOFENACO SODICO 75MG/3ML SOL.  INY.,,, $575.00 ,
MED0119,100,4.7,0,2016-04-22,DIFENIDOL 40 MG/2ML SOL. INY.,,, $470.00 ,
MED0120,240,0.33,0,2016-03-22,DIFENIDOL 25MG TAB.,,, $79.20 ,
MAT1121,200,1.07,16,2016-03-22,GUANTES LATEX MEDIANOS ESTERIL,,, $214.00 ,
MED0190,8,53,0,2016-03-22,HIDROCORTISONA 500MG AMP.,,, $424.00 ,
MAT1190,100,2,16,2016-03-22,JERINGA 10CC (22X32),,, $200.00 ,
MAT1171,200,1.3,16,2016-03-22,JERINGA 3ML (22X32),,, $260.00 ,
MAT1172,200,1.48,16,2016-03-22,JERINGA 5CC (22X32),,, $296.00 ,
MED1032,200,5,0,2016-03-22,KETOROLACO 30MG AMP.,,," $1,000.00 ",
MED1006,60,0.69,0,2016-03-22,KETOROLACO TAB. 10 MG,,, $41.40 ,
MED0358,80,0.89,0,2016-03-22,MECLIZINA + PIRIDOXINA 25MG TAB.,,, $71.20 ,
MAT0628,8,98,16,2016-03-22,MICROCYNÿ SOLUCION ANTISEPTICA 120 ML,,, $784.00 ,
MED0255,6,30,0,2016-03-22,NEOSPORIN DERMICO UNGšENTO DERMICO TUBO DE 30GR NEOMICINA + POLIMIXINA B + BACITRACINA,,, $180.00 ,
MED0304,100,2.7,0,2016-03-22,RANITIDINA 50MG AMP.,,, $270.00 ,
MED1042,100,0.85,0,2016-03-22,RANITIDINA 300MG TAB.,,, $85.00 ,
MAT0776,50,11,16,2016-03-22,SABANA DE CAJON,,, $550.00 ,
MAT4497,50,18.8,16,2016-03-22,PARCHES TEGADERM 10X12,,, $940.00 ,
MAT4072,12,17.08,16,2016-03-22,"TELA ADHESIVA 1""X5MTS",,, $204.96 ,
MAT1164,100,5.4,16,2016-03-22,TIRAS REACTIVAS ( ACCU CHECK PERFOMA ),,, $540.00 ,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
