FORMATO DE REQUISICI?N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,06-dic-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,ARTURO HEREDIA,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO CAJA,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD  ,TOTAL
,40,23.57,0,06/12/2016,ACETATO DE METILPREDNISOLONA 40MG/2ML ,,1,$23.57,$942.80
,5,15.38,0,06/12/2016,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.C/15,,15,$1.03,$76.90
,5,8,0,06/12/2016,AMBROXOL TAB.30 MG. TAB C/20,,20,$0.40,$40.00
,40,22.4,0,06/12/2016,CEFTRIAXONA 1G/10ML SOL. INY.,,1,$22.40,$896.00
,40,11,0,06/12/2016,CIPROFLOXACINO 500MG COMP.C/8,,8,$1.38,$440.00
,60,8.62,0,06/12/2016,DICLOFENACO 100MG TAB.C/20,,20,$0.43,$517.20
,30,24.27,0,06/12/2016,DICLOXACILINA 500MG CAP.C/20,,20,$1.21,$728.10
,10,14.91,0,06/12/2016,DICLOXACILINA SUSP. 250MG FCO.,,1,$14.91,$149.10
,5,8.12,0,06/12/2016,DIFENIDOL 25MG TAB.C/30,,30,$0.27,$40.60
,30,11.46,0,06/12/2016,KETOROLACO 30MG AMP.C/3,,3,$3.82,$343.80
,5,13.5,0,06/12/2016,LORATADINA + AMBROXOL 100MG/600MG SUSPENSION,,1,$13.50,$67.50
,10,22.12,0,06/12/2016,LORATADINA + BETAMETASONA 5.0MG/0.25MG TAB.C/10,,10,$2.21,$221.20
,5,27.99,0,06/12/2016,NEOMICINA + CAOLIN + PECTINA 129MG/280MG TAB.C/20,,20,$1.40,$139.95
,15,4,0,06/12/2016,PARACETAMOL 500MG TAB. C/10,,10,$0.40,$60.00
,5,12,0,06/12/2016,TRIMETROPRIMA + SULFAMETOXAZOL 160MG/800MG TABS C/14,,14,$0.86,$60.00
,250,6.3,0,06/12/2016,KETOROLACO TAB. 10 MG C/10,,10,$0.63,"$1,575.00"
,5,38.66,0,06/12/2016,FENAZOPIRIDINA/AC NALIDIXICO C/20 TAB,,20,$1.93,$193.30
,5,15,0,06/12/2016,CLORANFENICOL + HIDROCORTISONA + BENZOCAINA SOL OTICA FCO DE 10 ML,,1,$15.00,$75.00
,10,11.66,0,06/12/2016,NAFAZOLINA 1 MG/5MG SOL OFT15 ML,,1,$11.66,$116.60
,5,26.76,0,06/12/2016,AZITOROMICINA 500 MG C/3,,3,$8.92,$133.80
,15,15.5,0,06/12/2016,DICLOFENACO DIETILAMONIO TUBO GEL 60 GR,,1,$15.50,$232.50
,60,26.4,0,06/12/2016,METOCARBAMOL/ MELOXICAM TAB C/10,,10,$2.64,"$1,584.00"
,150,12.5,0,06/12/2016,IBUPROFENO 800 MG/TABLETAS c/10,,10,$1.25,"$1,875.00"
,10,5.78,0,06/12/2016,LOPERAMIDA 2 MG C/12 TABLETAS,,12,$0.48,$57.80
,30,24.44,0,06/12/2016,LEVOFLOXACINO 500MG C/7 TABLETAS,,7,$3.49,$733.20
,30,31.14,0,06/12/2016,GABAPENTINA 300MG TAB C/16,,16,$1.95,$934.20
,30,13.11,0,06/12/2016,AMOXICILINA 500 C/12 TABS,,12,$1.09,$393.30
,5,12,0,06/12/2016,"BETAMETASONA, CLOTRIMAZOL, GENTAMICINA",,1,$12.00,$60.00
,5,8.4,0,06/12/2016,MICONAZOL CREMA 20 MG,,1,$8.40,$42.00
,5,25,0,06/12/2016,ACICLOVIR 200 MG C/25 TABS,,25,$1.00,$125.00
,5,13,0,06/12/2016,INDOMETACINA CAJA CON 30 CAP 25MG ,,30,$0.43,$65.00
,10,34.8,0,06/12/2016,COMPLEJO B C/DICLOFENACO INY,,3,$11.60,$348.00
,30,22,0,06/12/2016,BUTILHIOSINA / METAMISOL GRAGEAS 10 / MG 250 MG C/10,,10,$2.20,$660.00
,5,12.14,0,06/12/2016,IBUPROFENO JARABE 120 ML,,1,$12.14,$60.70
,150,33,0,06/12/2016,KETOROLACO/TRAMADOL 10/25MG C/10 CAP ,,10,$3.30,"$4,950.00"
,5,33,0,06/12/2016,LINCOMICINA 600 MG SOL.INY C/6,,6,$5.50,$165.00
,5,21.66,0,06/12/2016,TOBRAMICINA Y DEXAMETASONA GOTAS OFTALMICAS,,1,$21.66,$108.30
,10,38.72,0,06/12/2016,AMOXICILINA/ACIDO CLAVULANICO 875 MG C/10 TABS,,10,$3.87,$387.20
,5,20.4,0,06/12/2016,CEFALEXINA 250 MG/5 ML FCO 100ML SUSPENSION C/ 1,,1,$20.40,$102.00
,5,22.5,0,06/12/2016,CIPROFLOXACINO 5ML GOTAS OFTALMICAS C/ 1,,1,$22.50,$112.50
,5,14.25,0,06/12/2016,CIPROFLOXACINO 250 MG TABLETAS C/ 10,,10,$1.43,$71.25
,5,14.51,0,06/12/2016,FLUOCINOLONA/NEOMICINA 30 G CREMA C/ 1 NEODERM CREMA,,1,$14.51,$72.55
,5,24.57,0,06/12/2016,KETOPROFENO / PARACETAMOL  100MG / 300MG TABLETAS C/ 10,,10,$2.46,$122.85
,5,192.5,0,06/12/2016,MOXIFLOXACINO 400MG TABLETAS C/ 7,,7,$27.50,$962.50
,10,21,0,06/12/2016,NAPROXENO PARACETAMOL 275MG/300MG TABLETAS C/ 15,,15,$1.40,$210.00
,5,31.96,0,06/12/2016,NITAZOXANIDA  500MG TABLETAS C/ 6,,6,$5.33,$159.80
,5,36.16,0,06/12/2016,VITAMINAS Y MINERALES  CAPSULAS C/ 30,,30,$1.21,$180.80
,5,8.08,0,06/12/2016,AGUA OXIGENADA 480 ML,,1,$8.08,$40.40
,,,,,,,,,"$21,632.70"
