,,,,FORMATO DE REQUISICI?N,,,,
,,,,,,,,
,,,,,,,,
FOLIO:,,,,,,FECHA:,,
,,,,,,19-sep-16,,
DESTINO:,,,,,,ELABORADO POR:,,
,,,,,,ARTURO HEREDIA,,
,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE 
MAT4087,1,18,16,22/09/2016,BENZALCONIO AZUL AL 12% 500ML,,,
EQU057,1,298,16,22/09/2016,ESTUCHE DE DISECCION,,,
MAT1111,2,49,16,22/09/2016,LAMPARA DE BOLSILLO TIPO LED,,,
MAT0667,8,22.5,16,22/09/2016,PILAS AA,,,
EQU038,3,6.5,16,22/09/2016,ALCOHOL 110 ML,,,
EQU044,1,168,16,22/09/2016,TORUNDERO DE ACERO INOX  1 LTO,,,
MAT4599,5,68,16,22/09/2016,TIJERA QUITA PUNTOS ,,,
