,,,,,,,OC 198,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA: ,,04-nov-15,,,,,,REQ. NOVIEMBRE,,,,
LUGAR DE ENTREGA: ,,Ar Medica,,,,,,,,,,
PROVEEDOR:,,BENEFIC COMERCIALIZADORA,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO UNITARIO,IMPUESTO,FECHA,DESCRIPCION,,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,"SUB-TOTAL
IVA",,,"SUB-TOTAL
SIN IVA"
,30,0.485,0,09-dic,PARACETAMOL GI TABS. DE 500MG PARACETAMOL,,,,14.55,,,
,40,1,0,09-dic,DICLOFENACO SODICO GI DICLOFENACO SODICO GRAGEAS DE LIB. PROL. 100 MG DICLOFENACO SODICO,,,,40,,,
,20,1.791666667,0,09-dic,NAPROXENO GI TABS. DE 500MG C/10,,,,35.83333333,,,
,48,1.28,0,09-dic,TEMPRA FORTE TAB 875 MG C/24 TAB,,,,61.44,,,
,60,0.95,0,09-dic,AMBROXOL TAB.30 MG. TAB,,,,57,,,
,60,0.76,0,09-dic,BENZONATATO. 100 MG CAPS,,,,45.6,,,
,72,2.4,0,09-dic,PEPTO BISMOL 4 TAB MASTICABLE C/24,,,,172.8,,,
,40,2.75,0,09-dic,BUTILHIOSCINA + METAMIZOL 10MG/250MG,,,,110,,,
,80,2.6,0,09-dic,TREDA 121/280/30,,,,208,,,
,36,0.75,0,09-dic,LOPERAMIDA 2 MG C/12 TABLETAS,,,,27,,,
,70,0.7,0,09-dic,OMEPRAZOL CAPSULA 20 MG C/14 TAB,,,,49,,,
,75,1.466666667,0,09-dic,AMANTADINA + CLORFENAMINA + PARACETAMOL 50MG/3MG/300MG TAB.,,,,110,,,
,30,0.84,0,09-dic,VOYDOL TABS. 10 MG KETOROLACO + TROMETAMINA,,,,25.2,,,
,20,2.64,0,09-dic,NEXT TABLETAS CAJA C/10 ,,,,52.8,,,
,24,3,0,09-dic,XL3  PRESENTACION  DE 12 CAPSULAS,,,,72,,,
,20,6.393,0,09-dic,RIOPAM CAJA C/10 SOBRES,,,,127.86,,,
,24,1.05,0,09-dic,MECLIZINA + PIRIDOXINA 25MG TAB. C/12,,,,25.2,,,
,2,13,0,09-dic,CICLOFERON CREMA TUBO 5 GRAMOS,,,,26,,,
,1,19.8,0,09-dic,CALADRIL CREMA 180 ML,,,,19.8,,,
,1,17.5,0,09-dic,FENAGEL TUBO GEL 60 GR DICLOFENACO DIETILAMONIO,,,,17.5,,,
,1,15.5,0,09-dic,NOEDERM F ACETONIDO DE FLUOCINOLONA CREMA 100 G,,,,15.5,,,
,1,150.75,0,09-dic,FURACIN POMADA TUBO DE 85 GR NITROFURAL,,,,150.75,,,
,2,61.5,0,09-dic,ULTRA BENGUE TUBO DE 35 G,,,,123,,,
,3,226,0,09-dic,TRAUMASOL AEROSOL CLORURO DE ETILO,,,,678,,,
,20,2.6,16,09-dic,VASO RECOLECTOR ESTERIL DE 100ML,,,,52,,,
,,,,,,,,,2316.833333,,,
