,,,,FORMATO DE REQUISICI‡N,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,
,6,290,16,2016-05-17,PAPEL KRAF 45 X 70,,,," $1,740.00 "
,3,1875,16,2016-05-17,PAPEL CREPADO ESTERILIZACION,,,," $5,625.00 "
,12,363.7,16,2016-05-17,PASTA P/COLOSTOMIA TUBO 60G.,,,," $4,364.40 "
,2,1758,16,2016-05-17,PREMILENE 3/0 45 CM. DS 24 CAJA CON 36 PZAS.,,,," $3,516.00 "
,6,1163,16,2016-05-17,PREMILENE 5/0 45 CM DSMP 13 CAJA CON 12,,,," $6,978.00 "
,3,27,16,2016-05-17,PERILLA DE HULE P/SUCCION,,,, $81.00 
,750,3.25,16,2016-05-17,POMADERA CON TAPA Y CIERRE HERMETICO,,,," $2,437.50 "
,4,339,16,2016-05-17,POLVO STOMAHESIVE,,,," $1,356.00 "
,3,1168,16,2016-05-17,PROTEINA C REACTIVA I.D.,,,," $3,504.00 "
,7,11029,16,2016-05-17,PRECICONTROL UNIVERSAL G.2,,,," $77,203.00 "
,20,98,16,2016-05-17,RECOLECTOR DE PUNZOCORTANTES 2LTS. X PZA,,,," $1,960.00 "
,1,2970,16,2016-05-17,REMOVEDOR DE ADHESIVO,,,," $2,970.00 "
,90,136,16,2016-05-17,SABANA DE CAJON 1.20X2.40X0.14,,,," $12,240.00 "
,100,110,16,2016-05-17,SABANA PLANA 1.2X2.0,,,," $11,000.00 "
,2,1570,16,2016-05-17,SILKAM BLACK 4/0 45CM DS19 CAJA C/36 PZAS,,,," $3,140.00 "
,19,47.5,16,2016-05-17,SONDA FOLEY LATEX 18 FR 2 VIAS C/GLOBO 5 ML.,,,, $902.50 
,6,109.2,16,2016-05-17,SONDA FOLEY SILIC 18 FR 2 VIAS C/GLOBO 5ML.,,,, $655.20 
,5,7,16,2016-05-17,SONDA LEVIN FR. 14 CAT. V-710,,,, $35.00 
,40,5.88,16,2016-05-17,SONDA NASAL PARA SUM. OXIGENO K-29,,,, $235.20 
,70,11.5,16,2016-05-17,SONDA NELATON FR. 14 CAT. V-773-14,,,, $805.00 
,7,6917,16,2016-05-17,S 1 RINSE SOLUTION OMNI S,,,," $48,419.00 "
,9,21152,16,2016-05-17,S 3 FLUID PACK A OMNI S,,,," $190,368.00 "
,6,14182,16,2016-05-17,"STROMATOLYSER 4DL, 4DS Y 5L",,,," $85,092.00 "
,7,6080,16,2016-05-17,STA-NEOPLASTIN PLUS 12X10 ML.,,,," $42,560.00 "
,400,8.64,16,2016-05-17,TAPON P/SELLO VENOSO IN-STOPFEN PZA.,,,," $3,456.00 "
,72,70.8,16,2016-05-17,TIRA PAPEL PH-14,,,," $5,097.60 "
,40,556,16,2016-05-17,TIRAS P/GLUCOSA ONE TOUCH ULTRA C/50,,,," $22,240.00 "
,12,10.5,16,2016-05-17,TERMOMETRO DE VIDRIO ORAL,,,, $126.00 
,30,58.5,16,2016-05-17,TORUNDA DE ALGOD‡N DE 500 GRS.,,,," $1,755.00 "
,1,685,16,2016-05-17,TUBO LILA 4ML PLAST C/100 BD,,,, $685.00 
,2,685,16,2016-05-17,TUBO VACUTAINER ORO Y AZUL 5 ML. (PLASTICO),,,," $1,370.00 "
,5,42.5,16,2016-05-17,TUBO ENDOTRAQUEAL No. 3.0 Y 4.0,,,, $212.50 
,20,35,16,2016-05-17,UNIFORME CIRUJANO ESTERIL DESECHABLE,,,, $700.00 
,20,49.5,16,2016-05-17,VENDA ELASTICA 5X5M. C/12.,,,, $990.00 
,20,64.5,16,2016-05-17,VENDA ELASTICA 10CMS X 5 MTS C/12,,,," $1,290.00 "
,1,1768,16,2016-05-17,VICRYL 6/0 45 CM. CAJA C/12.,,,," $1,768.00 "
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,, $-   
,,,,,,,,," $546,876.90 "
,,,,,,,,," $634,377.20 "
