FORMATO DE REQUISICI?N,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,
,,,,,,14-oct-16,,,
DESTINO:,,,,,,ELABORADO POR:,,,
,,,,,,SARA HERNANDEZ,,,
,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL
,83,,0,,LEFLUNOMIDA 20MG C/30 COMP.,34,,,
,47,,0,,VALPROATO DE MAGNESIO 400MG C/20 TAB.,71,,,
,30,,0,,ALBENDAZOL 20MG/ML SUSP. ORAL C/20ML,95,,,
,1,,0,,BETAMETASONA LOCION FCO. SUSP. C/100ML,119,,,
,8,,0,,CLINDAMICINA 75MG/5ML FCO. GRANULADO PARA 100ML,260,,,
,37,,0,,DIMENHIDRINATO JARABE FCO. C/120ML,284,,,
,193,,0,,LACTOBACILLUS CASEI VARIEDAD RHAMNOSUS 250MG C/12 CAP.,510,,,
,39,,0,,INDOMETACINA 50MG C/28 CAP.,525,,,
,24,,0,,ALLIUM CEPAE + ALANTOINA TUBO GEL C/20GR,528,,,
,7,,0,,FENOBARBITAL 100MG C/40 TAB. (II),579,,,
,47,,0,,HIDROCORTISONA 1GR/100ML FCO. LOCION C/120ML,624,,,
,6,,0,,SIROLIMUS 1MG C/60 GRAGEAS,743,,,
,64,,0,,BUDESONIDA + FORMOTEROL 160MG/4.5MCG SPRAY,782,,,
,13,,0,,GLIBENCLAMIDA + METFORMINA 5MG/1000MG C/40 TAB.,790,,,
,30,,0,,ESTRADIOL + TRIMEGESTONA CONTINUO 1MG/.125MG C/28 GRAGEAS,842,,,
,148,,0,,METOTREXATO 50/2ML SOL. INY. C/1 AMP.,847,,,
,17,,0,,EMTRICITABINA + TENOFOVIR DISOPROXIL FUMARATO C/30 TAB.,854,,,
,3,,0,,CLORHIDRATO DE TRAMADOL 100MG C/10 TAB.,855,,,
,1,,0,,TOXINA BOTULINICA TIPO-A 100MG C/1 AMP.,935,,,
,340,,0,,LEVOTIROXINA SODICA 75MCG C/50 TAB.,938,,,
,91,,0,,BUDESONIDA 0.125MG/ML NEBUL. C/5 AMP. SOBRE 2ML,1008,,,
,29,,0,,DIPROPINATO DE BETAMETASONA + CALCIPOTRIOL 5MG/50MG TUBO UNGUENTO C/30GR,1026,,,
,33,,0,,ESTRADIOL + DROSPIRENONA 1MG/2MG C/28 COMPS. RECUB.,1375,,,
,9,,0,,PARECOXIB SODICO 40MG/2ML INY. C/2 AMP.,1481,,,
,225,,0,,GLIMEPERIDINA + METFORMINA 1000MG/4MG C/16 TAB.,1868,,,
,232,,0,,LORATADINA 5MG/5ML SOL. C/60ML,1885,,,
,56,,0,,ESOMEPRAZOL 10MG C/28 SOBRES GRANULADOS,2281,,,
,25,,0,,QUETIAPINA 300MG C/30 TAB. LIB PROL.,2353,,,
,61,,0,,SALMETEROL + FLUTICASONA 25/125 FCO.,2468,,,
,6,,0,,FLUTICASONA 50MCG SPRAY C/120 DOSIS ,2491,,,
,39,,0,,SALMETEROL + FLUTICASONA 50/100MCG SOL. INHAL C/60 DOSIS,2493,,,
,154,,0,,MECLIZINA + PIRIDOXINA 25MG/50MG C/25 TAB.,2635,,,
,158,,0,,DIMETICONA + GUAIAZULENE C/14 SOBRES,2689,,,
,49,,0,,CLORANFENICOL 5MG/ML GOTAS OFT. C/15ML ,2726,,,
,109,,0,,TIAMINA + PIRIDOXINA + CIANOCOBALAMINA Y DICLOFENACO SODICO NO1 - 3 Y NO - 3 C/JGA AMP.,2803,,,
,26,,0,,ONDANSETRON 8MG C/10 TAB.,2843,,,
,1,,0,,TACROLIMUS 1MG LIB.PROL. C/50 TAB. ,3004,,,
