,,,,FORMATO DE REQUISICI‡N,,,,,,
,,,,,,,,,,
,,,,,,,,,,
FOLIO:,,,,,,FECHA:,,,,
,,,,,,05-sep-16,,,,
DESTINO:,,,,,,ELABORADO POR:,,,,
,,,,,,ARTURO HEREDIA,,,,
,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,UNIDAD EMPAQUE, PRECIO UNIDAD EMPAQUE ,TOTAL,
,2,807.96,16,2016-09-13,PINTURA BLANCO OSTION BERELINTE 19 LTS,,1874.4672,, Borrar ,
,2,1003.77,16,2016-09-13,PINTURA BLANCO BERELEX BASE PASTEL 19 LTS,,," $2,328.75 ",,Borrar
,2,132.3,16,2016-09-13,MANGUERA KELOS REF VERDE 25 MTS M12T25,,, $306.94 ,,Borrar
,15,28.41,16,2016-09-13,SILICON USO GENERAL MULTIUSOS TRANSP PEPE 280 ML,,, $494.33 ,,Borrar
,1,41.3,16,2016-09-13,ESCUADRA DE CANTERO 8 X 12,,, $47.91 ,,Borrar
,5,16.24,16,2016-09-13,BROCHA CENTURY 100MM 4 PULG,,, $94.19 ,,Borrar
,2,1552.33,16,2016-09-13,PINTURA PARA TRANSITO BLANCA REFLENJANTE,,," $3,601.41 ",,Borrar
,1,347.56,16,2016-09-13,AFLOJATODO ACEITE WD40 GALON,,,,,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
,,,,,,,,, $-   ,
