,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
SERVICIOS MEDICOS DE EMERGENCIAS ,,,,,,,,,,,
SME-010110-DB7,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,FECHA:,,,,,
,,,,,,11-abr-16,,,,,
,,,,,,ELABORADO POR:,,,,,
,,,,,,Ricardo Rodriguez Rdz,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR,,,,,
,1162,0,0,2016-04-15,OMEPRAZOL 20MG C/14 CAP.,657,,,,,
,950,0,0,2016-04-15,INSULINA GLARGINA JER. DESECHABLE PRECARGADA (300 UI/ml) C/3ML,2919,,,,,
,482,0,0,2016-04-15,DICLOFENACO 1.160% GEL C/60GR,371,,,,,
,444,0,0,2016-04-15,DIACERINA + MELOXICAM 50MG/15MG C/20 CAP.,1341,,,,,
,403,0,0,2016-04-15,EZETIMIBA + SIMVASTATINA 10MG/20MG C/28 COMP.,910,,,,,
,400,0,0,2016-04-15,ETORICOXIB 90MG C/14 COMP.,965,,,,,
,388,0,0,2016-04-15,CARBOXIMETILCELULOSA SODICA 0.5% SOL. OFT. GOTAS C/15ML,754,,,,,
,379,0,0,2016-04-15,ATORVASTATINA 20MG C/10 TAB.,2761,,,,,
,367,0,0,2016-04-15,PANTOPRAZOL 40MG C/14 GRAGEAS,1479,,,,,
,367,0,0,2016-04-15,PARACETAMOL 500MG C/10 TAB.,712,,,,,
,364,0,0,2016-04-15,VALSARTAN + AMLODIPINO 160/5MG C/28 TAB.,1924,,,,,
,317,0,0,2016-04-15,CEFALEXINA 500MG C/20 CAP.,169,,,,,
,319,0,0,2016-04-15,METFORMINA 850MG C/30 TAB.,1897,,,,,
,306,0,0,2016-04-15,SITAGLIPTINA + METFORMINA 50/850MG C/56 COMP.,1368,,,,,
,300,0,0,2016-04-15,BROMURO PINAVERIO/DIMETICONA 100/300MG C/16 CAP.,1304,,,,,
,300,0,0,2016-04-15,BEZAFIBRATO 400MG C/10 TAB.,1858,,,,,
,294,0,0,2016-04-15,CARBONATO DE CALCIO + VITAMINA D3 600MG C/60 TAB.,2786,,,,,
,285,0,0,2016-04-15,AMLODIPINO 5MG C/10 TAB.,2593,,,,,
,267,0,0,2016-04-15,PIOGLITAZONA 30MG C/7 TAB.,914,,,,,
,263,0,0,2016-04-15,ALUMINIO + MAGNESIO + DIMETICONA SUSP. FCO. C/360ML (MENTA),700,,,,,
,248,0,0,2016-04-15,"SULFATO DE GLUCOSAMINA + SULFATO DE CONDROITIN 1,500MGS/1,200MGS C/15 SOBRES",2576,,,,,
,231,0,0,2016-04-15,MELOXICAM 7.5MG C/14 TAB.,2623,,,,,
,231,0,0,2016-04-15,DICLOFENACO SODICO 100MG LIB. PROL. C/20 GRAGEAS,292,,,,,
,227,0,0,2016-04-15,SITAGLIPTINA 100MG C/14 COMP.,456,,,,,
,222,0,0,2016-04-15,METFORMINA 500MG C/30 TAB.,310,,,,,
,221,0,0,2016-04-15,METFORMINA + VILDAGLIPTINA 50MG/500MG C/30 COMP. RECUBIERTOS,1968,,,,,
,218,0,0,2016-04-15,SENOSIDOS A-B 374MG C/30 TAB.,789,,,,,
,218,0,0,2016-04-15,LORATADINA + BETAMETASONA 10MG/5MG SOL. C/60ML,2876,,,,,
,213,0,0,2016-04-15,DIACEREINA 50MG C/30 CAP.,226,,,,,
