FORMATO DE REQUISICI…N,,,,,,
ENFERMERIAS ,,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
165,,,,,,15-feb-16
DESTINO:,,,,,,ELABORADO POR:
DOAL,,,,,,ALEJANDRO
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,9,3.8,0,16/02/2016,AZITOROMICINA 500 MG C/3,
,100,1.65,16,16/02/2016,TOALLAS SANIT KOTEX  SIN ALAS NORMALES ,
,3,43.5,0,16/02/2016,NEOMICINA + CAOLIN + PECTINA 36.65MG/500MG SUSP.,
,1,29,16,16/02/2016,VASELINA,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,TRIBEDOCE COMPUESTO TAB
,,,,,,
,,,,,,
,,,,,,
,,,,,,GUANTES DESECHABLES NO ESTERILES
,,,,,,CURITAS REDONDOS CAJA C/100
,,,,,,LYSOL DESINFECTANTE
,,,,,,
,,,,,,KLEENEX CJA
,,,,,,JERINGAS 3ML
,,,,,,JERINGAS 5 ML
,,,,,,
,,,,,,SABANAS DESECHABLES
,,,,,,AGUJA (NARANJA)
,,,,,,AGUJA (AMARILLA)
,,,,,,SOLUCION FISIOLOGICA 100 ML
,,,,,,LANCETAS 
,,,,,,VENOPACK
,,,,,,CREMA LUBRIDERM
,,,,,,
,,,,,,SOLUCION GLUCOSADA 50%
,,,,,,GASA ESTERIL GRANDE
,,,,,,GASA ESTERIL CHICA
,,,,,,TIRAS REACTIVAS PARA COLESTEROL
,,,,,,TIRAS REACTIVAS PARA TRIGLICERIDOS
