FORMATO DE REQUISICI?N,,,,,,
(RAZON SOCIAL),,,,,,
,,,,,,
FOLIO:,,,,,,FECHA:
134,,,,,,09-ene-16
,,,,,,ELABORADO POR:
LABORATORIO,,,,,,DANIEL ACOSTA
,,,,,,
STOCK ID,CANTIDAD,PRECIO,IMPUESTO,FECHA,DESCRIPCION AGRUPADOR,ID AGRUPADOR
,700,1.45,16,11/01/2016,AGUJA VACUTAINER,
,700,1.65,16,11/01/2016,TUBO ROJO ,
,700,1.55,16,11/01/2016,TUBO LILA,
,1200,0.8,16,11/01/2016,VASOSO PARA MUESTRAS,
,500,6.37,16,11/01/2016,TIRAS MULTISTIX,
,1000,0.18,16,11/01/2016,PUNTILLAS AMARILLAS,
,4,85.8,16,11/01/2016,ANTI A,
,4,85.8,16,11/01/2016,ANTI B,
,4,195,16,11/01/2016,ANTI D,
,1000,0.26,16,11/01/2016,CUBREOBJETOS,
,600,0.4,16,11/01/2016,PORTAOBJETOS,
,300,3.8,16,11/01/2016,PRUEBA DE EMBARAZO,
,40,23.5,16,11/01/2016,PRUEBA DE VIH,
,650,12.5,16,11/01/2016,TIRAS ANFETAMINA,
,800,12.5,16,11/01/2016,TIRAS COCAINA,
,800,12.5,16,11/01/2016,TIRAS MARIHUANA,
,50,12.5,16,11/01/2016,TIRAS METANFETAMINAS,
,50,12.5,16,11/01/2016,TIRAS MORFINA,
