,,,,,,,OC 198,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
FECHA: ,,04-nov-15,,,,,,REQ. NOVIEMBRE,,,,
LUGAR DE ENTREGA: ,,Ar Medica,,,,,,,,,,
PROVEEDOR:,,BENEFIC COMERCIALIZADORA,,,,,,,,,,
STOCK ID,CANTIDAD,PRECIO UNITARIO,IMPUESTO,FECHA,DESCRIPCION,,UNIDAD EMPAQUE,PRECIO UNIDAD EMPAQUE,"SUB-TOTAL
IVA",,,"SUB-TOTAL
SIN IVA"
MAT1103,50,10.5,16,10/12/2015,APOSITOS ESTERILES EN EMPAQUE INDIVIDUAL,,1,,525,525,,
LAB0017,100,0.17,16,10/12/2015,ISOPOS,,100,,17,17,,
MAT1151,25,8.5,16,10/12/2015,EQUIPOS DE VENOCLISIS,,1,,212.5,212.5,,
MED4453,20,11,0,10/12/2015,AMPULAS DE BROMURO DE IPATROPIO-SALBUTAMOL,,10,,220,220,,
MAT0341,150,0.5,16,10/12/2015,CUBRE-BOCAS(ELITE  WEAR),,150,,50,75,,
MAT1119,12,15,16,10/12/2015,TERMOMETROS CLINICOS DE MERCURIO,,1,,180,180,,
MED4490,200,1.5,16,10/12/2015,JERINGAS DE INSULINA DE 1ML,,100,,300,300,,
MED1012,100,8,0,10/12/2015,AMPULAS DE DEXAMETASONA,,1,,800,800,,
MED0215,102,5,0,10/12/2015,AMPULAS DE KETOROLACO,,3,,500,510,,
MED4415,100,7.5,0,10/12/2015,AMPULAS DE DICLOFENACO,,2,,750,750,,
MED4411,51,5.666666667,0,10/12/2015,AMPULAS DE BUTILHIOSCINA ,,3,,283.3333333,289,,
MAT1134,6,28,16,10/12/2015,DERMOQRIT,,1,,168,168,,
MED4472,36,25,0,10/12/2015,AGUA INYECTABLE DE 500ML,,1,,900,900,,
MAT0042,4,29,16,10/12/2015,LITROS DE ALCOHOL ,,1,,116,116,,
MAT0926,2,54,16,10/12/2015,BOLSAS DE ALGODON DE 550G,,1,,108,108,,
MAT1016,150,4,16,10/12/2015,VENDAS DE 5CM,,1,,600,600,,
MAT1012,70,6,16,10/12/2015,VENDAS DE 10CM,,1,,420,420,,
MAT1171,200,1.5,16,10/12/2015,JERINGAS DE 3ML,,100,,300,300,,
MAT1172,200,1.65,16,10/12/2015,JERINGAS DE 5ML,,100,,330,330,,
MAT1190,100,2.1,16,10/12/2015,JERINGAS DE 10ML,,100,,210,210,,
MAT1196,50,7.8,16,10/12/2015,TIRAS REACTIVAS ACCU-CHEK ACTIVE,,50,,390,390,,
MED1008,6,19.5,0,10/12/2015,DIGLOFENACO EN GEL ,,1,,117,117,,
MAT4043,400,1.25,16,10/12/2015,GASAS ESTERILES 10X10,,100,,500,500,,
MAT1121,300,1.2,16,10/12/2015,GUANTES ESTERILES MEDIANOS,,100,,360,360,,
MAT1135,300,0.9,16,10/12/2015,GUANTES NO ESTERILES MEDIANOS,,100,,270,270,,
MED0178,4,35,0,10/12/2015,GLUCOSAS AL 50% DE 50ML,,1,,140,140,,
MAT0595,3,33,0,10/12/2015,LIDOCAINA DE 2% DE 50ML,,1,,99,99,,
MAT1197,24,16.5,16,10/12/2015,NAYLON DE 3-0,,12,,396,396,,
,,,,,,,,,14531.83333,9302.5,,
